group,n,positives,positive_rate,level
dev,300,27,0.09,split
test,200,9,0.045,split
unused_no_positive_post_test,483,1,0.002070393374741201,split
1393,41,6,0.14634146341463414,target_year
1394,78,5,0.0641025641025641,target_year
1395,84,6,0.07142857142857142,target_year
1396,97,10,0.10309278350515463,target_year
1397,99,6,0.06060606060606061,target_year
1398,101,3,0.0297029702970297,target_year
1399,103,0,0.0,target_year
1400,126,0,0.0,target_year
1401,126,1,0.007936507936507936,target_year
1402,128,0,0.0,target_year
