feature,split,n,n_missing,pct_missing
leverage_ratio,dev,300,0,0.0
leverage_ratio,test,200,0,0.0
current_ratio,dev,300,0,0.0
current_ratio,test,200,0,0.0
roa_period_adjusted,dev,300,0,0.0
roa_period_adjusted,test,200,0,0.0
ocf_to_assets_period_adjusted,dev,300,0,0.0
ocf_to_assets_period_adjusted,test,200,0,0.0
financial_expense_to_assets_period_adjusted,dev,300,0,0.0
financial_expense_to_assets_period_adjusted,test,200,0,0.0
operating_margin_period_adjusted,dev,300,2,0.67
operating_margin_period_adjusted,test,200,2,1.0
net_margin_period_adjusted,dev,300,2,0.67
net_margin_period_adjusted,test,200,2,1.0
asset_turnover_period_adjusted,dev,300,0,0.0
asset_turnover_period_adjusted,test,200,0,0.0
revenue_growth_period_adjusted,dev,300,81,27.0
revenue_growth_period_adjusted,test,200,6,3.0
net_income_growth_period_adjusted,dev,300,81,27.0
net_income_growth_period_adjusted,test,200,4,2.0
log_total_assets,dev,300,0,0.0
log_total_assets,test,200,0,0.0
industry,dev,300,8,2.67
industry,test,200,6,3.0
