column,dtype,role,n_missing
row_key,str,id_or_leakage,0
ticker,str,id_or_leakage,0
company_name,str,id_or_leakage,0
industry,str,feature_main,0
fiscal_year,int64,id_or_leakage,0
fiscal_year_end,str,id_or_leakage,0
unit,str,id_or_leakage,0
total_assets,float64,other_not_used,0
total_liabilities,float64,other_not_used,0
equity,float64,other_not_used,0
registered_capital,float64,other_not_used,0
accumulated_loss,float64,other_not_used,0
current_assets,float64,other_not_used,0
current_liabilities,float64,other_not_used,0
revenue_period_adjusted,float64,other_not_used,0
gross_profit_period_adjusted,float64,other_not_used,102
operating_profit_period_adjusted,float64,other_not_used,0
net_income_period_adjusted,float64,other_not_used,0
operating_cash_flow_period_adjusted,float64,other_not_used,0
financial_expense_period_adjusted,float64,other_not_used,1
leverage_ratio,float64,feature_main,0
current_ratio,float64,feature_main,0
roa_period_adjusted,float64,feature_main,0
roe_period_adjusted,float64,feature_extended_only,1
equity_ratio,float64,other_not_used,0
ocf_to_assets_period_adjusted,float64,feature_main,0
financial_expense_to_assets_period_adjusted,float64,feature_main,1
profit_margin_period_adjusted,float64,other_not_used,11
operating_margin_period_adjusted,float64,feature_main,11
gross_margin_period_adjusted,float64,feature_extended_only,105
net_margin_period_adjusted,float64,feature_main,11
financial_expense_to_revenue_period_adjusted,float64,other_not_used,12
asset_turnover_period_adjusted,float64,feature_main,0
revenue_growth_period_adjusted,float64,feature_main,94
net_income_growth_period_adjusted,float64,feature_main,86
sales_growth_period_adjusted,float64,other_not_used,94
accumulated_loss_to_capital_ratio,float64,feature_extended_only,0
debt_to_equity,float64,feature_extended_only,0
loss_dummy,int64,feature_extended_only,0
equity_negative_dummy,int64,feature_extended_only,0
distressed_target_reviewed,str,id_or_leakage,0
usable_for_model_flag,str,id_or_leakage,0
target_status_reviewed,str,id_or_leakage,0
distressed_flag_source_reviewed,str,id_or_leakage,0
data_quality_flag,str,id_or_leakage,0
audit_status_clean,str,id_or_leakage,0
statement_scope_status,str,id_or_leakage,0
non_12_month_period_flag,str,id_or_leakage,0
exclusion_flag,str,id_or_leakage,0
manual_review_required_clean,str,id_or_leakage,0
source_file,str,id_or_leakage,0
source_url,str,id_or_leakage,0
ocf_resolution_status,str,id_or_leakage,0
gross_profit_resolution_status,str,id_or_leakage,0
log_total_assets,float64,feature_main,0
gross_profit_period_adjusted_signedlog,float64,feature_extended_only,102
predictor_year,int64,other_not_used,0
target_year,int64,other_not_used,0
target_next_year,int64,other_not_used,0
split,str,other_not_used,0
cv_val_fold,Int64,other_not_used,724
