row_key,ticker,company_name,industry,fiscal_year,fiscal_year_end,unit,total_assets,total_liabilities,equity,registered_capital,accumulated_loss,current_assets,current_liabilities,revenue_period_adjusted,gross_profit_period_adjusted,operating_profit_period_adjusted,net_income_period_adjusted,operating_cash_flow_period_adjusted,financial_expense_period_adjusted,leverage_ratio,current_ratio,roa_period_adjusted,roe_period_adjusted,equity_ratio,ocf_to_assets_period_adjusted,financial_expense_to_assets_period_adjusted,profit_margin_period_adjusted,operating_margin_period_adjusted,gross_margin_period_adjusted,net_margin_period_adjusted,financial_expense_to_revenue_period_adjusted,asset_turnover_period_adjusted,revenue_growth_period_adjusted,net_income_growth_period_adjusted,sales_growth_period_adjusted,accumulated_loss_to_capital_ratio,debt_to_equity,loss_dummy,equity_negative_dummy,distressed_target_reviewed,usable_for_model_flag,target_status_reviewed,distressed_flag_source_reviewed,data_quality_flag,audit_status_clean,statement_scope_status,non_12_month_period_flag,exclusion_flag,manual_review_required_clean,source_file,source_url,ocf_resolution_status,gross_profit_resolution_status,log_total_assets,gross_profit_period_adjusted_signedlog,predictor_year,target_year,target_next_year,split,cv_val_fold
اپال|1396,اپال,,,1396,1396/10/30,میلیون ریال,16936240.0,11899049.0,5037191.0,5000000.0,0.0,2698527.0,4860046.0,39273.0,-2868.0,-40409.0,19088.0,226860.0,-220300.0,0.702579143894985,0.5552472137094999,0.0011270506322536,0.0037894135838803,0.2974208561050151,0.01339494480475,-0.013007609717387,0.4860336618032745,-1.0289257250528352,-0.0730272706439538,0.4860336618032745,-5.609451786214447,0.0023188736106715,,,,0.0,2.362238993915458,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,auditor_opinion_not_found,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,16.644966321738107,-7.9617188159813645,1396,1397,0,test,
اپال|1397,اپال,,,1397,1397/10/30,میلیون ریال,24189703.0,10928025.0,13261678.0,10000000.0,0.0,4907521.0,8878578.0,701506.0,204963.0,121292.0,3227287.0,1563141.0,0.0,0.4517635044961073,0.5527372739193146,0.1334157347859955,0.2433543477680577,0.5482364955038928,0.0646200988908379,0.0,4.600512326337907,0.1729022987686491,0.2921756905856828,4.600512326337907,0.0,0.0290001907009771,16.862297252565376,168.0741303436714,16.862297252565376,0.0,0.8240303376390228,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,auditor_opinion_not_found,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,17.001437646049997,12.230589632943248,1397,1398,0,test,
اپال|1398,اپال,,,1398,1398/10/30,میلیون ریال,42221549.0,9525819.0,32695730.0,20000000.0,0.0,12049960.0,5657858.0,185981.0,59376.0,-12626.0,10941709.0,-884118.0,-48312.0,0.2256151000049761,2.129774200766438,0.2591498715501887,0.3346525371967532,0.7743848999950239,-0.0209399707244279,-0.0011442498237096,58.832402234636874,-0.0678886552927449,0.3192584188707448,58.832402234636874,-0.2597684709728413,0.0044048833926012,-0.7348832369217084,2.3903737101782396,-0.7348832369217084,0.0,0.2913474939999811,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,auditor_opinion_not_found,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,17.558441312169112,10.991662224980168,1398,1399,0,unused_no_positive_post_test,
اپال|1399,اپال,,,1399,1399/10/30,میلیون ریال,55183102.0,15626734.0,39556368.0,20000000.0,0.0,17848190.0,10663863.0,16268001.0,,15097540.0,14046637.0,8195557.0,-171055.0,0.283179695117538,1.673707736117765,0.2545459840224277,0.3551043159473084,0.7168203048824621,0.1485156996067383,-0.0030997713756649,0.8634519385633183,0.928051332182731,,0.8634519385633183,-0.0105148137131292,0.2948004082844056,86.47130620869873,0.2837699302732324,86.47130620869873,0.0,0.3950497679665635,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,17.82616735931514,,1399,1400,0,unused_no_positive_post_test,
اپال|1400,اپال,,,1400,1400/10/30,میلیون ریال,78593999.0,3081803.0,75512196.0,20000000.0,0.0,43293526.0,3072786.0,36166948.0,,33054657.0,48555828.0,8432895.0,-819071.0,0.0392116833245754,14.08933977179016,0.6178057945619996,0.6430196785695386,0.9607883166754244,0.107296932428645,-0.0104215463066079,1.3425470128140202,0.9139465403605525,,1.3425470128140202,-0.0226469482578402,0.4601744212048556,1.2231955850015008,2.456758226186097,1.2231955850015008,0.0,0.0408119901585169,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,18.17980591860784,,1400,1401,0,unused_no_positive_post_test,
اپال|1401,اپال,,,1401,1401/10/30,میلیون ریال,84343172.0,31423099.0,52920073.0,20000000.0,0.0,50402129.0,31401891.0,15730860.0,,10802677.0,11007876.0,4867486.0,0.0,0.3725624523583249,1.605066682130704,0.1305129477463807,0.2080094636301805,0.6274375476416751,0.0577104925577141,0.0,0.6997631407310217,0.6867187807913872,,0.6997631407310217,0.0,0.186510177729621,-0.5650487290218682,-0.7732944436659591,-0.5650487290218682,0.0,0.593784120441406,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,18.25040442710691,,1401,1402,0,unused_no_positive_post_test,
بالبر|1399,بالبر,کابل البرز,نامشخص در فایل ارسالی,1399,1399/06/31,میلیون ریال,2946600.0,2586690.0,359910.0,316920.0,0.0,2755402.0,2583220.0,2789153.0,220319.0,140293.0,34244.0,101126.0,-104757.0,0.8778558338423946,1.066654020950597,0.0116215298988664,0.0951460087244033,0.1221441661576054,0.0343195547410574,-0.0355518224394217,0.0122775623997679,0.0502994995254831,0.0789913640449269,0.0122775623997679,-0.0375587140612221,0.9465665512794408,0.2540112445682351,0.2528445468847181,0.2540112445682351,0.0,7.187046761690422,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,,observed_or_verified,observed_or_verified,14.896162860629527,12.302836313962482,1399,1400,0,unused_no_positive_post_test,
بالبر|1400,بالبر,کابل البرز,نامشخص در فایل ارسالی,1400,1400/06/31,میلیون ریال,5419378.0,4979323.0,440055.0,316920.0,0.0,5203574.0,4975405.0,8573317.0,265207.0,147132.0,115259.0,-28967.0,-50057.0,0.9187997220345212,1.045859382301541,0.021267938866785,0.2619195327856745,0.0812002779654787,-0.0053450783466294,-0.00923666885757,0.0134439214133806,0.0171616190093052,0.0309340013905936,0.0134439214133806,-0.0058386969710789,1.581974352038186,2.073806635921371,2.3658159093563835,2.073806635921371,0.0,11.3152287782209,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۴۰۰_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,15.505491791205781,12.488269702751381,1400,1401,0,unused_no_positive_post_test,
بالبر|1401,بالبر,کابل البرز,نامشخص در فایل ارسالی,1401,1401/06/31,میلیون ریال,6306021.0,5630874.0,675147.0,316920.0,0.0,5023599.0,5126417.0,11494292.0,747534.0,521881.0,290028.0,-15899.0,-247816.0,0.8929361319919487,0.9799434965981112,0.0459922350401307,0.4295775586650018,0.1070638680080514,-0.0025212412074111,-0.0392983150547706,0.0252323501090802,0.0454034924465117,0.0650352366200545,0.0252323501090802,-0.021559918610037,1.8227487666152713,0.3407053535988463,1.5163154287300775,0.3407053535988463,0.0,8.34021924114304,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۴۰۱_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,15.65701560782194,13.524536405893302,1401,1402,0,unused_no_positive_post_test,
برکت|1393,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1393,1393/12/29,میلیون ریال,8568158.0,4026004.0,4542154.0,3400000.0,0.0,1103841.0,1961442.0,1074268.0,,986303.0,866498.0,-937828.0,-134604.0,0.4698797571193248,0.5627701456377502,0.1011300211784143,0.1907680805186261,0.5301202428806752,-0.1094550310580173,-0.0157097943338579,0.8065938853247048,0.918116335960859,,0.8065938853247048,-0.1252983426854379,0.1253791071546533,,,,0.0,0.8863644869812869,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,comparative_extracted_verify_required,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,15.963563448360505,,1393,1394,0,dev,1
