ticker,predictor_year,target_year,split,cv_val_fold,target_next_year,row_key
اپال,1396,1397,test,,0,اپال|1396
اپال,1397,1398,test,,0,اپال|1397
اپال,1398,1399,unused_no_positive_post_test,,0,اپال|1398
اپال,1399,1400,unused_no_positive_post_test,,0,اپال|1399
اپال,1400,1401,unused_no_positive_post_test,,0,اپال|1400
اپال,1401,1402,unused_no_positive_post_test,,0,اپال|1401
بالبر,1399,1400,unused_no_positive_post_test,,0,بالبر|1399
بالبر,1400,1401,unused_no_positive_post_test,,0,بالبر|1400
بالبر,1401,1402,unused_no_positive_post_test,,0,بالبر|1401
برکت,1393,1394,dev,1,0,برکت|1393
برکت,1394,1395,dev,2,0,برکت|1394
برکت,1395,1396,dev,3,0,برکت|1395
برکت,1396,1397,test,,0,برکت|1396
برکت,1397,1398,test,,0,برکت|1397
برکت,1398,1399,unused_no_positive_post_test,,0,برکت|1398
برکت,1399,1400,unused_no_positive_post_test,,0,برکت|1399
برکت,1400,1401,unused_no_positive_post_test,,0,برکت|1400
برکت,1401,1402,unused_no_positive_post_test,,0,برکت|1401
بکاب,1393,1394,dev,1,0,بکاب|1393
بکاب,1394,1395,dev,2,0,بکاب|1394
بکاب,1395,1396,dev,3,0,بکاب|1395
بکاب,1396,1397,test,,0,بکاب|1396
بکاب,1397,1398,test,,0,بکاب|1397
بکاب,1398,1399,unused_no_positive_post_test,,0,بکاب|1398
بکاب,1399,1400,unused_no_positive_post_test,,0,بکاب|1399
بکاب,1400,1401,unused_no_positive_post_test,,0,بکاب|1400
بکاب,1401,1402,unused_no_positive_post_test,,0,بکاب|1401
بکام,1393,1394,dev,1,0,بکام|1393
بکام,1394,1395,dev,2,0,بکام|1394
بکام,1395,1396,dev,3,0,بکام|1395
بکام,1396,1397,test,,0,بکام|1396
بکام,1397,1398,test,,0,بکام|1397
بکام,1398,1399,unused_no_positive_post_test,,0,بکام|1398
بکام,1399,1400,unused_no_positive_post_test,,0,بکام|1399
بکام,1400,1401,unused_no_positive_post_test,,0,بکام|1400
بکام,1401,1402,unused_no_positive_post_test,,0,بکام|1401
بموتو,1392,1393,dev,,0,بموتو|1392
بموتو,1393,1394,dev,1,0,بموتو|1393
بموتو,1394,1395,dev,2,0,بموتو|1394
بموتو,1395,1396,dev,3,0,بموتو|1395
بموتو,1396,1397,test,,1,بموتو|1396
بموتو,1397,1398,test,,0,بموتو|1397
بموتو,1398,1399,unused_no_positive_post_test,,0,بموتو|1398
بموتو,1399,1400,unused_no_positive_post_test,,0,بموتو|1399
بموتو,1400,1401,unused_no_positive_post_test,,0,بموتو|1400
بموتو,1401,1402,unused_no_positive_post_test,,0,بموتو|1401
بوعلی,1393,1394,dev,1,0,بوعلی|1393
بوعلی,1394,1395,dev,2,0,بوعلی|1394
بوعلی,1395,1396,dev,3,0,بوعلی|1395
بوعلی,1396,1397,test,,0,بوعلی|1396
بوعلی,1397,1398,test,,0,بوعلی|1397
بوعلی,1398,1399,unused_no_positive_post_test,,0,بوعلی|1398
بوعلی,1399,1400,unused_no_positive_post_test,,0,بوعلی|1399
بوعلی,1400,1401,unused_no_positive_post_test,,0,بوعلی|1400
بوعلی,1401,1402,unused_no_positive_post_test,,0,بوعلی|1401
بترانس,1393,1394,dev,1,0,بترانس|1393
بترانس,1394,1395,dev,2,0,بترانس|1394
بترانس,1395,1396,dev,3,0,بترانس|1395
بترانس,1396,1397,test,,0,بترانس|1396
بترانس,1397,1398,test,,0,بترانس|1397
بترانس,1398,1399,unused_no_positive_post_test,,0,بترانس|1398
بترانس,1399,1400,unused_no_positive_post_test,,0,بترانس|1399
بترانس,1400,1401,unused_no_positive_post_test,,0,بترانس|1400
بترانس,1401,1402,unused_no_positive_post_test,,0,بترانس|1401
چافست,1393,1394,dev,1,0,چافست|1393
چافست,1394,1395,dev,2,0,چافست|1394
چافست,1395,1396,dev,3,0,چافست|1395
چافست,1396,1397,test,,0,چافست|1396
چافست,1397,1398,test,,0,چافست|1397
چافست,1398,1399,unused_no_positive_post_test,,0,چافست|1398
چافست,1399,1400,unused_no_positive_post_test,,0,چافست|1399
چافست,1400,1401,unused_no_positive_post_test,,0,چافست|1400
چافست,1401,1402,unused_no_positive_post_test,,0,چافست|1401
چکارن,1393,1394,dev,1,0,چکارن|1393
چکارن,1394,1395,dev,2,0,چکارن|1394
چکارن,1395,1396,dev,3,0,چکارن|1395
چکارن,1396,1397,test,,0,چکارن|1396
چکارن,1397,1398,test,,0,چکارن|1397
چکارن,1398,1399,unused_no_positive_post_test,,0,چکارن|1398
چکارن,1399,1400,unused_no_positive_post_test,,0,چکارن|1399
چکارن,1400,1401,unused_no_positive_post_test,,0,چکارن|1400
چکارن,1401,1402,unused_no_positive_post_test,,0,چکارن|1401
ددام,1393,1394,dev,1,0,ددام|1393
ددام,1394,1395,dev,2,1,ددام|1394
ددام,1395,1396,dev,3,1,ددام|1395
ددام,1396,1397,test,,0,ددام|1396
ددام,1397,1398,test,,0,ددام|1397
ددام,1398,1399,unused_no_positive_post_test,,0,ددام|1398
ددام,1399,1400,unused_no_positive_post_test,,0,ددام|1399
ددام,1400,1401,unused_no_positive_post_test,,0,ددام|1400
ددام,1401,1402,unused_no_positive_post_test,,0,ددام|1401
دیران,1392,1393,dev,,0,دیران|1392
دیران,1393,1394,dev,1,0,دیران|1393
دیران,1394,1395,dev,2,0,دیران|1394
دیران,1395,1396,dev,3,0,دیران|1395
دیران,1396,1397,test,,0,دیران|1396
دیران,1397,1398,test,,0,دیران|1397
دیران,1398,1399,unused_no_positive_post_test,,0,دیران|1398
دیران,1399,1400,unused_no_positive_post_test,,0,دیران|1399
دیران,1400,1401,unused_no_positive_post_test,,0,دیران|1400
دیران,1401,1402,unused_no_positive_post_test,,0,دیران|1401
درازک,1393,1394,dev,1,0,درازک|1393
درازک,1394,1395,dev,2,0,درازک|1394
درازک,1395,1396,dev,3,0,درازک|1395
درازک,1396,1397,test,,0,درازک|1396
درازک,1397,1398,test,,0,درازک|1397
درازک,1398,1399,unused_no_positive_post_test,,0,درازک|1398
درازک,1399,1400,unused_no_positive_post_test,,0,درازک|1399
درازک,1400,1401,unused_no_positive_post_test,,0,درازک|1400
درازک,1401,1402,unused_no_positive_post_test,,0,درازک|1401
دروز,1392,1393,dev,,0,دروز|1392
دروز,1393,1394,dev,1,0,دروز|1393
دروز,1394,1395,dev,2,0,دروز|1394
دروز,1395,1396,dev,3,0,دروز|1395
دروز,1396,1397,test,,0,دروز|1396
دروز,1397,1398,test,,0,دروز|1397
دروز,1398,1399,unused_no_positive_post_test,,0,دروز|1398
دروز,1399,1400,unused_no_positive_post_test,,0,دروز|1399
دروز,1400,1401,unused_no_positive_post_test,,0,دروز|1400
دروز,1401,1402,unused_no_positive_post_test,,0,دروز|1401
دشیمی,1393,1394,dev,1,0,دشیمی|1393
دشیمی,1394,1395,dev,2,0,دشیمی|1394
دشیمی,1395,1396,dev,3,0,دشیمی|1395
دشیمی,1396,1397,test,,0,دشیمی|1396
دشیمی,1397,1398,test,,0,دشیمی|1397
دشیمی,1398,1399,unused_no_positive_post_test,,0,دشیمی|1398
دشیمی,1399,1400,unused_no_positive_post_test,,0,دشیمی|1399
دشیمی,1400,1401,unused_no_positive_post_test,,0,دشیمی|1400
دشیمی,1401,1402,unused_no_positive_post_test,,0,دشیمی|1401
دسینا,1393,1394,dev,1,0,دسینا|1393
دسینا,1394,1395,dev,2,0,دسینا|1394
دسینا,1395,1396,dev,3,0,دسینا|1395
دسینا,1396,1397,test,,0,دسینا|1396
دسینا,1397,1398,test,,0,دسینا|1397
دسینا,1398,1399,unused_no_positive_post_test,,0,دسینا|1398
دسینا,1399,1400,unused_no_positive_post_test,,0,دسینا|1399
دسینا,1400,1401,unused_no_positive_post_test,,0,دسینا|1400
دسینا,1401,1402,unused_no_positive_post_test,,0,دسینا|1401
دسبحا,1395,1396,dev,3,0,دسبحا|1395
دسبحا,1396,1397,test,,0,دسبحا|1396
دسبحا,1397,1398,test,,0,دسبحا|1397
دسبحا,1398,1399,unused_no_positive_post_test,,0,دسبحا|1398
دسبحا,1399,1400,unused_no_positive_post_test,,0,دسبحا|1399
دسبحا,1400,1401,unused_no_positive_post_test,,0,دسبحا|1400
دسبحا,1401,1402,unused_no_positive_post_test,,0,دسبحا|1401
فایرا,1393,1394,dev,1,1,فایرا|1393
فایرا,1394,1395,dev,2,0,فایرا|1394
فایرا,1395,1396,dev,3,0,فایرا|1395
فایرا,1396,1397,test,,0,فایرا|1396
فایرا,1397,1398,test,,0,فایرا|1397
فایرا,1398,1399,unused_no_positive_post_test,,0,فایرا|1398
فایرا,1399,1400,unused_no_positive_post_test,,0,فایرا|1399
فایرا,1400,1401,unused_no_positive_post_test,,0,فایرا|1400
فایرا,1401,1402,unused_no_positive_post_test,,0,فایرا|1401
فجر,1399,1400,unused_no_positive_post_test,,0,فجر|1399
فجر,1400,1401,unused_no_positive_post_test,,0,فجر|1400
فجر,1401,1402,unused_no_positive_post_test,,0,فجر|1401
فرآور,1399,1400,unused_no_positive_post_test,,0,فرآور|1399
فرآور,1400,1401,unused_no_positive_post_test,,0,فرآور|1400
فرآور,1401,1402,unused_no_positive_post_test,,0,فرآور|1401
فارس,1395,1396,dev,3,0,فارس|1395
فارس,1396,1397,test,,0,فارس|1396
فارس,1397,1398,test,,0,فارس|1397
فارس,1398,1399,unused_no_positive_post_test,,0,فارس|1398
فارس,1399,1400,unused_no_positive_post_test,,0,فارس|1399
فارس,1400,1401,unused_no_positive_post_test,,0,فارس|1400
فارس,1401,1402,unused_no_positive_post_test,,0,فارس|1401
فاذر,1399,1400,unused_no_positive_post_test,,0,فاذر|1399
فاذر,1400,1401,unused_no_positive_post_test,,0,فاذر|1400
فاذر,1401,1402,unused_no_positive_post_test,,0,فاذر|1401
فباهنر,1399,1400,unused_no_positive_post_test,,0,فباهنر|1399
فباهنر,1400,1401,unused_no_positive_post_test,,0,فباهنر|1400
فباهنر,1401,1402,unused_no_positive_post_test,,0,فباهنر|1401
فسپا,1399,1400,unused_no_positive_post_test,,0,فسپا|1399
فسپا,1400,1401,unused_no_positive_post_test,,0,فسپا|1400
فسپا,1401,1402,unused_no_positive_post_test,,0,فسپا|1401
فجام,1399,1400,unused_no_positive_post_test,,0,فجام|1399
فجام,1400,1401,unused_no_positive_post_test,,0,فجام|1400
فجام,1401,1402,unused_no_positive_post_test,,0,فجام|1401
