variant,model,cv_mean_pr_auc,test_pr_auc,test_roc_auc,test_recall,test_precision,test_f1,test_balanced_acc,test_brier,threshold,imbalance,winsor
A_main,logistic,0.3874452052221568,0.26281034692500804,0.7766143106457243,0.4444444444444444,0.26666666666666666,0.3333333333333333,0.6934264107038977,0.12944302992192175,0.6165277539738391,class_weight,False
B_extended,logistic,0.5359797405116119,0.39298511043310486,0.8068644560791156,0.7777777777777778,0.28,0.4117647058823529,0.8417684700407213,0.1143855601821598,0.5226130653266332,class_weight,False
A_winsorized,logistic,0.35482557968065215,0.26424020174020174,0.8190808609656777,0.3333333333333333,0.3,0.3157894736842105,0.6483420593368238,0.1273918199108832,0.6482412060301508,class_weight,True
A_smote,logistic,0.36646033136180084,0.26457414639232824,0.7783595113438045,0.4444444444444444,0.25,0.32,0.6908086096567772,0.12633912150730528,0.6576905370670831,smote,False
B_drop_near_definition,logistic,0.3475049776206464,0.37707143079393507,0.8033740546829552,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.7914485165794066,0.12500369742260203,0.5628140703517588,class_weight,False
same_year_classification,logistic,0.4800153722811579,0.2766510396693959,0.8666666666666667,0.5555555555555556,0.45454545454545453,0.5,0.7623931623931623,0.09575877453384525,0.7185929648241206,class_weight,False
A_main,xgboost,0.5010557884897006,0.6278059214229427,0.8726003490401396,0.6666666666666666,0.5,0.5714285714285714,0.8176265270506108,0.047950901091098785,0.6482412060301508,class_weight,False
B_extended,xgboost,0.46955435677975715,0.5821785175233452,0.8743455497382199,0.8888888888888888,0.25806451612903225,0.4,0.8842350203606748,0.062116798013448715,0.2562814070351759,class_weight,False
A_winsorized,xgboost,0.4868929586606507,0.6357831294001507,0.8737638161721931,0.6666666666666666,0.5,0.5714285714285714,0.8176265270506108,0.04707592353224754,0.628140703517588,class_weight,True
A_smote,xgboost,0.3870941026830838,0.49517154056071144,0.8685282140779522,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.9025596276905177,0.052278537303209305,0.36683417085427134,smote,False
B_drop_near_definition,xgboost,0.4116818178535211,0.6841996756033393,0.8749272833042466,0.6666666666666666,0.5454545454545454,0.6,0.8202443280977312,0.04512694478034973,0.6560369729995728,class_weight,False
same_year_classification,xgboost,0.6580306292148398,0.5637433971558118,0.8700854700854701,0.6666666666666666,0.35294117647058826,0.46153846153846156,0.8051282051282052,0.05517752841114998,0.5175879396984925,class_weight,False
