model,source,threshold,f1,recall,precision,balanced_accuracy
logistic,validation_oof,0.05,0.15441176470588236,1.0,0.08366533864541832,0.5168067226890757
logistic,validation_oof,0.1,0.14671814671814673,0.9047619047619048,0.07983193277310924,0.49229691876750703
logistic,validation_oof,0.15,0.15139442231075698,0.9047619047619048,0.08260869565217391,0.5091036414565826
logistic,validation_oof,0.2,0.15966386554621848,0.9047619047619048,0.08755760368663594,0.5364145658263305
logistic,validation_oof,0.25,0.1630901287553648,0.9047619047619048,0.08962264150943396,0.5469187675070029
logistic,validation_oof,0.3,0.17757009345794392,0.9047619047619048,0.09844559585492228,0.5868347338935574
logistic,validation_oof,0.35,0.20765027322404372,0.9047619047619048,0.11728395061728394,0.6519607843137255
logistic,validation_oof,0.4,0.2361111111111111,0.8095238095238095,0.13821138211382114,0.6820728291316527
logistic,validation_oof,0.45,0.2857142857142857,0.7142857142857143,0.17857142857142858,0.7121848739495799
logistic,validation_oof,0.5,0.32098765432098764,0.6190476190476191,0.21666666666666667,0.7107843137254902
logistic,validation_oof,0.55,0.3103448275862069,0.42857142857142855,0.24324324324324326,0.6554621848739496
logistic,validation_oof,0.6,0.3404255319148936,0.38095238095238093,0.3076923076923077,0.6526610644257703
logistic,validation_oof,0.65,0.3125,0.23809523809523808,0.45454545454545453,0.6064425770308123
logistic,validation_oof,0.7,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.5889355742296919
logistic,validation_oof,0.75,0.24,0.14285714285714285,0.75,0.569327731092437
logistic,validation_oof,0.8,0.17391304347826086,0.09523809523809523,1.0,0.5476190476190477
logistic,validation_oof,0.85,0.09090909090909091,0.047619047619047616,1.0,0.5238095238095238
logistic,validation_oof,0.9,0.09090909090909091,0.047619047619047616,1.0,0.5238095238095238
logistic,validation_oof,0.95,0.09090909090909091,0.047619047619047616,1.0,0.5238095238095238
random_forest,validation_oof,0.05,0.1510791366906475,1.0,0.08171206225680934,0.5042016806722689
random_forest,validation_oof,0.1,0.16342412451361868,1.0,0.08898305084745763,0.5483193277310925
random_forest,validation_oof,0.15,0.17796610169491525,1.0,0.09767441860465116,0.592436974789916
random_forest,validation_oof,0.2,0.19801980198019803,0.9523809523809523,0.11049723756906077,0.6379551820728291
random_forest,validation_oof,0.25,0.2275449101796407,0.9047619047619048,0.13013698630136986,0.6855742296918768
random_forest,validation_oof,0.3,0.2695035460992908,0.9047619047619048,0.15833333333333333,0.7401960784313726
random_forest,validation_oof,0.35,0.2982456140350877,0.8095238095238095,0.1827956989247312,0.7450980392156863
random_forest,validation_oof,0.4,0.3448275862068966,0.7142857142857143,0.22727272727272727,0.75
random_forest,validation_oof,0.45,0.3384615384615385,0.5238095238095238,0.25,0.6925770308123249
random_forest,validation_oof,0.5,0.34615384615384615,0.42857142857142855,0.2903225806451613,0.6680672268907563
random_forest,validation_oof,0.55,0.37209302325581395,0.38095238095238093,0.36363636363636365,0.6610644257703081
random_forest,validation_oof,0.6,0.23529411764705882,0.19047619047619047,0.3076923076923077,0.5763305322128851
random_forest,validation_oof,0.65,0.08,0.047619047619047616,0.25,0.5175070028011205
random_forest,validation_oof,0.7,0.0,0.0,0.0,0.49369747899159666
random_forest,validation_oof,0.75,0.0,0.0,0.0,0.4957983193277311
random_forest,validation_oof,0.8,0.0,0.0,0.0,0.49789915966386555
random_forest,validation_oof,0.85,0.0,0.0,0.0,0.5
random_forest,validation_oof,0.9,0.0,0.0,0.0,0.5
random_forest,validation_oof,0.95,0.0,0.0,0.0,0.5
xgboost,validation_oof,0.05,0.15,1.0,0.08108108108108109,0.5
xgboost,validation_oof,0.1,0.16091954022988506,1.0,0.0875,0.5399159663865546
xgboost,validation_oof,0.15,0.16597510373443983,0.9523809523809523,0.09090909090909091,0.5560224089635855
xgboost,validation_oof,0.2,0.19289340101522842,0.9047619047619048,0.10795454545454546,0.6225490196078431
xgboost,validation_oof,0.25,0.21686746987951808,0.8571428571428571,0.12413793103448276,0.6617647058823529
xgboost,validation_oof,0.3,0.23684210526315788,0.8571428571428571,0.13740458015267176,0.6911764705882353
xgboost,validation_oof,0.35,0.2589928057553957,0.8571428571428571,0.15254237288135594,0.7184873949579832
xgboost,validation_oof,0.4,0.27906976744186046,0.8571428571428571,0.16666666666666666,0.7394957983193278
xgboost,validation_oof,0.45,0.38636363636363635,0.8095238095238095,0.2537313432835821,0.7997198879551821
xgboost,validation_oof,0.5,0.6037735849056604,0.7619047619047619,0.5,0.8473389355742297
xgboost,validation_oof,0.55,0.631578947368421,0.5714285714285714,0.7058823529411765,0.7752100840336134
xgboost,validation_oof,0.6,0.48484848484848486,0.38095238095238093,0.6666666666666666,0.6820728291316527
xgboost,validation_oof,0.65,0.41379310344827586,0.2857142857142857,0.75,0.6386554621848739
xgboost,validation_oof,0.7,0.25,0.14285714285714285,1.0,0.5714285714285714
xgboost,validation_oof,0.75,0.0,0.0,0.0,0.5
xgboost,validation_oof,0.8,0.0,0.0,0.0,0.5
xgboost,validation_oof,0.85,0.0,0.0,0.0,0.5
xgboost,validation_oof,0.9,0.0,0.0,0.0,0.5
xgboost,validation_oof,0.95,0.0,0.0,0.0,0.5
