feature,importance
cat__industry_خودرو و ساخت قطعات,0.12795341
cat__industry_فلزات اساسی,0.10728138
num__leverage_ratio,0.09115238
num__net_margin_period_adjusted,0.063358754
cat__industry_محصولات غذایی و آشامیدنی,0.057392422
num__roa_period_adjusted,0.05349755
cat__industry_نامشخص در فایل ارسالی,0.053339895
num__current_ratio,0.045609783
num__asset_turnover_period_adjusted,0.04046474
num__operating_margin_period_adjusted,0.040325444
num__log_total_assets,0.040277973
cat__industry_سایر محصولات کانی غیرفلزی,0.039581176
num__financial_expense_to_assets_period_adjusted,0.03328935
num__missingindicator_revenue_growth_period_adjusted,0.028181665
num__revenue_growth_period_adjusted,0.027658714
cat__industry_کانی غیرفلزی / نسوز,0.02740769
cat__industry_سیمان، آهک و گچ,0.026835918
num__net_income_growth_period_adjusted,0.023451094
num__ocf_to_assets_period_adjusted,0.020888623
cat__industry_مواد و محصولات دارویی,0.020112539
num__missingindicator_net_income_growth_period_adjusted,0.016655175
cat__industry_محصولات شیمیایی,0.015284349
cat__industry_محصولات غذایی / خوراک دام,0.0
cat__industry_ماشین‌آلات و تجهیزات / دستگاه‌های برقی,0.0
cat__industry_محصولات شیمیایی / هلدینگ پتروشیمی,0.0
cat__industry_محصولات غذایی,0.0
cat__industry_استخراج کانه‌های فلزی / سنگ آهن,0.0
num__missingindicator_operating_margin_period_adjusted,0.0
cat__industry_محصولات غذایی و آشامیدنی به جز قند و شکر,0.0
cat__industry_مخابرات,0.0
cat__industry_مواد و محصولات دارویی / هلدینگ دارویی,0.0
cat__industry_کاشی و سرامیک / محصولات کانی غیرفلزی,0.0
cat__industry_ماشین‌آلات و تجهیزات / تجهیزات برقی,0.0
cat__industry_فرآورده‌های نفتی، کک و سوخت هسته‌ای,0.0
cat__industry_استخراج کانه‌های فلزی / معادن,0.0
cat__industry_شیشه و محصولات شیشه‌ای,0.0
cat__industry_سیمان، آهک و گچ / هلدینگ سیمانی,0.0
cat__industry_سرمایه‌گذاری/هلدینگ معدنی,0.0
cat__industry_سرمایه‌گذاری / هلدینگ معدنی و فلزی,0.0
cat__industry_سرمایه‌گذاری / مالی,0.0
num__missingindicator_net_margin_period_adjusted,0.0
cat__industry_رایانه و فعالیت‌های وابسته به آن / خدمات پرداخت,0.0
cat__industry_رایانه و فعالیت‌های وابسته,0.0
cat__industry_Unknown,0.0
cat__industry_حمل و نقل آبی,0.0
cat__industry_حمل و نقل,0.0
cat__industry_انبوه‌سازی، املاک و مستغلات,0.0
cat__industry_زراعت و خدمات وابسته,0.0
