model,metric,point,ci_low,ci_high
logistic,pr_auc,0.2628,0.1027,0.5766
logistic,roc_auc,0.7766,0.5915,0.959
logistic,brier,0.1294,0.1033,0.1554
logistic,precision,0.2667,0.0712,0.5
logistic,recall,0.4444,0.1111,0.8333
logistic,f1,0.3333,0.0909,0.5455
logistic,f2,0.3922,0.1063,0.6557
logistic,specificity,0.9424,0.9096,0.9697
logistic,balanced_accuracy,0.6934,0.5289,0.891
logistic,mcc,0.3045,0.0435,0.5439
random_forest,pr_auc,0.6084,0.2132,0.8901
random_forest,roc_auc,0.8662,0.582,0.9929
random_forest,brier,0.0722,0.0535,0.0913
random_forest,precision,0.4286,0.1533,0.6923
random_forest,recall,0.6667,0.2857,1.0
random_forest,f1,0.5217,0.2222,0.7407
random_forest,f2,0.6,0.2628,0.8333
random_forest,specificity,0.9581,0.9267,0.9845
random_forest,balanced_accuracy,0.8124,0.629,0.982
random_forest,mcc,0.5076,0.1997,0.7444
xgboost,pr_auc,0.6278,0.2382,0.9572
xgboost,roc_auc,0.8726,0.5997,0.997
xgboost,brier,0.048,0.0271,0.074
xgboost,precision,0.4375,0.166,0.7063
xgboost,recall,0.7778,0.3333,1.0
xgboost,f1,0.56,0.2303,0.7742
xgboost,f2,0.6731,0.2937,0.8784
xgboost,specificity,0.9529,0.9158,0.984
xgboost,balanced_accuracy,0.8653,0.6532,0.9845
xgboost,mcc,0.5583,0.2177,0.7727
