row_key,ticker,company_name,industry,fiscal_year,fiscal_year_end,unit,total_assets,total_liabilities,equity,registered_capital,accumulated_loss,current_assets,current_liabilities,revenue_period_adjusted,gross_profit_period_adjusted,operating_profit_period_adjusted,net_income_period_adjusted,operating_cash_flow_period_adjusted,financial_expense_period_adjusted,leverage_ratio,current_ratio,roa_period_adjusted,roe_period_adjusted,equity_ratio,ocf_to_assets_period_adjusted,financial_expense_to_assets_period_adjusted,profit_margin_period_adjusted,operating_margin_period_adjusted,gross_margin_period_adjusted,net_margin_period_adjusted,financial_expense_to_revenue_period_adjusted,asset_turnover_period_adjusted,revenue_growth_period_adjusted,net_income_growth_period_adjusted,sales_growth_period_adjusted,accumulated_loss_to_capital_ratio,debt_to_equity,loss_dummy,equity_negative_dummy,distressed_target_reviewed,usable_for_model_flag,target_status_reviewed,distressed_flag_source_reviewed,data_quality_flag,audit_status_clean,statement_scope_status,non_12_month_period_flag,exclusion_flag,manual_review_required_clean,source_file,source_url,ocf_resolution_status,gross_profit_resolution_status
اپال|1396,اپال,,,1396,1396/10/30,میلیون ریال,16936240.0,11899049.0,5037191.0,5000000.0,0.0,2698527.0,4860046.0,39273.0,-2868.0,-40409.0,19088.0,226860.0,-220300.0,0.702579143894985,0.5552472137094999,0.0011270506322536762,0.003789413583880381,0.2974208561050151,0.01339494480475005,-0.013007609717387094,0.4860336618032745,-1.0289257250528352,-0.07302727064395387,0.4860336618032745,-5.609451786214447,0.002318873610671554,,,,0.0,2.362238993915458,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,auditor_opinion_not_found,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified
اپال|1397,اپال,,,1397,1397/10/30,میلیون ریال,24189703.0,10928025.0,13261678.0,10000000.0,0.0,4907521.0,8878578.0,701506.0,204963.0,121292.0,3227287.0,1563141.0,0.0,0.4517635044961073,0.5527372739193146,0.1334157347859955,0.2433543477680577,0.5482364955038928,0.06462009889083797,0.0,4.600512326337907,0.17290229876864915,0.2921756905856828,4.600512326337907,0.0,0.029000190700977188,16.862297252565376,168.0741303436714,16.862297252565376,0.0,0.8240303376390228,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,auditor_opinion_not_found,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified
اپال|1398,اپال,,,1398,1398/10/30,میلیون ریال,42221549.0,9525819.0,32695730.0,20000000.0,0.0,12049960.0,5657858.0,185981.0,59376.0,-12626.0,10941709.0,-884118.0,-48312.0,0.2256151000049761,2.129774200766438,0.25914987155018876,0.3346525371967532,0.7743848999950239,-0.020939970724427947,-0.0011442498237096892,58.832402234636874,-0.06788865529274496,0.31925841887074485,58.832402234636874,-0.25976847097284134,0.004404883392601252,-0.7348832369217084,2.3903737101782396,-0.7348832369217084,0.0,0.2913474939999811,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,auditor_opinion_not_found,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified
اپال|1399,اپال,,,1399,1399/10/30,میلیون ریال,55183102.0,15626734.0,39556368.0,20000000.0,0.0,17848190.0,10663863.0,16268001.0,,15097540.0,14046637.0,8195557.0,-171055.0,0.283179695117538,1.673707736117765,0.25454598402242773,0.3551043159473084,0.7168203048824621,0.1485156996067383,-0.0030997713756649634,0.8634519385633183,0.928051332182731,,0.8634519385633183,-0.010514813713129229,0.2948004082844056,86.47130620869873,0.28376993027323244,86.47130620869873,0.0,0.3950497679665635,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
اپال|1400,اپال,,,1400,1400/10/30,میلیون ریال,78593999.0,3081803.0,75512196.0,20000000.0,0.0,43293526.0,3072786.0,36166948.0,,33054657.0,48555828.0,8432895.0,-819071.0,0.03921168332457545,14.08933977179016,0.6178057945619996,0.6430196785695386,0.9607883166754245,0.10729693242864509,-0.010421546306607963,1.3425470128140202,0.9139465403605525,,1.3425470128140202,-0.02264694825784028,0.4601744212048556,1.2231955850015008,2.456758226186097,1.2231955850015008,0.0,0.04081199015851691,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
اپال|1401,اپال,,,1401,1401/10/30,میلیون ریال,84343172.0,31423099.0,52920073.0,20000000.0,0.0,50402129.0,31401891.0,15730860.0,,10802677.0,11007876.0,4867486.0,0.0,0.3725624523583249,1.605066682130704,0.1305129477463807,0.20800946363018055,0.6274375476416751,0.0577104925577141,0.0,0.6997631407310217,0.6867187807913872,,0.6997631407310217,0.0,0.18651017772962108,-0.5650487290218682,-0.7732944436659591,-0.5650487290218682,0.0,0.593784120441406,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
اپال|1402,اپال,,,1402,1402/10/30,میلیون ریال,102666674.0,25129279.0,77537395.0,20000000.0,0.0,65196800.0,25097016.0,41247714.0,,33724590.0,35417322.0,17773107.0,0.0,0.2447656870621912,2.597790908688109,0.3449738909434234,0.45677730081078943,0.7552343129378088,0.17311466620609528,0.0,0.8586493302392467,0.8176111287040053,,0.8586493302392467,0.0,0.40176341935456095,1.622088938557714,2.217452849214508,1.622088938557714,0.0,0.3240923814889577,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
بالبر|1399,بالبر,کابل البرز,نامشخص در فایل ارسالی,1399,1399/06/31,میلیون ریال,2946600.0,2586690.0,359910.0,316920.0,0.0,2755402.0,2583220.0,2789153.0,220319.0,140293.0,34244.0,101126.0,-104757.0,0.8778558338423946,1.066654020950597,0.01162152989886649,0.09514600872440332,0.1221441661576054,0.03431955474105749,-0.035551822439421704,0.012277562399767959,0.05029949952548318,0.0789913640449269,0.012277562399767959,-0.03755871406122217,0.9465665512794407,0.2540112445682351,0.2528445468847181,0.2540112445682351,0.0,7.187046761690422,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,,observed_or_verified,observed_or_verified
بالبر|1400,بالبر,کابل البرز,نامشخص در فایل ارسالی,1400,1400/06/31,میلیون ریال,5419378.0,4979323.0,440055.0,316920.0,0.0,5203574.0,4975405.0,8573317.0,265207.0,147132.0,115259.0,-28967.0,-50057.0,0.9187997220345213,1.045859382301541,0.02126793886678508,0.26191953278567454,0.0812002779654787,-0.005345078346629447,-0.009236668857570001,0.013443921413380609,0.017161619009305268,0.03093400139059363,0.013443921413380609,-0.005838696971078988,1.581974352038186,2.073806635921371,2.3658159093563835,2.073806635921371,0.0,11.3152287782209,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۴۰۰_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified
بالبر|1401,بالبر,کابل البرز,نامشخص در فایل ارسالی,1401,1401/06/31,میلیون ریال,6306021.0,5630874.0,675147.0,316920.0,0.0,5023599.0,5126417.0,11494292.0,747534.0,521881.0,290028.0,-15899.0,-247816.0,0.8929361319919487,0.9799434965981113,0.0459922350401307,0.42957755866500186,0.1070638680080514,-0.0025212412074111395,-0.03929831505477067,0.025232350109080228,0.04540349244651171,0.06503523662005455,0.025232350109080228,-0.021559918610037053,1.8227487666152713,0.3407053535988463,1.5163154287300775,0.3407053535988463,0.0,8.34021924114304,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۴۰۱_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified
