ticker,fiscal_year,fiscal_year_end,operating_cash_flow_million_rial,source_status,audit_status,statement_scope,source_pdf,source_page,codal_url,sha256,decision
تاپیکو,1393,1393/02/31,0,source_reported_zero,audited,separate/parent-company as supplied,۱(1).pdf,1,https://www.codal.ir/Reports/InterimStatement.aspx?LetterSerial=Ugxzr7hQQQaQQQbeW0Woy0FWec2A%3d%3d,014b1e7b1d35b4e45219973417ab49e706ebca7364469b86a1ec7ba47327d8a5,accepted as direct reported value; no inference
تاپیکو,1394,1394/02/31,0,source_reported_zero,audited,separate/parent-company as supplied,۲(1).pdf,1,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=fRHtuPLTXT1Gw3P%2b3zvV6A%3d%3d&rt=2&let=6&sheetId=9,64dcfc89650902dcf85a825eff5797dfd3097ff1038e2c23419eb7751d8c828e,accepted as direct reported value; no inference
تپمپی,1393,1393/03/31,0,source_reported_zero,audited,separate/parent-company as supplied,۳(1).pdf,1,https://www.codal.ir/Reports/InterimStatement.aspx?LetterSerial=rbZ8UZ7QJWNl4OQj2sRVaQ%3d%3d,25dc509c70e9dbd097a53b2964e1c18dab1f854f577bbede6d2124f42a4809e5,accepted as direct reported value; no inference
ثشرق,1392,1392/06/31,0,source_reported_zero,audited,separate/parent-company as supplied,۴.pdf,1,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=ZgSKOdePDbrmA6E7YzbIMw%3d%3d&rt=1&let=6&sheetId=9,7fdd12d043917fbf8c5e412c7115b463baf19117049557db4b2720ece7c02986,accepted as direct reported value; no inference
ثشرق,1393,1393/06/31,0,source_reported_zero,audited,separate/parent-company as supplied,۵.pdf,1,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=%2bDyL%2fhjzFfl3zqbZnFpV1w%3d%3d&rt=1&let=6&sheetId=9,79b94f284bbee27489bf635556dbf5b437770784a8aff5916cb006b9224d74ed,accepted as direct reported value; no inference
ثشرق,1394,1394/06/31,0,source_reported_zero,audited,separate/parent-company as supplied,۶.pdf,1,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=ZbicRVusSdpWR3LF%2ftV1%2fw%3d%3d&rt=1&let=6&sheetId=9,2e2ef9b17225899474ee22d0644ad2693a13e866392ea855fe5a00b4e8244123,accepted as direct reported value; no inference
ثنوسا,1392,1392/06/31,0,source_reported_zero,audited,separate/parent-company as supplied,۷.pdf,1,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=Ddg2e7HG6FGR5ygaTFJd4g%3d%3d&rt=1&let=6&sheetId=9,9f867497b2634c3afa29c39548688fa9637c29da68b2ff0fcc1e8aa1390a6838,accepted as direct reported value; no inference
ثنوسا,1393,1393/06/31,0,source_reported_zero,audited,separate/parent-company as supplied,۸.pdf,1,https://www.codal.ir/Reports/InterimStatement.aspx?LetterSerial=HGoDwUK7jQQQaQQQOaJJ19uZA7Xw%3d%3d,115e07e4e4e1c2560e071af907db9e30408e2e793d5c985e7cc9aef6146567d8,accepted as direct reported value; no inference
ثنوسا,1394,1394/06/31,0,source_reported_zero,audited,separate/parent-company as supplied,۹.pdf,1,https://www.codal.ir/Reports/InterimStatement.aspx?LetterSerial=CSyWd7DTRa7NfQQQaQQQvQbqpXZg%3d%3d,db76773b79ed9198f33c1acd415c9f03a4ad280281cb528bcdd34a4199cb50ec,accepted as direct reported value; no inference
خبهمن,1392,1392/12/29,,source_unavailable_codal,unresolved,required: separate/parent-company,,,,,"left missing; no zero, estimate, or inference"
