row_key,ticker,fiscal_year,prior_distressed_target_reviewed,new_FD_target_main,change_reason
بالبر|1396,بالبر,1396,0,1,ocf_neg_high_leverage
بالبر|1397,بالبر,1397,0,1,ocf_neg_high_leverage
بالبر|1400,بالبر,1400,0,1,ocf_neg_high_leverage
بالبر|1401,بالبر,1401,0,1,ocf_neg_high_leverage
بترانس|1394,بترانس,1394,0,1,ocf_neg_high_leverage
بترانس|1395,بترانس,1395,0,1,ocf_neg_high_leverage
چکارن|1393,چکارن,1393,0,1,ocf_neg_high_leverage
ددام|1393,ددام,1393,0,1,ocf_neg_high_leverage
دروز|1398,دروز,1398,0,1,ocf_neg_high_leverage
دروز|1399,دروز,1399,0,1,ocf_neg_high_leverage
دروز|1400,دروز,1400,0,1,ocf_neg_high_leverage
دروز|1401,دروز,1401,0,1,ocf_neg_high_leverage
دروز|1402,دروز,1402,0,1,ocf_neg_high_leverage
دشیمی|1397,دشیمی,1397,0,1,ocf_neg_high_leverage
فاذر|1396,فاذر,1396,0,1,ocf_neg_high_leverage
فاذر|1397,فاذر,1397,0,1,ocf_neg_high_leverage
فاذر|1399,فاذر,1399,0,1,ocf_neg_high_leverage
فمراد|1398,فمراد,1398,0,1,ocf_neg_high_leverage
غدام|1396,غدام,1396,0,1,ocf_neg_high_leverage
حکشتی|1392,حکشتی,1392,0,missing,became_missing_insufficient_data
همراه|1392,همراه,1392,0,missing,became_missing_insufficient_data
همراه|1393,همراه,1393,0,missing,became_missing_insufficient_data
همراه|1394,همراه,1394,0,missing,became_missing_insufficient_data
کفپارس|1396,کفپارس,1396,0,1,ocf_neg_high_leverage
خچرخش|1392,خچرخش,1392,0,1,ocf_neg_high_leverage
خمهر|1395,خمهر,1395,0,1,ocf_neg_high_leverage
خوساز|1395,خوساز,1395,0,1,ocf_neg_high_leverage
خرینگ|1395,خرینگ,1395,0,1,ocf_neg_high_leverage
لبوتان|1398,لبوتان,1398,0,1,ocf_neg_high_leverage
لبوتان|1399,لبوتان,1399,0,1,ocf_neg_high_leverage
لبوتان|1400,لبوتان,1400,0,1,ocf_neg_high_leverage
لبوتان|1401,لبوتان,1401,0,1,ocf_neg_high_leverage
لابسا|1396,لابسا,1396,0,1,ocf_neg_high_leverage
لخزر|1394,لخزر,1394,0,1,ocf_neg_high_leverage
رمپنا|1392,رمپنا,1392,0,missing,became_missing_insufficient_data
رمپنا|1393,رمپنا,1393,0,missing,became_missing_insufficient_data
رمپنا|1394,رمپنا,1394,0,missing,became_missing_insufficient_data
رمپنا|1395,رمپنا,1395,0,missing,became_missing_insufficient_data
رمپنا|1396,رمپنا,1396,0,missing,became_missing_insufficient_data
رمپنا|1397,رمپنا,1397,0,1,ocf_neg_high_leverage
سقاین|1394,سقاین,1394,0,1,ocf_neg_high_leverage
سدور|1395,سدور,1395,0,1,ocf_neg_high_leverage
سدور|1402,سدور,1402,0,1,ocf_neg_high_leverage
سشرق|1394,سشرق,1394,0,1,ocf_neg_high_leverage
سشرق|1395,سشرق,1395,0,1,ocf_neg_high_leverage
تکمبا|1402,تکمبا,1402,0,1,ocf_neg_high_leverage
شپارس|1400,شپارس,1400,0,1,ocf_neg_high_leverage
شپارس|1401,شپارس,1401,0,1,ocf_neg_high_leverage
سیلام|1395,سیلام,1395,0,1,ocf_neg_high_leverage
سیلام|1399,سیلام,1399,0,1,ocf_neg_high_leverage
