row_key,ticker,company_name,fiscal_year,registered_capital,accumulated_loss,equity,operating_cash_flow,total_liabilities,total_assets,net_income,leverage_ratio_used,accumulated_loss_ratio_used,fd_article141_direct,fd_accumulated_loss,fd_negative_equity,fd_ocf_high_leverage,persistent_loss_flag,FD_target_main,FD_target_article141_only,FD_target_persistent_loss_robustness,positive_target_reasons,target_missing_reason,distressed_target_reviewed,target_status_reviewed,distressed_flag_source_reviewed,ocf_resolution_status,statement_scope_status,non_12_month_period_flag,audit_status_clean,data_quality_flag,source_file,industry,prior_distressed_target_reviewed,target_changed_vs_prior,change_reason
اپال|1396,اپال,,1396,5000000.0,0.0,5037191.0,226860.0,11899049.0,16936240.0,19088.0,0.702579,0.0,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,auditor_opinion_not_found,اپال_۱۳۹۶_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اپال|1397,اپال,,1397,10000000.0,0.0,13261678.0,1563141.0,10928025.0,24189703.0,3227287.0,0.451764,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,auditor_opinion_not_found,اپال_۱۳۹۷_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اپال|1398,اپال,,1398,20000000.0,0.0,32695730.0,-884118.0,9525819.0,42221549.0,10941709.0,0.225615,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,auditor_opinion_not_found,اپال_۱۳۹۸_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اپال|1399,اپال,,1399,20000000.0,0.0,39556368.0,8195557.0,15626734.0,55183102.0,14046637.0,0.28318,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,اپال_۱۳۹۹_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اپال|1400,اپال,,1400,20000000.0,0.0,75512196.0,8432895.0,3081803.0,78593999.0,48555828.0,0.039212,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,اپال_۱۴۰۰_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اپال|1401,اپال,,1401,20000000.0,0.0,52920073.0,4867486.0,31423099.0,84343172.0,11007876.0,0.372562,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,اپال_۱۴۰۱_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اپال|1402,اپال,,1402,20000000.0,0.0,77537395.0,17773107.0,25129279.0,102666674.0,35417322.0,0.244766,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,missing_gross_profit; auditor_opinion_not_found; investment_income_statement_format_detected__sample_eligibility_review_required,اپال_۱۴۰۲_۱۰_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,,0,0,
اردستان|1392,اردستان,شرکت سیمان اردستان,1392,,,,,,,,,,missing,missing,missing,missing,missing,missing,missing,missing,,missing_accumulated_loss_and_capital & missing_equity & missing_ocf_and_leverage,,unresolved_missing_target_inputs,unresolved_missing_target_inputs,pre_listing_missing_excluded,statement_scope_unknown,0,audit_status_unknown,,,سیمان، آهک و گچ,missing,0,
اردستان|1393,اردستان,شرکت سیمان اردستان,1393,,,,,,,,,,missing,missing,missing,missing,missing,missing,missing,missing,,missing_accumulated_loss_and_capital & missing_equity & missing_ocf_and_leverage,,unresolved_missing_target_inputs,unresolved_missing_target_inputs,pre_listing_missing_excluded,statement_scope_unknown,0,audit_status_unknown,,,سیمان، آهک و گچ,missing,0,
اردستان|1394,اردستان,شرکت سیمان اردستان,1394,,,,,,,,,,missing,missing,missing,missing,missing,missing,missing,missing,,missing_accumulated_loss_and_capital & missing_equity & missing_ocf_and_leverage,,unresolved_missing_target_inputs,unresolved_missing_target_inputs,pre_listing_missing_excluded,statement_scope_unknown,0,audit_status_unknown,,,سیمان، آهک و گچ,missing,0,
