fiscal_year,target,n,pos_1,neg_0,missing
1392,FD_target_main,57,8,44,5
1392,FD_target_persistent_loss_robustness,57,8,0,49
1392,FD_target_article141_only,57,7,48,2
1393,FD_target_main,121,11,104,6
1393,FD_target_persistent_loss_robustness,121,12,43,66
1393,FD_target_article141_only,121,9,108,4
1394,FD_target_main,124,13,105,6
1394,FD_target_persistent_loss_robustness,124,16,100,8
1394,FD_target_article141_only,124,9,111,4
1395,FD_target_main,125,16,104,5
1395,FD_target_persistent_loss_robustness,125,21,98,6
1395,FD_target_article141_only,125,9,112,4
1396,FD_target_main,127,18,104,5
1396,FD_target_persistent_loss_robustness,127,20,100,7
1396,FD_target_article141_only,127,13,110,4
1397,FD_target_main,128,10,117,1
1397,FD_target_persistent_loss_robustness,128,13,109,6
1397,FD_target_article141_only,128,6,121,1
1398,FD_target_main,129,6,123,0
1398,FD_target_persistent_loss_robustness,129,9,118,2
1398,FD_target_article141_only,129,3,126,0
1399,FD_target_main,130,4,126,0
1399,FD_target_persistent_loss_robustness,130,4,125,1
1399,FD_target_article141_only,130,0,130,0
1400,FD_target_main,130,4,126,0
1400,FD_target_persistent_loss_robustness,130,4,126,0
1400,FD_target_article141_only,130,0,130,0
1401,FD_target_main,130,5,125,0
1401,FD_target_persistent_loss_robustness,130,6,124,0
1401,FD_target_article141_only,130,1,129,0
1402,FD_target_main,130,3,127,0
1402,FD_target_persistent_loss_robustness,130,5,125,0
1402,FD_target_article141_only,130,0,130,0
