row_key,ticker,fiscal_year,company_name,eligible_listing,eligible_statement_type,statement_scope_canonical,statement_scope_display_fa,statement_scope_display_en,eligible_annual_period,eligible_source_quality,eligible_accounting_quality,eligible_company_main,eligible_company_expanded,eligible_target,predictor_eligible_main,predictor_eligible_expanded,model_exclusion_reason_main,model_exclusion_reason_expanded
اپال|1396,اپال,1396,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اپال|1397,اپال,1397,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اپال|1398,اپال,1398,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اپال|1399,اپال,1399,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اپال|1400,اپال,1400,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اپال|1401,اپال,1401,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اپال|1402,اپال,1402,,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اردستان|1392,اردستان,1392,شرکت سیمان اردستان,0,1,annual_separate_company_user_confirmed,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,0,1,1,1,0,0,0,pre_listing | source_not_traceable,pre_listing | source_not_traceable
اردستان|1393,اردستان,1393,شرکت سیمان اردستان,0,1,annual_separate_company_user_confirmed,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,0,1,1,1,0,0,0,pre_listing | source_not_traceable,pre_listing | source_not_traceable
اردستان|1394,اردستان,1394,شرکت سیمان اردستان,0,1,annual_separate_company_user_confirmed,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,0,1,1,1,0,0,0,pre_listing | source_not_traceable,pre_listing | source_not_traceable
اردستان|1395,اردستان,1395,شرکت سیمان اردستان,0,1,annual_separate_company_user_confirmed,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,0,1,1,1,0,0,0,pre_listing | source_not_traceable,pre_listing | source_not_traceable
اردستان|1396,اردستان,1396,شرکت سیمان اردستان,0,1,annual_separate_company_user_confirmed,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,0,1,1,1,0,0,0,pre_listing | source_not_traceable,pre_listing | source_not_traceable
اردستان|1397,اردستان,1397,شرکت سیمان اردستان,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اردستان|1398,اردستان,1398,شرکت سیمان اردستان,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اروند|1394,اروند,1394,شرکت پتروشیمی اروند,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اروند|1395,اروند,1395,شرکت پتروشیمی اروند,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اروند|1396,اروند,1396,شرکت پتروشیمی اروند,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اروند|1398,اروند,1398,شرکت پتروشیمی اروند,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اروند|1399,اروند,1399,شرکت پتروشیمی اروند,1,1,separate,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
اروند|1400,اروند,1400,شرکت پتروشیمی اروند,1,1,separate,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1393,بالبر,1393,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1394,بالبر,1394,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1395,بالبر,1395,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1396,بالبر,1396,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1397,بالبر,1397,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1398,بالبر,1398,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1399,بالبر,1399,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1400,بالبر,1400,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1401,بالبر,1401,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
بالبر|1402,بالبر,1402,کابل البرز,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
برکت|1393,برکت,1393,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1394,برکت,1394,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1395,برکت,1395,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1396,برکت,1396,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1397,برکت,1397,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1398,برکت,1398,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1399,برکت,1399,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
برکت|1400,برکت,1400,گروه دارویی برکت,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,0,1,1,0,1,financial_or_holding_company,
