ticker,company_name,fiscal_year,pre_listing_marker,eligible_listing,review_note,review_status
اردستان,شرکت سیمان اردستان,1392,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
اردستان,شرکت سیمان اردستان,1393,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
اردستان,شرکت سیمان اردستان,1394,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
اردستان,شرکت سیمان اردستان,1395,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
اردستان,شرکت سیمان اردستان,1396,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
کویر,شرکت تولیدی فولاد سپید فراب کویر,1393,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
کویر,شرکت تولیدی فولاد سپید فراب کویر,1394,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
کویر,شرکت تولیدی فولاد سپید فراب کویر,1395,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
کویر,شرکت تولیدی فولاد سپید فراب کویر,1396,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
سآبیک,سیمان آبیک,1393,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
سآبیک,سیمان آبیک,1394,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
سآبیک,سیمان آبیک,1395,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
سآبیک,سیمان آبیک,1396,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
وکغدیر,سرمایه گذاری غدیر,1392,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
وکغدیر,سرمایه گذاری غدیر,1393,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
وکغدیر,سرمایه گذاری غدیر,1394,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
وکغدیر,سرمایه گذاری غدیر,1395,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
وکغدیر,سرمایه گذاری غدیر,1396,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
وکغدیر,سرمایه گذاری غدیر,1397,pre_listing_missing_excluded,0,excluded as pre-listing; explicit public-trading-start-date column not available in data — confirm manually if a listing master becomes available,pending_manual_confirmation
