ticker,ticker_normalized,company_name,admission_date_candidate_jalali,admission_date_candidate_gregorian,listing_date_candidate_jalali,listing_date_candidate_gregorian,first_public_offering_date_candidate_jalali,first_public_offering_date_candidate_gregorian,first_public_trading_date_candidate_jalali,first_public_trading_date_candidate_gregorian,proposed_canonical_public_entry_date_jalali,proposed_canonical_public_entry_date_gregorian,proposed_canonical_event_type,date_precision,ordinary_share_confirmed,evidence_status,research_status,ready_for_user_review,primary_source_type,primary_source_title,primary_source_url,secondary_source_type,secondary_source_title,secondary_source_url,tsetmc_instrument_match_status,tsetmc_candidate_date_jalali,tsetmc_candidate_disposition,ambiguity_notes,programmer_recommendation
بموتو,بموتو,موتوژن,1369-12-28,1991-03-19,,,,,,,,,,exact_day,true,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,market_media,سهام بموتو - علیرضا مهرابی,https://alirezamehrabi.com/saham/electrical-machinery/motj,,,,network_unreachable,,network_unreachable,admission/listing date found but no first public offering/trading evidence; tsetmc unreachable; no conflict check,requires_first_public_trade_evidence
ثشرق,ثشرق,سرمایه گذاری مسکن شمال شرق,,,1393-04-04,2014-06-25,,,,,,,,exact_day,true,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,market_media,سهام ثشرق - علیرضا مهرابی,https://alirezamehrabi.com/saham/construction-real-estate/pmsx,market_media,ثشرق - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/sshargh-1186.html,network_unreachable,,network_unreachable,admission/listing date found but no first public offering/trading evidence; tsetmc unreachable; no conflict check,requires_first_public_trade_evidence
ثنوسا,ثنوسا,نوسازی و ساختمان تهران,,,1383-10-09,2004-12-29,,,,,,,,exact_day,true,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,market_information_aggregator,نماد ثنوسا - تاکدال,https://tacodal.ir/symbol/%D8%AB%D9%86%D9%88%D8%B3%D8%A7,company_official_website,شرکت نوسازی و ساختمان تهران,https://www.nosa-eng.com/,network_unreachable,,network_unreachable,admission/listing date found but no first public offering/trading evidence; tsetmc unreachable; no conflict check,requires_first_public_trade_evidence
حپترو,حپترو,حمل و نقل پتروشیمی,1382-05-06,2003-07-28,,,,,,,,,,exact_day,true,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,market_media,اطلاعات شرکت حپترو - رهاورد 365,https://rahavard365.com/asset/380/%D8%AD%D9%BE%D8%AA%D8%B1%D9%88,company_official_website,تاریخچه شرکت حمل و نقل پتروشیمی,https://ptec-ir.ir/%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DA%86%D9%87/,network_unreachable,,network_unreachable,admission/listing date found but no first public offering/trading evidence; tsetmc unreachable; no conflict check,requires_first_public_trade_evidence
حکشتی,حکشتی,کشتیرانی جمهوری اسلامی ایران,,,,,,,,,,,unresolved,exact_day,unknown,requires_manual_review,requires_manual_review,false,news_website_contemporaneous,28 اردیبهشت: عرضه اولیه سهام کشتیرانی - همشهری آنلاین,https://www.hamshahrionline.ir/news/51719/28-%D8%A7%D8%B1%D8%AF%DB%8C%D8%A8%D9%87%D8%B4%D8%AA-%D8%B9%D8%B1%D8%B6%D9%87-%D8%A7%D9%88%D9%84%DB%8C%D9%87-%D8%B3%D9%87%D8%A7%D9%85-%DA%A9%D8%B4%D8%AA%DB%8C%D8%B1%D8%A7%D9%86%DB%8C,market_information_aggregator,نماد حکشتی - تاکدال,https://tacodal.ir/symbol/%D8%AD%DA%A9%D8%B4%D8%AA%DB%8C,network_unreachable,,network_unreachable,conflicting exact-day dates; manual resolution required; tsetmc unreachable; no conflict check,requires_manual_review_for_exact_date
خاذین,خاذین,سایپا آذین,,,,,,,,,,,first_public_offering,month_only,true,requires_manual_review,requires_manual_review,false,market_media,تحلیل تکنیکال خاذین - آرتان ترید,https://artantrade.com/%d8%aa%d8%ad%d9%84%db%8c%d9%84-%d8%aa%da%a9%d9%86%db%8c%da%a9%d8%a7%d9%84-%d8%ae%d8%a7%d8%b0%db%8c%d9%86/,market_media,خاذین - آموزش بورس,https://amoozesh-boors.com/fa/stocks/%D8%AE%D8%A7%D8%B0%DB%8C%D9%86,network_unreachable,,network_unreachable,only month precision; exact day required; tsetmc unreachable; no conflict check,requires_manual_review_for_exact_date
خبهمن,خبهمن,گروه بهمن,,,,,,,,,,,,month_only,true,requires_manual_review,requires_manual_review,false,market_media,تحلیل سهام خبهمن - حسن خزایی,https://hassankhazaei.ir/%D8%AE%D8%A8%D9%87%D9%85%D9%86,news_website,نماد خبهمن - ECN,https://ecn.ir/stock-symbols/khbahman/,network_unreachable,,network_unreachable,only month precision; exact day required; tsetmc unreachable; no conflict check,requires_manual_review_for_exact_date
ختوقا,ختوقا,گروه صنعتی قطعات اتومبیل ایران,,,,,,,,,,,,year_only,true,requires_manual_review,requires_manual_review,false,market_media,معرفی قطعات اتومبیل ایران - خبربان,https://khabarban.com/20480470/,market_media,تحلیل سهام ختوقا - فلفلانی,https://felfelani.ir/%D8%AA%D8%AD%D9%84%DB%8C%D9%84-%D8%B3%D9%87%D8%A7%D9%85-%D8%AE%D8%AA%D9%88%D9%82%D8%A7/,network_unreachable,,network_unreachable,only year precision; exact day required; tsetmc unreachable; no conflict check,requires_manual_review_for_exact_date
خرینگ,خرینگ,رینگ سازی مشهد,,,1382-12-16,2004-03-06,,,,,,,,exact_day,true,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,market_media,سهام خرینگ - علیرضا مهرابی,https://alirezamehrabi.com/saham/auto-parts/rinm,news_website,نماد خرینگ - ECN,https://ecn.ir/stock-symbols/khring/,network_unreachable,,network_unreachable,admission/listing date found but no first public offering/trading evidence; tsetmc unreachable; no conflict check,requires_first_public_trade_evidence
خمحور,خمحور,تولید محور خودرو,1383-08-25,2004-11-15,,,,,,,,,,exact_day,true,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,market_media,خمحور - آموزش بورس,https://amoozesh-boors.com/fa/stocks/%D8%AE%D9%85%D8%AD%D9%88%D8%B1,market_media,سهام خمحور - علیرضا مهرابی,https://alirezamehrabi.com/saham/auto-parts/tmkh,network_unreachable,,network_unreachable,admission/listing date found but no first public offering/trading evidence; tsetmc unreachable; no conflict check,requires_first_public_trade_evidence
