ticker,company_name,current_research_status,network_blocked,primary_search_query_fa,secondary_search_query_fa,official_source_target,contemporaneous_news_target,discovered_source_1_url,discovered_source_2_url,first_public_event_candidate,candidate_date_jalali,date_precision,ordinary_share_explicit,conflict_notes,manual_review_status,reviewer_notes
خمهر,مهرکام پارس,research_blocked_network,true,مهرکام پارس عرضه اولیه,خمهر نخستین روز معامله,مهرکام پارس امیدنامه پذیرش بورس کدال,مهرکام پارس درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
خنصیر,مهندسی نصیر ماشین,research_blocked_network,true,مهندسی نصیر ماشین عرضه اولیه,خنصیر نخستین روز معامله,مهندسی نصیر ماشین امیدنامه پذیرش بورس کدال,مهندسی نصیر ماشین درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
خوساز,محورسازان ایران خودرو,research_blocked_network,true,محورسازان ایران خودرو عرضه اولیه,خوساز نخستین روز معامله,محورسازان ایران خودرو امیدنامه پذیرش بورس کدال,محورسازان ایران خودرو درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
خچرخش,چرخشگر,research_blocked_network,true,چرخشگر عرضه اولیه,خچرخش نخستین روز معامله,چرخشگر امیدنامه پذیرش بورس کدال,چرخشگر درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
خکمک,کمک فنر ایندامین,research_blocked_network,true,کمک فنر ایندامین عرضه اولیه,خکمک نخستین روز معامله,کمک فنر ایندامین امیدنامه پذیرش بورس کدال,کمک فنر ایندامین درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
دروز,روز دارو,research_blocked_network,true,روز دارو عرضه اولیه,دروز نخستین روز معامله,روز دارو امیدنامه پذیرش بورس کدال,روز دارو درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
دسبحا,گروه دارویی سبحان,research_blocked_network,true,گروه دارویی سبحان عرضه اولیه,دسبحا نخستین روز معامله,گروه دارویی سبحان امیدنامه پذیرش بورس کدال,گروه دارویی سبحان درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
دیران,ایران دارو,research_blocked_network,true,ایران دارو عرضه اولیه,دیران نخستین روز معامله,ایران دارو امیدنامه پذیرش بورس کدال,ایران دارو درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
رانفور,خدمات انفورماتیک,research_blocked_network,true,خدمات انفورماتیک عرضه اولیه,رانفور نخستین روز معامله,خدمات انفورماتیک امیدنامه پذیرش بورس کدال,خدمات انفورماتیک درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
رمپنا,گروه مپنا (سهامی عام),research_blocked_network,true,گروه مپنا (سهامی عام) عرضه اولیه,رمپنا نخستین روز معامله,گروه مپنا (سهامی عام) امیدنامه پذیرش بورس کدال,گروه مپنا (سهامی عام) درج نماد خبر عرضه اولیه,,,,,unknown,unknown,,pending_manual_research,
