ticker,source_index,source_type,source_title,source_url,publication_date,retrieved_at_utc,http_status,retrieval_status,final_url,content_type,response_size_bytes,snapshot_path,content_sha256,extraction_notes,exact_text_or_event_summary,supported_event_type,supported_date_jalali
خمهر,1,market_information_aggregator,مهرکام پارس - رهاورد 365,https://rahavard365.com/asset/jdax/%D8%AE%D9%85%D9%87%D8%B1,,2026-06-27T00:57:43Z,,timeout,https://rahavard365.com/asset/jdax/%D8%AE%D9%85%D9%87%D8%B1,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خمهر,2,codal_official,جستجوی اطلاعیه‌های خمهر - کدال,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%D9%85%D9%87%D8%B1,,2026-06-27T00:57:49Z,,timeout,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%D9%85%D9%87%D8%B1,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خنصیر,1,market_information_aggregator,مهندسی نصیر ماشین - رهاورد 365,https://rahavard365.com/asset/%D8%AE%D9%86%D8%B5%DB%8C%D8%B1,,2026-06-27T00:57:54Z,,timeout,https://rahavard365.com/asset/%D8%AE%D9%86%D8%B5%DB%8C%D8%B1,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خنصیر,2,codal_official,جستجوی اطلاعیه‌های خنصیر - کدال,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%D9%86%D8%B5%DB%8C%D8%B1,,2026-06-27T00:57:59Z,,timeout,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%D9%86%D8%B5%DB%8C%D8%B1,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خوساز,1,market_information_aggregator,محورسازان ایران خودرو - رهاورد 365,https://rahavard365.com/asset/%D8%AE%D9%88%D8%B3%D8%A7%D8%B2,,2026-06-27T00:58:04Z,,timeout,https://rahavard365.com/asset/%D8%AE%D9%88%D8%B3%D8%A7%D8%B2,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خوساز,2,codal_official,جستجوی اطلاعیه‌های خوساز - کدال,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%D9%88%D8%B3%D8%A7%D8%B2,,2026-06-27T00:58:09Z,,timeout,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%D9%88%D8%B3%D8%A7%D8%B2,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خچرخش,1,market_information_aggregator,چرخشگر - رهاورد 365,https://rahavard365.com/asset/%D8%AE%DA%86%D8%B1%D8%AE%D8%B4,,2026-06-27T00:58:14Z,,timeout,https://rahavard365.com/asset/%D8%AE%DA%86%D8%B1%D8%AE%D8%B4,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خچرخش,2,codal_official,جستجوی اطلاعیه‌های خچرخش - کدال,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%DA%86%D8%B1%D8%AE%D8%B4,,2026-06-27T00:58:19Z,,timeout,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%DA%86%D8%B1%D8%AE%D8%B4,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خکمک,1,market_information_aggregator,کمک فنر ایندامین - رهاورد 365,https://rahavard365.com/asset/%D8%AE%DA%A9%D9%85%DA%A9,,2026-06-27T00:58:24Z,,timeout,https://rahavard365.com/asset/%D8%AE%DA%A9%D9%85%DA%A9,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
خکمک,2,codal_official,جستجوی اطلاعیه‌های خکمک - کدال,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%DA%A9%D9%85%DA%A9,,2026-06-27T00:58:29Z,,timeout,https://www.codal.ir/ReportList.aspx?search&Symbol=%D8%AE%DA%A9%D9%85%DA%A9,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
دروز,1,market_information_aggregator,روز دارو - رهاورد 365,https://rahavard365.com/asset/%D8%AF%D8%B1%D9%88%D8%B2,,2026-06-27T00:58:34Z,,timeout,https://rahavard365.com/asset/%D8%AF%D8%B1%D9%88%D8%B2,,,,,Request timed out after 5.0s; no snapshot stored; no hash fabricated.,,,
