ticker,ticker_normalized,instrument_match_status,historical_candidate_date,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,selected_inscode,candidate_disposition,source_file_path,source_file_sha256,probe_source,network_request_performed
خمهر,خمهر,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
خنصیر,خنصیر,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
خوساز,خوساز,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
خچرخش,خچرخش,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
خکمک,خکمک,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
دروز,دروز,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
دسبحا,دسبحا,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
دیران,دیران,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
رانفور,رانفور,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
رمپنا,رمپنا,not_in_historical_v2_audit,,,,,not_in_historical_v2_audit,stage124/listing_batch02_tsetmc_conflict_audit_v2.csv,0e5cda36aded1e30b3c61f9ef31a055e0a3f06b4106f4d8f135f67d775e8eca6,historical_v2_audit,false
