sample_design,target_year,n,positive,negative,target_missing
main_rule_a_primary,1393,46,8,38,0
main_rule_a_primary,1394,98,11,87,0
main_rule_a_primary,1395,101,14,87,0
main_rule_a_primary,1396,101,16,85,0
main_rule_a_primary,1397,105,10,95,0
main_rule_a_primary,1398,106,6,100,0
main_rule_a_primary,1399,110,4,106,0
main_rule_a_primary,1400,112,4,108,0
main_rule_a_primary,1401,116,5,111,0
main_rule_a_primary,1402,118,3,115,0
main_rule_b_listing_robustness,1393,46,8,38,0
main_rule_b_listing_robustness,1394,97,11,86,0
main_rule_b_listing_robustness,1395,99,14,85,0
main_rule_b_listing_robustness,1396,101,16,85,0
main_rule_b_listing_robustness,1397,102,10,92,0
main_rule_b_listing_robustness,1398,104,6,98,0
main_rule_b_listing_robustness,1399,107,4,103,0
main_rule_b_listing_robustness,1400,111,4,107,0
main_rule_b_listing_robustness,1401,111,4,107,0
main_rule_b_listing_robustness,1402,116,3,113,0
expanded_rule_a_company_scope_robustness,1393,47,8,39,0
expanded_rule_a_company_scope_robustness,1394,102,11,91,0
expanded_rule_a_company_scope_robustness,1395,105,14,91,0
expanded_rule_a_company_scope_robustness,1396,106,16,90,0
expanded_rule_a_company_scope_robustness,1397,110,10,100,0
expanded_rule_a_company_scope_robustness,1398,111,6,105,0
expanded_rule_a_company_scope_robustness,1399,115,4,111,0
expanded_rule_a_company_scope_robustness,1400,117,4,113,0
expanded_rule_a_company_scope_robustness,1401,121,5,116,0
expanded_rule_a_company_scope_robustness,1402,123,3,120,0
expanded_rule_b_combined_robustness,1393,47,8,39,0
expanded_rule_b_combined_robustness,1394,100,11,89,0
expanded_rule_b_combined_robustness,1395,103,14,89,0
expanded_rule_b_combined_robustness,1396,105,16,89,0
expanded_rule_b_combined_robustness,1397,107,10,97,0
expanded_rule_b_combined_robustness,1398,109,6,103,0
expanded_rule_b_combined_robustness,1399,112,4,108,0
expanded_rule_b_combined_robustness,1400,116,4,112,0
expanded_rule_b_combined_robustness,1401,116,4,112,0
expanded_rule_b_combined_robustness,1402,121,3,118,0
