pair_key,ticker,predictor_year,target_year,stage123_eligibility,gate_b_eligibility,change_type,listing_rule,company_scope,sample_design,exclusion_reason
اپال|1396->اپال|1397,اپال,1396,1397,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اپال|1397->اپال|1398,اپال,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اپال|1398->اپال|1399,اپال,1398,1399,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اپال|1399->اپال|1400,اپال,1399,1400,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اردستان|1397->اردستان|1398,اردستان,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اردستان|1398->اردستان|1399,اردستان,1398,1399,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اروند|1394->اروند|1395,اروند,1394,1395,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اروند|1395->اروند|1396,اروند,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اروند|1398->اروند|1399,اروند,1398,1399,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اروند|1399->اروند|1400,اروند,1399,1400,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
اروند|1400->اروند|1401,اروند,1400,1401,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
بوعلی|1393->بوعلی|1394,بوعلی,1393,1394,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
بوعلی|1394->بوعلی|1395,بوعلی,1394,1395,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
بوعلی|1395->بوعلی|1396,بوعلی,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
بوعلی|1396->بوعلی|1397,بوعلی,1396,1397,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
بوعلی|1397->بوعلی|1398,بوعلی,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
بوعلی|1398->بوعلی|1399,بوعلی,1398,1399,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
های وب|1392->های وب|1393,های وب,1392,1393,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
های وب|1393->های وب|1394,های وب,1393,1394,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
های وب|1394->های وب|1395,های وب,1394,1395,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
های وب|1395->های وب|1396,های وب,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
جم|1393->جم|1394,جم,1393,1394,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
جم پیلن|1397->جم پیلن|1398,جم پیلن,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
کاوه|1393->کاوه|1394,کاوه,1393,1394,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
کاوه|1394->کاوه|1395,کاوه,1394,1395,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
کاوه|1395->کاوه|1396,کاوه,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
کیمیاتک|1399->کیمیاتک|1400,کیمیاتک,1399,1400,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
کویر|1397->کویر|1398,کویر,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
نوری|1393->نوری|1394,نوری,1393,1394,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
نوری|1394->نوری|1395,نوری,1394,1395,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
نوری|1395->نوری|1396,نوری,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
نوری|1396->نوری|1397,نوری,1396,1397,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
نوری|1397->نوری|1398,نوری,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پرداخت|1394->پرداخت|1395,پرداخت,1394,1395,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پرداخت|1395->پرداخت|1396,پرداخت,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پارس|1396->پارس|1397,پارس,1396,1397,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پی‌پاد|1395->پی‌پاد|1396,پی‌پاد,1395,1396,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پی‌پاد|1396->پی‌پاد|1397,پی‌پاد,1396,1397,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پی‌پاد|1397->پی‌پاد|1398,پی‌پاد,1397,1398,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
پی‌پاد|1398->پی‌پاد|1399,پی‌پاد,1398,1399,1,0,removed,rule_a,main,main_rule_a_primary,predictor_ineligible:listing_first_trading_date_after_fy_end
