row_key,ticker,fiscal_year,fiscal_year_end,fiscal_year_start,first_public_trading_date_jalali,first_public_trading_date_gregorian,date_semantics,eligible_rule_a,eligible_rule_b,eligible_rule_c,exclusion_reason_rule_a,exclusion_reason_rule_b,exclusion_reason_rule_c,data_quality_status
سآبیک|1393,سآبیک,1393,,,1401-02-28,2022-05-18,first_observed_trading_date_from_official_tse_api,unresolved,unresolved,unresolved,fiscal_year_end_missing_or_unparseable,fiscal_year_start_unresolved,fiscal_year_start_unresolved,missing_fiscal_year_end
سآبیک|1394,سآبیک,1394,,,1401-02-28,2022-05-18,first_observed_trading_date_from_official_tse_api,unresolved,unresolved,unresolved,fiscal_year_end_missing_or_unparseable,fiscal_year_start_unresolved,fiscal_year_start_unresolved,missing_fiscal_year_end
سآبیک|1395,سآبیک,1395,,,1401-02-28,2022-05-18,first_observed_trading_date_from_official_tse_api,unresolved,unresolved,unresolved,fiscal_year_end_missing_or_unparseable,fiscal_year_start_unresolved,fiscal_year_start_unresolved,missing_fiscal_year_end
سآبیک|1396,سآبیک,1396,,,1401-02-28,2022-05-18,first_observed_trading_date_from_official_tse_api,unresolved,unresolved,unresolved,fiscal_year_end_missing_or_unparseable,fiscal_year_start_unresolved,fiscal_year_start_unresolved,missing_fiscal_year_end
شکلر|1397,شکلر,1397,1397/05/31,,1382-08-24,2003-11-15,first_observed_trading_date_from_official_tse_api,1,unresolved,unresolved,,fiscal_year_start_unresolved,fiscal_year_start_unresolved,non_12_month_period
شکلر|1400,شکلر,1400,1400/08/30,,1382-08-24,2003-11-15,first_observed_trading_date_from_official_tse_api,1,unresolved,unresolved,,fiscal_year_start_unresolved,fiscal_year_start_unresolved,non_12_month_period
غشان|1402,غشان,1402,1402/10/30,,1384-03-23,2005-06-13,first_observed_trading_date_from_official_tse_api,1,unresolved,unresolved,,fiscal_year_start_unresolved,fiscal_year_start_unresolved,non_12_month_period
پرداخت|1401,پرداخت,1401,1401/09/30,,1396-04-27,2017-07-18,first_observed_trading_date_from_official_tse_api,1,unresolved,unresolved,,fiscal_year_start_unresolved,fiscal_year_start_unresolved,non_12_month_period
پی‌پاد|1401,پی‌پاد,1401,1401/09/30,,1402-01-16,2023-04-05,first_observed_trading_date_from_official_tse_api,0,unresolved,unresolved,first_trading_date_after_fy_end,fiscal_year_start_unresolved,fiscal_year_start_unresolved,non_12_month_period
پی‌پاد|1402,پی‌پاد,1402,1402/09/30,,1402-01-16,2023-04-05,first_observed_trading_date_from_official_tse_api,1,unresolved,unresolved,,fiscal_year_start_unresolved,fiscal_year_start_unresolved,non_12_month_period
