ticker,ticker_normalized,company_name,proposed_canonical_public_entry_date_jalali,proposed_canonical_public_entry_date_gregorian,proposed_canonical_event_type,date_precision,evidence_status,research_status,admission_date_candidate_jalali,admission_date_candidate_gregorian,listing_date_candidate_jalali,listing_date_candidate_gregorian,first_public_offering_date_candidate_jalali,first_public_offering_date_candidate_gregorian,first_public_trading_date_candidate_jalali,first_public_trading_date_candidate_gregorian,event_description,conflict_status,ready_for_user_review,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_match_status,tsetmc_selected_inscode,tsetmc_ordinary_instrument_count,tsetmc_candidate_raw_field,tsetmc_probe_retrieved_at,tsetmc_probe_raw_sha256,tsetmc_probe_notes,priority_tier,priority_rank,selection_reason,notes
زپارس,زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,1397-07-25,2018-10-17,first_public_offering,exact_day,candidate_supported,candidate_supported,,,,,1397-07-25,2018-10-17,,,عرضه اولیه ۱۰٪ سهام شرکت ملی کشت و صنعت و دامپروری پارس در بورس تهران.,no_tsetmc_candidate,true,,,network_unreachable,,,dEven,2026-06-26T10:42:07Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%B2%D9%BE%D8%A7%D8%B1%D8%B3 (Caused by ReadTimeoutError(""HTTPSConnectionPool",A,1,exact_day_candidate_with_eligibility_change_expected,عرضه اولیه واقعی پس از ۱۳۹۲؛ exact day candidate با دو منبع.
برکت,برکت,گروه دارویی برکت,1395-11-17,2017-02-05,first_public_offering,exact_day,candidate_supported,candidate_supported,,,,,1395-11-17,2017-02-05,,,آغاز عرضه و معامله سهام هلدینگ گروه دارویی برکت.,no_tsetmc_candidate,true,,,network_unreachable,,,dEven,2026-06-26T10:39:18Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D8%B1%DA%A9%D8%AA (Caused by ReadTimeoutError(""HTTPSConnectionPool(host=",A,2,exact_day_candidate_with_eligibility_change_expected,عرضه اولیه پس از ۱۳۹۲؛ exact day candidate.
بکاب,بکاب,شرکت صنایع جوشکاب یزد,1383-07-07,2004-09-28,first_public_trading,exact_day,candidate_supported,candidate_supported,1381-09-04,2003-11-25,,,,,1383-07-07,2004-09-28,نخستین معامله سهام صنایع جوشکاب یزد در بورس تهران.,no_tsetmc_candidate,true,,,network_unreachable,,,dEven,2026-06-26T10:39:28Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%DA%A9%D8%A7%D8%A8 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host=",D,3,exact_day_candidate_pre_window_no_eligibility_change,قبل از بازه؛ first public trading canonical. admission جدا ثبت شد.
جم,جم,شرکت پتروشیمی جم,1392-06-26,2013-09-17,first_public_offering,exact_day,candidate_supported,candidate_supported,1392-03-11,2013-06-01,,,1392-06-26,2013-09-17,,,نخستین عرضه سهام پتروشیمی جم در بورس تهران.,no_tsetmc_candidate,true,,,network_unreachable,,,dEven,2026-06-26T10:40:04Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AC%D9%85 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='cdn.tsetmc.",D,4,exact_day_candidate_pre_window_no_eligibility_change,تاریخ نزدیک مرز ۱۳۹۲؛ ایسنا خبرگزاری معتبر هم‌زمان با رویداد.
بترانس,بترانس,شرکت ایران ترانسفو,,,,year_only,requires_manual_review,requires_manual_review,,,,,,,,,پذیرش ایران ترانسفو در سال ۱۳۶۹ (دقت سال).,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:39:13Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D8%AA%D8%B1%D8%A7%D9%86%D8%B3 (Caused by ReadTimeoutError(""HTTPSConnecti",E,5,no_reliable_evidence_for_public_entry,فقط دقت سال؛ ready_for_user_review=false.
تاپیکو,تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,,,first_public_offering,month_only,requires_manual_review,requires_manual_review,,,,,,,,,عرضه سهام تاپیکو در تیرماه ۱۳۹۲ (دقت ماه).,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:39:39Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AA%D8%A7%D9%BE%DB%8C%DA%A9%D9%88 (Caused by ReadTimeoutError(""HTTPSConnecti",E,6,no_reliable_evidence_for_public_entry,فقط دقت ماه؛ روز دقیق تأیید نشد. ready_for_user_review=false.
تکمبا,تکمبا,شرکت کمباین سازی ایران,,,,month_only,requires_manual_review,requires_manual_review,,,,,,,,,پذیرش کمباین‌سازی ایران در آذرماه ۱۳۷۳ (دقت ماه).,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:39:49Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AA%DA%A9%D9%85%D8%A8%D8%A7 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,7,no_reliable_evidence_for_public_entry,فقط دقت ماه؛ روز دقیق تأیید نشد. ready_for_user_review=false.
ددام,ددام,شرکت داروسازی زاگرس فارمد پارس,,,,unknown,requires_manual_review,requires_manual_review,,,,,,,,,تاریخچه پیچیده داملران-رازک-زاگرس فارمد؛ تاریخ ورود عمومی تأیید نشد.,ambiguous_corporate_history,false,,,network_unreachable,,,dEven,2026-06-26T10:41:11Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AF%D8%AF%D8%A7%D9%85 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host=",E,8,no_reliable_evidence_for_public_entry,تاریخچه ادغامی مبهم؛ ready_for_user_review=false.
ذوب,ذوب,ذوب آهن اصفهان,,,,unknown,requires_manual_review,requires_manual_review,1390-06-29,2011-09-20,,,,,,,درج ذوب آهن اصفهان در فرابورس (انتقال به بورس در بهمن ۱۳۹۹).,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:41:46Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%B0%D9%88%D8%A8 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='cdn.t",E,9,no_reliable_evidence_for_public_entry,خبر انتقال بازار ۱۴۰۰ اثبات ورود عمومی ۱۳۹۰ نیست. requires_manual_review.
بالبر,بالبر,کابل البرز,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,1372-05-10,1993-08-01,,,,,,,پذیرش کابل البرز در بورس تهران (تبدیل به سهامی عام ۱۳۷۱).,no_tsetmc_candidate,false,,,network_unreachable,,,dEven,2026-06-26T10:39:08Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D8%A7%D9%84%D8%A8%D8%B1 (Caused by ReadTimeoutError(""HTTPSConnectionPool",E,10,no_reliable_evidence_for_public_entry,admission-only؛ proposed_canonical خالی. نیاز به evidence نخستین معامله.
