ticker,ticker_normalized,company_name,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,has_prelisting_proxy_rows,tsetmc_candidate_status,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_candidate_count,multiple_ordinary_instruments,suspected_public_entry_after_1392,gap_after_1392,estimated_rows_at_risk,estimated_pairs_at_risk,priority_reason,priority_score,priority_rank,selected_for_batch02,selection_notes
زپارس,زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,1394,1402,9,0,1394,0,not_probed_gate_a,,,,0,1,2,3,3,dataset_starts_well_after_1392|eligibility_rows_at_risk_if_entry_later,35.0,1,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
بالبر,بالبر,کابل البرز,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,2,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
بترانس,بترانس,شرکت ایران ترانسفو,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,3,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
برکت,برکت,گروه دارویی برکت,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,4,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
بکاب,بکاب,شرکت صنایع جوشکاب یزد,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,5,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
بکام,بکام,شرکت کارخانجات تولیدی شهید قندی,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,6,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
تاپیکو,تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,7,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
تپمپی,تپمپی,گروه صنایع پمپ‌سازی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,8,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
تکمبا,تکمبا,شرکت کمباین سازی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,9,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
جم,جم,شرکت پتروشیمی جم,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,10,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
ددام,ددام,شرکت داروسازی زاگرس فارمد پارس,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,11,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
درازک,درازک,لابراتوارهای رازک,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,12,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
دسینا,دسینا,شرکت لابراتوارهای سینا دارو,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,13,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
دشیمی,دشیمی,شرکت شیمی دارویی داروپخش,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,14,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
ذوب,ذوب,ذوب آهن اصفهان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,15,1,"Selected top 15 by deterministic priority_rank; the multi-key sort ['priority_score', 'current_prelisting_proxy_row_count', 'estimated_rows_at_risk', 'n_panel_rows', 'ticker_normalized'] fully resolves the rank-15/16 boundary (unique ticker_normalized), so no extension to 20 is warranted."
