ticker,ticker_normalized,company_name,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,screening_public_entry_date_jalali,screening_public_entry_date_gregorian,screening_event_type,screening_date_precision,screening_source_type,screening_source_title,screening_source_url,screening_source_confidence,suspected_public_entry_after_1392,estimated_eligibility_rows_changed,estimated_t_plus_1_pairs_changed,tsetmc_instrument_match_status,tsetmc_ordinary_instrument_count,tsetmc_candidate_date,multiple_ordinary_instruments,tsetmc_conflict_flag,screening_status,priority_tier,priority_rank,selection_reason,selected_for_batch02_v2
زپارس,زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,9,0,1394,1397-07-25,2018-10-17,first_public_offering,exact_day,market_media,زمان عرضه اولیه زپارس | دنیای بورس,https://donyayebourse.com/news/30530,candidate_supported,1,3,3,network_unreachable,,,0,0,candidate_supported,A,1,exact_day_candidate_with_eligibility_change_expected,1
برکت,برکت,گروه دارویی برکت,10,0,1393,1395-11-17,2017-02-05,first_public_offering,exact_day,market_media,دیلی تحلیل - عرضه اولیه هلدینگ گروه دارویی برکت,https://www.dailytahlil.com/content?cid=51991,candidate_supported,1,2,2,network_unreachable,,,0,0,candidate_supported,A,2,exact_day_candidate_with_eligibility_change_expected,1
بکاب,بکاب,شرکت صنایع جوشکاب یزد,10,0,1393,1383-07-07,2004-09-28,first_public_trading,exact_day,market_media,سهام بکاب - علیرضا مهرابی,https://alirezamehrabi.com/saham/electrical-machinery/josh,candidate_supported,0,0,0,network_unreachable,,,0,0,candidate_supported,D,3,exact_day_candidate_pre_window_no_eligibility_change,1
جم,جم,شرکت پتروشیمی جم,10,0,1393,1392-06-26,2013-09-17,first_public_offering,exact_day,news_agency,تاریخ عرضه اولیه پتروشیمی جم مشخص شد - ایسنا,https://www.isna.ir/news/92060604013/,candidate_supported,0,0,0,network_unreachable,,,0,0,candidate_supported,D,4,exact_day_candidate_pre_window_no_eligibility_change,1
بترانس,بترانس,شرکت ایران ترانسفو,10,0,1393,,,,year_only,market_media,شرکت ایران ترانسفو - آموزش بورس,https://amoozesh-boors.com/fa/stocks/بترانس,requires_manual_review,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,5,no_reliable_evidence_for_public_entry,1
تاپیکو,تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,10,0,1393,,,first_public_offering,month_only,market_media,تاپیکو سرمایه گذاری نفت و گاز - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/tapiko-1170.html,requires_manual_review,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,6,no_reliable_evidence_for_public_entry,1
تکمبا,تکمبا,شرکت کمباین سازی ایران,10,0,1393,,,,month_only,market_media,تحلیل بنیادی تکمبا - انیگما,https://enigma.ir/blog/tekomba-fundamental-analysis/,requires_manual_review,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,7,no_reliable_evidence_for_public_entry,1
ددام,ددام,شرکت داروسازی زاگرس فارمد پارس,10,0,1393,,,,unknown,market_media,ددام داروسازی زاگرس فارمد پارس - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/dedam-1244.html,requires_manual_review,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,8,no_reliable_evidence_for_public_entry,1
ذوب,ذوب,ذوب آهن اصفهان,10,0,1393,,,,unknown,company_official_website,جزئیات انتقال نماد ذوب به بورس,https://www.esfahansteel.ir/page-main/fa/0/dorsaetoolsenews/19197-G0,requires_manual_review,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,9,no_reliable_evidence_for_public_entry,1
بالبر,بالبر,کابل البرز,10,0,1393,,,,exact_day,market_media,سهام بالبر - علیرضا مهرابی,https://alirezamehrabi.com/saham/electrical-machinery/kalz,requires_first_public_trade_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_first_public_trade_evidence,E,10,no_reliable_evidence_for_public_entry,1
