ticker,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_candidate_inscode,researched_candidate_date_jalali,tsetmc_candidate_disposition,conflict_status,canonical_date_selected,notes
زپارس,,,,1397-07-25,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
بالبر,,,,1372-05-10,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
بترانس,,,,,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
برکت,,,,1395-11-17,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
بکاب,,,,1383-07-07,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
بکام,,,,1382-12-27,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
تاپیکو,,,,,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
تپمپی,,,,1373-07-23,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
تکمبا,,,,,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
جم,,,,1392-06-26,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
ددام,,,,,candidate_only_not_canonical,ambiguous_corporate_history,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
درازک,,,,1370-10-18,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
دسینا,,,,1374-12-26,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
دشیمی,,,,1381-10-08,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
ذوب,,,,1390-06-29,candidate_only_not_canonical,no_tsetmc_candidate,none_gate_a_pending_user_confirmation,TSETMC earliest dEven is candidate/audit evidence only; not accepted as canonical public-entry date in Gate A.
