ticker,company_name,proposed_public_entry_date_jalali,proposed_public_entry_date_gregorian,proposed_event_type,primary_source_title,primary_source_url,secondary_source_title,secondary_source_url,tsetmc_candidate_date,conflict_summary,programmer_recommendation,user_decision,user_confirmed_date_jalali,user_confirmation_notes
زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,1397-07-25,2018-10-17,first_public_offering,زمان عرضه اولیه « زپارس » | دنیای بورس,https://donyayebourse.com/news/30530,اطلاعات شرکت در بورس - شرکت ملی پارس,https://parsagroinc.ir/اطلاعات-شرکت-در-بورس,,no_tsetmc_candidate,candidate_supported,,,
بالبر,کابل البرز,1372-05-10,1993-08-01,listing_admission_public_entry,سهام بالبر | معرفی کامل سهم بالبر - علیرضا مهرابی,https://alirezamehrabi.com/saham/electrical-machinery/kalz,بالبر (کابل البرز) - دیتابورس,https://databourse.ir/symbol/بالبر,,no_tsetmc_candidate,candidate_partially_supported,,,
بترانس,شرکت ایران ترانسفو,,,listing_admission_public_entry,شرکت ایران ترانسفو - آموزش بورس,https://amoozesh-boors.com/fa/stocks/بترانس,بترانس (ایران ترانسفو) - دیتابورس,https://databourse.ir/symbol/بترانس,,no_tsetmc_candidate,requires_manual_review,,,
برکت,گروه دارویی برکت,1395-11-17,2017-02-05,first_public_offering,دیلی تحلیل - نگاهی اجمالی به عرضه اولیه هلدینگ گروه دارویی برکت,https://www.dailytahlil.com/content?cid=51991,معرفی کامل نماد برکت و تحلیل بنیادی آن - سهام‌بین,https://sahambin.com/post/1533,,no_tsetmc_candidate,candidate_supported,,,
بکاب,شرکت صنایع جوشکاب یزد,1383-07-07,2004-09-28,first_public_trading,سهام بکاب | معرفی کامل سهم بکاب - علیرضا مهرابی,https://alirezamehrabi.com/saham/electrical-machinery/josh,(بکاب) صنایع جوشکاب یزد - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/bekab-1150.html,,no_tsetmc_candidate,candidate_supported,,,
بکام,شرکت کارخانجات تولیدی شهید قندی,1382-12-27,2004-03-17,listing_admission_public_entry,تحلیل بنیادی بکام «کارخانجات تولیدی شهید قندی» - انیگما,https://enigma.ir/blog/bkam-fundamental-analysis/,بکام (کارخانجات تولیدی شهید قندی) - دیتابورس,https://databourse.ir/symbol/بکام,,no_tsetmc_candidate,candidate_partially_supported,,,
تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,,,first_public_offering,(تاپیکو) سرمایه گذاری نفت و گاز و پتروشیمی تامین - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/tapiko-1170.html,تاپیکو | شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,https://www.tappico.com/en/,,no_tsetmc_candidate,requires_manual_review,,,
تپمپی,گروه صنایع پمپ‌سازی ایران,1373-07-23,1994-10-15,listing_admission_public_entry,سهام تپمپی - ریسرچ آگاه,https://research.agah.com/stock/iro1pirn0001,(تپمپی) گروه صنایع پمپ سازی ایران - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/pomp-1172.html,,no_tsetmc_candidate,candidate_partially_supported,,,
تکمبا,شرکت کمباین سازی ایران,,,listing_admission_public_entry,تحلیل بنیادی تکمبا - شرکت کمباین سازی ایران - انیگما,https://enigma.ir/blog/tekomba-fundamental-analysis/,(تکمبا) کمباین سازی ایران - بانک بورس,https://bankbourse.ir/listofaudit/شرکت-های-بورسی/AuditBank/tekomba-1176.html,,no_tsetmc_candidate,requires_manual_review,,,
جم,شرکت پتروشیمی جم,1392-06-26,2013-09-17,first_public_offering,تاریخ عرضه اولیه پتروشیمی جم مشخص شد - ایسنا,https://www.isna.ir/news/92060604013/,جم پتروشیمی جم - نبض بورس,https://nabzebourse.com/fa/tags/5436/1/,,no_tsetmc_candidate,candidate_supported,,,
