ticker,ticker_normalized,company_name,proposed_canonical_public_entry_date_jalali,proposed_canonical_public_entry_date_gregorian,proposed_canonical_event_type,date_precision,evidence_status,research_status,ready_for_user_review,admission_date_candidate_jalali,listing_date_candidate_jalali,first_public_offering_date_candidate_jalali,first_public_trading_date_candidate_jalali,tsetmc_candidate_date_jalali,conflict_audit_status,priority_tier,priority_rank,user_decision,user_canonical_date_jalali,user_canonical_date_gregorian,user_canonical_event_type,user_notes
زپارس,زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,1397-07-25,2018-10-17,first_public_offering,exact_day,candidate_supported,candidate_supported,true,,,1397-07-25,,,no_tsetmc_candidate,A,1,,,,,
برکت,برکت,گروه دارویی برکت,1395-11-17,2017-02-05,first_public_offering,exact_day,candidate_supported,candidate_supported,true,,,1395-11-17,,,no_tsetmc_candidate,A,2,,,,,
بکاب,بکاب,شرکت صنایع جوشکاب یزد,1383-07-07,2004-09-28,first_public_trading,exact_day,candidate_supported,candidate_supported,true,1381-09-04,,,1383-07-07,,no_tsetmc_candidate,D,3,,,,,
جم,جم,شرکت پتروشیمی جم,1392-06-26,2013-09-17,first_public_offering,exact_day,candidate_supported,candidate_supported,true,1392-03-11,,1392-06-26,,,no_tsetmc_candidate,D,4,,,,,
بترانس,بترانس,شرکت ایران ترانسفو,,,,year_only,requires_manual_review,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,5,,,,,
تاپیکو,تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,,,first_public_offering,month_only,requires_manual_review,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,6,,,,,
تکمبا,تکمبا,شرکت کمباین سازی ایران,,,,month_only,requires_manual_review,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,7,,,,,
ددام,ددام,شرکت داروسازی زاگرس فارمد پارس,,,,unknown,requires_manual_review,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,8,,,,,
ذوب,ذوب,ذوب آهن اصفهان,,,,unknown,requires_manual_review,requires_manual_review,false,1390-06-29,,,,,no_tsetmc_candidate,E,9,,,,,
بالبر,بالبر,کابل البرز,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,1372-05-10,,,,,no_tsetmc_candidate,E,10,,,,,
بکام,بکام,شرکت کارخانجات تولیدی شهید قندی,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,1382-12-27,,,,,no_tsetmc_candidate,E,11,,,,,
تپمپی,تپمپی,گروه صنایع پمپ‌سازی ایران,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,1373-07-23,,,,,no_tsetmc_candidate,E,12,,,,,
درازک,درازک,لابراتوارهای رازک,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,1370-10-18,,,,,no_tsetmc_candidate,E,13,,,,,
دسینا,دسینا,شرکت لابراتوارهای سینا دارو,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,1374-12-26,,,,,no_tsetmc_candidate,E,14,,,,,
دشیمی,دشیمی,شرکت شیمی دارویی داروپخش,,,,exact_day,requires_first_public_trade_evidence,requires_first_public_trade_evidence,false,1381-10-08,,,,,no_tsetmc_candidate,E,15,,,,,
بموتو,بموتو,موتوژن,,,,unknown,no_evidence,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,16,,,,,
ثشرق,ثشرق,سرمایه گذاری مسکن شمال شرق,,,,unknown,no_evidence,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,17,,,,,
ثنوسا,ثنوسا,نوسازی و ساختمان تهران,,,,unknown,no_evidence,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,18,,,,,
حپترو,حپترو,حمل و نقل پتروشیمی,,,,unknown,no_evidence,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,19,,,,,
حکشتی,حکشتی,کشتیرانی جمهوری اسلامی ایران,,,,unknown,no_evidence,requires_manual_review,false,,,,,,no_tsetmc_candidate,E,20,,,,,
