row_key,ticker,fiscal_year,fiscal_year_end,confirmed_public_entry_date_jalali,confirmed_public_entry_date_gregorian,eligible_listing_stage123_proxy,verification_status,listed_by_fiscal_year_end_verified,eligible_listing_financial_verified,listing_eligibility_status_verified,days_listed_before_fiscal_year_end,eligibility_changed_vs_stage123_proxy,change_direction
اپال|1396,اپال,1396,1396-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اپال|1397,اپال,1397,1397-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اپال|1398,اپال,1398,1398-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اپال|1399,اپال,1399,1399-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اپال|1400,اپال,1400,1400-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,1,1,eligible_verified_public_entry,330,0,unchanged_1
اپال|1401,اپال,1401,1401-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,1,1,eligible_verified_public_entry,695,0,unchanged_1
اپال|1402,اپال,1402,1402-10-30,1399-12-06,2021-02-24,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1060,0,unchanged_1
اردستان|1392,اردستان,1392,1392-12-29,1401-10-28,2023-01-18,0,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,0,unchanged_0
اردستان|1393,اردستان,1393,1393-12-29,1401-10-28,2023-01-18,0,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,0,unchanged_0
اردستان|1394,اردستان,1394,1394-12-29,1401-10-28,2023-01-18,0,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,0,unchanged_0
اردستان|1395,اردستان,1395,1395-12-29,1401-10-28,2023-01-18,0,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,0,unchanged_0
اردستان|1396,اردستان,1396,1396-12-29,1401-10-28,2023-01-18,0,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,0,unchanged_0
اردستان|1397,اردستان,1397,1397-12-29,1401-10-28,2023-01-18,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اردستان|1398,اردستان,1398,1398-12-29,1401-10-28,2023-01-18,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اروند|1394,اروند,1394,1394-12-29,1404-10-01,2025-12-22,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
اروند|1395,اروند,1395,1395-12-30,1404-10-01,2025-12-22,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
