ticker,confirmed_public_entry_date_jalali,n_panel_rows,n_verified_prelisting_rows,n_verified_eligible_rows,first_verified_eligible_fiscal_year,last_verified_prelisting_fiscal_year,n_rows_changed_vs_stage123_proxy,n_proxy_0_to_verified_1,n_proxy_1_to_verified_0,verification_status
اردستان,1401-10-28,11,9,2,1401,1400,4,0,4,verified_user_confirmed
اروند,1404-10-01,8,8,0,,1402,8,0,8,verified_user_confirmed
اپال,1399-12-06,7,4,3,1400,1399,4,0,4,verified_user_confirmed
بوعلی,1399-09-19,10,6,4,1399,1398,6,0,6,verified_user_confirmed
جم پیلن,1398-03-27,6,1,5,1398,1397,1,0,1,verified_user_confirmed
سآبیک,1401-02-28,11,5,2,1401,1400,5,0,5,verified_user_confirmed
سپید,1400-04-23,6,3,3,1400,1399,3,0,3,verified_user_confirmed
نوری,1398-04-22,10,5,5,1398,1397,5,0,5,verified_user_confirmed
وکغدیر,1401-12-23,11,10,1,1402,1401,4,0,4,verified_user_confirmed
پارس,1397-04-20,7,1,6,1397,1396,1,0,1,verified_user_confirmed
پرداخت,1396-04-27,9,2,7,1396,1395,2,0,2,verified_user_confirmed
پی‌پاد,1402-01-16,8,7,1,1402,1401,7,0,7,verified_user_confirmed
کاوه,1396-07-26,10,3,7,1396,1395,3,0,3,verified_user_confirmed
کویر,1398-07-17,10,5,5,1398,1397,1,0,1,verified_user_confirmed
کیمیاتک,1400-06-17,4,1,3,1400,1399,1,0,1,verified_user_confirmed
