ticker,company_name,ticker_aliases,market,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,current_prelisting_proxy,current_first_eligible_year_proxy,admission_date_jalali,listing_date_jalali,ipo_date_jalali,first_public_trading_date_jalali,first_public_trading_date_gregorian,source_1_type,source_1_title,source_1_url,source_2_type,source_2_title,source_2_url,verification_status,conflict_status,notes
اردستان,شرکت سیمان اردستان,,,1392,1402,5,1397,,,,,,,,,,,,pending,,
اروند,شرکت پتروشیمی اروند,,,1394,1402,0,1394,,,,,,,,,,,,pending,,
اپال,,,,1396,1402,0,1396,,,,,,,,,,,,pending,,company_name missing in dataset
بالبر,کابل البرز,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
بترانس,شرکت ایران ترانسفو,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
برکت,گروه دارویی برکت,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
بموتو,موتوژن,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
بوعلی,شرکت پتروشیمی بوعلی سینا,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
بکاب,شرکت صنایع جوشکاب یزد,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
بکام,شرکت کارخانجات تولیدی شهید قندی,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
تپمپی,گروه صنایع پمپ‌سازی ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
تکمبا,شرکت کمباین سازی ایران,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
ثشرق,سرمایه گذاری مسکن شمال شرق,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ثنوسا,نوسازی و ساختمان تهران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
جم,شرکت پتروشیمی جم,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
جم پیلن,شرکت پلی پروپیلن جم,,,1397,1402,0,1397,,,,,,,,,,,,pending,,
حپترو,حمل و نقل پتروشیمی,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
حکشتی,کشتیرانی جمهوری اسلامی ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خاذین,سایپا آذین,,,1392,1402,0,1392,,,,,,,,,,,,pending,,multiple company_name spellings in dataset: سایپا آذین | شرکت طراحی و ساخت قطعات داخلی خودرو سایپا آذین | طراحی و ساخت قطعات داخلی خودرو سایپا آذین
خبهمن,گروه بهمن,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ختوقا,گروه صنعتی قطعات اتومبیل ایران,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خرینگ,رینگ سازی مشهد,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خمحور,تولید محور خودرو,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خمهر,مهرکام پارس,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خنصیر,مهندسی نصیر ماشین,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خوساز,محورسازان ایران خودرو,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خچرخش,چرخشگر,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
خکمک,کمک فنر ایندامین,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
ددام,شرکت داروسازی زاگرس فارمد پارس,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
درازک,لابراتوارهای رازک,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
دروز,روز دارو,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
دسبحا,گروه دارویی سبحان,,,1392,1402,0,1392,,,,,,,,,,,,pending,,
دسینا,شرکت لابراتوارهای سینا دارو,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
دشیمی,شرکت شیمی دارویی داروپخش,,,1393,1402,0,1393,,,,,,,,,,,,pending,,
