ticker,company_name,ticker_aliases,market,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,current_prelisting_proxy_row_count,has_prelisting_proxy_rows,current_first_eligible_year_proxy,admission_date_jalali,listing_date_jalali,ipo_date_jalali,first_public_trading_date_jalali,first_public_trading_date_gregorian,source_1_type,source_1_title,source_1_url,source_2_type,source_2_title,source_2_url,verification_status,conflict_status,notes
اردستان,شرکت سیمان اردستان,,,1392,1402,5,1,1397,,,,1401-10-28,2023-01-18,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
اروند,شرکت پتروشیمی اروند,,,1394,1402,0,0,1394,,,,1404-10-01,2025-12-22,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
اپال,,,,1396,1402,0,0,1396,,,,1399-12-06,2021-02-24,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
بالبر,کابل البرز,,,1393,1402,0,0,1393,,,,1380-01-05,2001-03-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
بترانس,شرکت ایران ترانسفو,,,1393,1402,0,0,1393,,,,1380-01-21,2001-04-10,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
برکت,گروه دارویی برکت,,,1393,1402,0,0,1393,,,,1395-11-17,2017-02-05,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
بموتو,موتوژن,,,1392,1402,0,0,1392,,,,1380-01-06,2001-03-26,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
بوعلی,شرکت پتروشیمی بوعلی سینا,,,1393,1402,0,0,1393,,,,1399-09-19,2020-12-09,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
بکاب,شرکت صنایع جوشکاب یزد,,,1393,1402,0,0,1393,,,,1382-04-25,2003-07-16,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
بکام,شرکت کارخانجات تولیدی شهید قندی,,,1393,1402,0,0,1393,,,,1383-07-07,2004-09-28,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,,,1393,1402,0,0,1393,,,,1392-04-18,2013-07-09,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
تپمپی,گروه صنایع پمپ‌سازی ایران,,,1393,1402,0,0,1393,,,,1380-01-06,2001-03-26,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
تکمبا,شرکت کمباین سازی ایران,,,1393,1402,0,0,1393,,,,1380-08-02,2001-10-24,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
ثشرق,سرمایه گذاری مسکن شمال شرق,,,1392,1402,0,0,1392,,,,1393-04-04,2014-06-25,official_tse_csv_import,Trusted Tehran Stock Exchange CSV (first trade dates),,,,,verified_tse_csv_imported,resolved_tse_csv_imported,"Canonical Stage124 public-entry date imported from a trusted Tehran Stock Exchange CSV supplied by the project owner. This is first observed trading date, not official IPO/listing date."
