ticker,ticker_normalized,company_name,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,has_prelisting_proxy_rows,tsetmc_candidate_status,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_candidate_count,multiple_ordinary_instruments,suspected_public_entry_after_1392,gap_after_1392,estimated_rows_at_risk,estimated_pairs_at_risk,priority_reason,priority_score,priority_rank
زپارس,زپارس,شرکت ملی کشت و صنعت و دامپروری پارس,1394,1402,9,0,1394,0,not_probed_gate_a,,,,0,1,2,3,3,dataset_starts_well_after_1392|eligibility_rows_at_risk_if_entry_later,35.0,1
بالبر,بالبر,کابل البرز,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,2
بترانس,بترانس,شرکت ایران ترانسفو,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,3
برکت,برکت,گروه دارویی برکت,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,4
بکاب,بکاب,شرکت صنایع جوشکاب یزد,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,5
بکام,بکام,شرکت کارخانجات تولیدی شهید قندی,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,6
تاپیکو,تاپیکو,شرکت سرمایه گذاری نفت و گاز و پتروشیمی تامین,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,7
تپمپی,تپمپی,گروه صنایع پمپ‌سازی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,8
تکمبا,تکمبا,شرکت کمباین سازی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,9
جم,جم,شرکت پتروشیمی جم,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,10
ددام,ددام,شرکت داروسازی زاگرس فارمد پارس,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,11
درازک,درازک,لابراتوارهای رازک,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,12
دسینا,دسینا,شرکت لابراتوارهای سینا دارو,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,13
دشیمی,دشیمی,شرکت شیمی دارویی داروپخش,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,14
ذوب,ذوب,ذوب آهن اصفهان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,15
ساربیل,ساربیل,شرکت سیمان آرتا اردبیل,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,16
ساروم,ساروم,شرکت سیمان ارومیه,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,17
سبجنو,سبجنو,شرکت سیمان بجنورد,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,18
ستران,ستران,شرکت سیمان تهران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,19
سخاش,سخاش,شرکت سیمان خاش,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,20
سصفها,سصفها,شرکت سیمان اصفهان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,21
سغرب,سغرب,شرکت صنایع سیمان غرب,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,22
سنیر,سنیر,شرکت سیمان سفید نی‌ریز,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,23
شاراک,شاراک,شرکت پتروشیمی شازند,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,24
