ticker,confirmed_public_entry_date_jalali,confirmed_public_entry_date_gregorian,canonical_event_type,verification_status,conflict_status,verified,user_confirmation_date,source_1_type,source_1_title,source_1_url,tsetmc_candidate_date_jalali,tsetmc_candidate_disposition,confirmation_notes
اردستان,1401-10-28,2023-01-18,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,news_source_user_reviewed,عرضه‌اولیه‌ای جدید در راه بورس - ایرنا,https://36858523.khabarban.com/,1400-03-17,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
اروند,1404-10-01,2025-12-22,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,company_official_website,۵ درصد سهام پتروشیمی اروند دوشنبه آینده در بورس تهران عرضه می‌شود,https://arvandpvc.ir/%D8%A2%D8%B1%D8%B4%DB%8C%D9%88-%D8%AE%D8%A8%D8%B1%D9%87%D8%A7/%DB%B5-%D8%AF%D8%B1%D8%B5%D8%AF-%D8%B3%D9%87%D8%A7%D9%85-%D9%BE%D8%AA%D8%B1%D9%88%D8%B4%DB%8C%D9%85%DB%8C-%D8%A7%D8%B1%D9%88%D9%86%D8%AF-%D8%AF%D9%88%D8%B4%D9%86%D8%A8%D9%87-%D8%A2%DB%8C%D9%86%D8%AF%D9%87-%D8%AF%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%B9%D8%B1%D8%B6%D9%87-%D9%85%DB%8C%E2%80%8C%D8%B4%D9%88%D8%AF,1399-12-25,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
سآبیک,1401-02-28,2022-05-18,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,broker_research_page,معرفی کامل سهم سیمان آبیک,https://refahbroker.ir/blog/2022/05/ipo-sabik,1391-06-27,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
وکغدیر,1401-12-23,2023-03-14,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,broker_research_page,معرفی کامل سهم شرکت بین‌المللی توسعه صنایع و معادن غدیر,https://refahbroker.ir/blog/2023/03/ipo-vakghadir,1400-09-21,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
کویر,1398-07-17,2019-10-09,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,broker_news_page,عرضه اولیه سهام شرکت فولاد سپید فراب کویر,https://www.mbroker.ir/index.php/category/item/2794-arze,1398-07-02,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
بوعلی,1399-09-19,2020-12-09,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,company_official_website,پتروشیمی بوعلی سینا شرکت برتر بورس ایران شد,https://bspc.ir/PJ-8579/bu-ali-sina-petrochemical-became-the-top-company-of-iran-stock-exchange/,ambiguous,ambiguous_instrument_not_used,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
نوری,1398-04-22,2019-07-13,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,company_official_website,شرکت پتروشیمی نوری رکورد عرضه اولیه بورس را شکست,https://www.nopc.co/fa/news/37/%D8%B4%D8%B1%DA%A9%D8%AA-%D9%BE%D8%AA%D8%B1%D9%88%D8%B4%DB%8C%D9%85%DB%8C-%D9%86%D9%88%D8%B1%DB%8C-%D8%B1%DA%A9%D9%88%D8%B1%D8%AF-%D8%B9%D8%B1%D8%B6%D9%87-%D8%A7%D9%88%D9%84%DB%8C%D9%87-%D8%A8%D9%88%D8%B1%D8%B3-%D8%B1%D8%A7-%D8%B4%DA%A9%D8%B3%D8%AA,ambiguous,ambiguous_instrument_not_used,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
سپید,1400-04-23,2021-07-14,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,news_source_user_reviewed,چرا عرضه اولیه سپید بازگشایی نشد؟,https://www.tabnak.ir/fa/news/1064455/%DA%86%D8%B1%D8%A7-%D8%B9%D8%B1%D8%B6%D9%87-%D8%A7%D9%88%D9%84%DB%8C%D9%87-%D8%B3%D9%BE%DB%8C%D8%AF-%D8%A8%D8%A7%D8%B2%DA%AF%D8%B4%D8%A7%DB%8C%DB%8C-%D9%86%D8%B4%D8%AF,1399-07-05,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
کیمیاتک,1400-06-17,2021-09-08,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,news_source_user_reviewed,در عرضه اولیه کیمیا تک به هر کد چند سهم رسید؟,https://www.tabnak.ir/fa/news/1075019/%D8%AF%D8%B1-%D8%B9%D8%B1%D8%B6%D9%87-%D8%A7%D9%88%D9%84%DB%8C%D9%87-%DA%A9%DB%8C%D9%85%DB%8C%D8%A7-%D8%AA%DA%A9-%D8%A8%D9%87-%D9%87%D8%B1-%DA%A9%D8%AF-%DA%86%D9%86%D8%AF-%D8%B3%D9%87%D9%85-%D8%B1%D8%B3%DB%8C%D8%AF,1399-11-28,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
پی‌پاد,1402-01-16,2023-04-05,first_public_offering_or_public_entry,verified_user_confirmed,resolved_user_confirmed,true,2026-06-23,news_agency,نخستین عرضه اولیه امسال در بورس تهران روز چهارشنبه,https://www.mehrnews.com/news/5745020/%D9%86%D8%AE%D8%B3%D8%AA%DB%8C%D9%86-%D8%B9%D8%B1%D8%B6%D9%87-%D8%A7%D9%88%D9%84%DB%8C%D9%87-%D8%A7%D9%85%D8%B3%D8%A7%D9%84-%D8%AF%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%B1%D9%88%D8%B2-%DA%86%D9%87%D8%A7%D8%B1%D8%B4%D9%86%D8%A8%D9%87,1401-05-11,not_accepted_as_canonical_public_entry_date,Final public-entry/IPO date confirmed directly by the project owner after manual source review. TSETMC oldest dEven is retained only as candidate audit evidence and is not used as the canonical listing-eligibility date.
