symbol,insCode,first_trade_date_gregorian,first_trade_date_jalali,status,note
اردستان,35331248532537562,2023-01-18,1401/10/28,ok,"This is first observed trading date, not official IPO/listing date."
اپال,655060129740445,2021-02-24,1399/12/06,ok,"This is first observed trading date, not official IPO/listing date."
بالبر,62952165421099192,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
بترانس,46752599569017089,2001-04-10,1380/01/21,ok,"This is first observed trading date, not official IPO/listing date."
برکت,34557241988629814,2017-02-05,1395/11/17,ok,"This is first observed trading date, not official IPO/listing date."
بموتو,22086876724551482,2001-03-26,1380/01/06,ok,"This is first observed trading date, not official IPO/listing date."
بوعلی,,,,ambiguous,Multiple instruments matched symbol 'بوعلی'
بکاب,70219663893822560,2003-07-16,1382/04/25,ok,"This is first observed trading date, not official IPO/listing date."
بکام,22382156782768756,2004-09-28,1383/07/07,ok,"This is first observed trading date, not official IPO/listing date."
تاپیکو,22560050433388046,2013-07-09,1392/04/18,ok,"This is first observed trading date, not official IPO/listing date."
تپمپی,43062880954780884,2001-03-26,1380/01/06,ok,"This is first observed trading date, not official IPO/listing date."
تکمبا,30719054967088301,2001-10-24,1380/08/02,ok,"This is first observed trading date, not official IPO/listing date."
ثشرق,,,,ambiguous,Multiple instruments matched symbol 'ثشرق'
ثنوسا,32845891587040106,2005-01-05,1383/10/16,ok,"This is first observed trading date, not official IPO/listing date."
جم,,,,ambiguous,Multiple instruments matched symbol 'جم'
جم پیلن,27096851668435724,2019-06-17,1398/03/27,ok,"This is first observed trading date, not official IPO/listing date."
حپترو,16369313804633525,2004-03-07,1382/12/17,ok,"This is first observed trading date, not official IPO/listing date."
حکشتی,60610861509165508,2008-05-18,1387/02/29,ok,"This is first observed trading date, not official IPO/listing date."
خاذین,42075223783409640,2001-10-28,1380/08/06,ok,"This is first observed trading date, not official IPO/listing date."
خبهمن,26824673819862694,2001-04-07,1380/01/18,ok,"This is first observed trading date, not official IPO/listing date."
ختوقا,70289374539527245,2003-11-25,1382/09/04,ok,"This is first observed trading date, not official IPO/listing date."
خرینگ,45895339414786358,2004-03-06,1382/12/16,ok,"This is first observed trading date, not official IPO/listing date."
خمحور,7457232989848872,2005-05-07,1384/02/17,ok,"This is first observed trading date, not official IPO/listing date."
خمهر,17330546482145553,2004-03-10,1382/12/20,ok,"This is first observed trading date, not official IPO/listing date."
خنصیر,17834623106317041,2005-03-05,1383/12/15,ok,"This is first observed trading date, not official IPO/listing date."
خوساز,31879190587976736,2001-04-07,1380/01/18,ok,"This is first observed trading date, not official IPO/listing date."
خچرخش,33783140337377394,2001-05-08,1380/02/18,ok,"This is first observed trading date, not official IPO/listing date."
خکمک,19257295292088310,2003-02-08,1381/11/19,ok,"This is first observed trading date, not official IPO/listing date."
ددام,66450490505950110,2001-03-27,1380/01/07,ok,"This is first observed trading date, not official IPO/listing date."
درازک,22255783119783047,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
دروز,40262275031537922,2004-02-25,1382/12/06,ok,"This is first observed trading date, not official IPO/listing date."
دسبحا,43622578471330344,2003-02-04,1381/11/15,ok,"This is first observed trading date, not official IPO/listing date."
دسینا,11432067920374603,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
دشیمی,33603212156438463,2003-08-03,1382/05/12,ok,"This is first observed trading date, not official IPO/listing date."
دیران,69090868458637360,2002-07-30,1381/05/08,ok,"This is first observed trading date, not official IPO/listing date."
ذوب,,,,ambiguous,Multiple instruments matched symbol 'ذوب'
رانفور,40505767672724777,2003-04-19,1382/01/30,ok,"This is first observed trading date, not official IPO/listing date."
رمپنا,67126881188552864,2007-08-26,1386/06/04,ok,"This is first observed trading date, not official IPO/listing date."
زمگسا,5054819322815158,2003-01-25,1381/11/05,ok,"This is first observed trading date, not official IPO/listing date."
زپارس,33420285433308219,2018-10-17,1397/07/25,ok,"This is first observed trading date, not official IPO/listing date."
