ticker,company_name,tsetmc_instrument_id,market_name,earliest_trade_date_found_jalali,earliest_trade_date_found_gregorian,trade_history_source_url_or_endpoint,number_of_historical_trade_days,codal_candidate_notice_title,codal_candidate_notice_date,codal_candidate_notice_url,extraction_status,error_message,retrieved_at,raw_response_sha256
اردستان,شرکت سیمان اردستان,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:36:56Z,"{""search"": null, ""codal"": null}"
اروند,شرکت پتروشیمی اروند,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:37:12Z,"{""search"": null, ""codal"": null}"
سآبیک,سیمان آبیک,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:37:28Z,"{""search"": null, ""codal"": null}"
وکغدیر,سرمایه گذاری غدیر,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:37:45Z,"{""search"": null, ""codal"": null}"
کویر,شرکت تولیدی فولاد سپید فراب کویر,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:38:01Z,"{""search"": null, ""codal"": null}"
بوعلی,شرکت پتروشیمی بوعلی سینا,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:38:17Z,"{""search"": null, ""codal"": null}"
نوری,شرکت پتروشیمی نوری,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:38:34Z,"{""search"": null, ""codal"": null}"
سپید,شرکت سپید ماکیان,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:38:50Z,"{""search"": null, ""codal"": null}"
کیمیاتک,شرکت آریان کیمیاتک,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:39:06Z,"{""search"": null, ""codal"": null}"
پی‌پاد,پرداخت الکترونیک پاسارگاد,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:39:22Z,"{""search"": null, ""codal"": null}"
پرداخت,به پرداخت ملت,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:39:38Z,"{""search"": null, ""codal"": null}"
پارس,شرکت پتروشیمی پارس,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:39:54Z,"{""search"": null, ""codal"": null}"
کاوه,فولاد کاوه جنوب کیش,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:40:11Z,"{""search"": null, ""codal"": null}"
جم‌پیلن,شرکت پلی پروپیلن جم,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:40:27Z,"{""search"": null, ""codal"": null}"
اپال,,,,,,,,,,,unresolved,"search:ReadTimeout: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Read timed out. (read timeout=8.0) ; trade_history:skipped: no instrument_id from search ; codal:ReadTimeout: HTTPSConnectionPool(host='search.codal.ir', port=443): Read timed out. (read timeout=8.0)",2026-06-22T08:40:43Z,"{""search"": null, ""codal"": null}"
