candidate_id,block,variable_name,source_id,dictionary_status,registry_status,research_design_status,candidate_scope_status,evidence_status,accessibility_score,gate_status,decision_status,notes
cand_m2_amihud_illiquidity,M2,amihud_illiquidity,src_m2_tsetmc_market,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m2_equity_return_window,M2,equity_return_window,src_m2_tsetmc_market,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m2_realized_volatility,M2,realized_volatility,src_m2_tsetmc_market,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m3_cpi_inflation,M3,cpi_inflation,src_m3_cbi_macro,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m3_fx_change_official,M3,fx_change_official,src_m3_cbi_macro,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m3_policy_financing_rate,M3,policy_financing_rate,src_m3_cbi_macro,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m4_audit_lag_days,M4,audit_lag_days,src_m4_codal_audit,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m4_audit_opinion_type,M4,audit_opinion_type,src_m4_codal_audit,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m4_board_size,M4,board_size,src_m4_codal_governance,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
cand_m4_going_concern_flag,M4,going_concern_flag,src_m4_codal_audit,registered_in_data_dictionary,registered_in_source_registry,registered_in_research_design,registered_candidate,unresolved,,unresolved,pending_part3b_evidence,Registered candidate from Stage125 Part 1 contracts. No evidence collected in Part 3A; score and gates unresolved.
oos_director_network,M4,director_biography_network,,not_registered,not_registered,out_of_scope_locked,out_of_scope_locked,unresolved,,unresolved,out_of_scope_locked,Firm out-of-scope per STAGE125_RESEARCH_DESIGN section 5.
oos_free_market_fx,M3,free_market_fx_non_reproducible,,not_registered,not_registered,out_of_scope_locked,out_of_scope_locked,unresolved,,unresolved,out_of_scope_locked,Firm out-of-scope per STAGE125_RESEARCH_DESIGN section 5.
oos_interlocking,M4,director_interlocking,,not_registered,not_registered,out_of_scope_locked,out_of_scope_locked,unresolved,,unresolved,out_of_scope_locked,Firm out-of-scope per STAGE125_RESEARCH_DESIGN section 5.
oos_m5_persian_text,M5,persian_text_modeling,,not_registered,not_registered,out_of_scope_locked,out_of_scope_locked,unresolved,,unresolved,out_of_scope_locked,Firm out-of-scope per STAGE125_RESEARCH_DESIGN section 5.
oos_order_book,M2,order_book_bid_ask,,not_registered,not_registered,out_of_scope_locked,out_of_scope_locked,unresolved,,unresolved,out_of_scope_locked,Firm out-of-scope per STAGE125_RESEARCH_DESIGN section 5.
oos_social_news_esg,M4,social_news_esg,,not_registered,not_registered,out_of_scope_locked,out_of_scope_locked,unresolved,,unresolved,out_of_scope_locked,Firm out-of-scope per STAGE125_RESEARCH_DESIGN section 5.
rd_m2_beta,M2,beta,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m2_drawdown,M2,drawdown,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m2_market_index,M2,market_index,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m2_no_trade_days,M2,no_trade_days,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m2_volume_turnover,M2,volume_turnover,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m3_gdp_production_index,M3,gdp_production_index,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m3_liquidity_growth,M3,liquidity_growth,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m3_oil_price,M3,oil_price,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m4_audit_committee_size,M4,audit_committee_size,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
rd_m4_auditor_change,M4,auditor_change,,not_registered,not_registered,research_design_only_not_registered,research_design_only_not_registered,unresolved,,unresolved,research_design_only_not_registered,Mentioned in STAGE125_RESEARCH_DESIGN narrative only; not registered in data_dictionary or source_registry.
