target_year,total_pairs,positive_count,negative_count,unknown_count,rule_a_eligible_pairs,rule_a_positive,rule_a_negative,rule_a_unknown,rule_b_eligible_pairs,rule_b_positive,rule_b_negative,rule_b_unknown,industry_present_pairs,industry_missing_pairs
1393,57,8,44,5,46,8,38,0,46,8,38,0,55,2
1394,121,12,103,6,98,11,87,0,97,11,86,0,119,2
1395,124,16,103,5,101,14,87,0,99,14,85,0,122,2
1396,125,18,102,5,101,16,85,0,101,16,85,0,123,2
1397,126,10,115,1,105,10,95,0,102,10,92,0,123,3
1398,128,6,122,0,106,6,100,0,104,6,98,0,125,3
1399,129,4,125,0,110,4,106,0,107,4,103,0,126,3
1400,130,4,126,0,112,4,108,0,111,4,107,0,127,3
1401,130,5,125,0,116,5,111,0,111,4,107,0,127,3
1402,130,3,127,0,118,3,115,0,116,3,113,0,127,3
