selection_rank,option_id,predictor_row_key_t,target_row_key_t_plus_1,ticker,fiscal_year_t,target_year,class_label,industry,industry_present,industry_missing_reason,rule_a_eligible,selection_method,post_evidence_substitution_allowed,selection_status
1,pilot_option_event_enriched,خاذین|1392,خاذین|1393,خاذین,1392,1393,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
2,pilot_option_event_enriched,خبهمن|1392,خبهمن|1393,خبهمن,1392,1393,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
3,pilot_option_event_enriched,ختوقا|1392,ختوقا|1393,ختوقا,1392,1393,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
4,pilot_option_event_enriched,خنصیر|1392,خنصیر|1393,خنصیر,1392,1393,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
5,pilot_option_event_enriched,بموتو|1392,بموتو|1393,بموتو,1392,1393,negative,ماشین‌آلات و تجهیزات / دستگاه‌های برقی,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
6,pilot_option_event_enriched,ثنوسا|1392,ثنوسا|1393,ثنوسا,1392,1393,negative,انبوه‌سازی، املاک و مستغلات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
7,pilot_option_event_enriched,حپترو|1392,حپترو|1393,حپترو,1392,1393,negative,حمل و نقل,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
8,pilot_option_event_enriched,حکشتی|1392,حکشتی|1393,حکشتی,1392,1393,negative,حمل و نقل آبی,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
9,pilot_option_event_enriched,بترانس|1393,بترانس|1394,بترانس,1393,1394,positive,ماشین‌آلات و تجهیزات / تجهیزات برقی,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
10,pilot_option_event_enriched,خبهمن|1393,خبهمن|1394,خبهمن,1393,1394,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
11,pilot_option_event_enriched,ختوقا|1393,ختوقا|1394,ختوقا,1393,1394,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
12,pilot_option_event_enriched,خرینگ|1393,خرینگ|1394,خرینگ,1393,1394,positive,خودرو و ساخت قطعات,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
13,pilot_option_event_enriched,بالبر|1393,بالبر|1394,بالبر,1393,1394,negative,نامشخص در فایل ارسالی,false,unknown_sentinel,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
14,pilot_option_event_enriched,بموتو|1393,بموتو|1394,بموتو,1393,1394,negative,ماشین‌آلات و تجهیزات / دستگاه‌های برقی,true,,1,deterministic_without_replacement_rule_a_eligible_frozen_identifiers_pre_evidence,false,approved_for_part3b_pilot
