candidate_id,source_id,evidence_id,evidence_class,linkage_status,failure_reason
cand_m2_equity_return_window,src_m2_tsetmc_market,ev_src_m2_tsetmc_market_cand_m2_equity_return_window,source_origin_probe,linked_shared_source_origin_probe,
cand_m2_realized_volatility,src_m2_tsetmc_market,ev_src_m2_tsetmc_market_cand_m2_equity_return_window,source_origin_probe,linked_shared_source_origin_probe,
cand_m2_amihud_illiquidity,src_m2_tsetmc_market,ev_src_m2_tsetmc_market_cand_m2_equity_return_window,source_origin_probe,linked_shared_source_origin_probe,
cand_m3_cpi_inflation,src_m3_cbi_macro,ev_src_m3_cbi_macro,blocked_unverified_endpoint,unresolved,no_authoritative_official_endpoint_in_frozen_stage125_or_stage124_assets
cand_m3_fx_change_official,src_m3_cbi_macro,ev_src_m3_cbi_macro,blocked_unverified_endpoint,unresolved,no_authoritative_official_endpoint_in_frozen_stage125_or_stage124_assets
cand_m3_policy_financing_rate,src_m3_cbi_macro,ev_src_m3_cbi_macro,blocked_unverified_endpoint,unresolved,no_authoritative_official_endpoint_in_frozen_stage125_or_stage124_assets
cand_m4_audit_opinion_type,src_m4_codal_audit,ev_src_m4_codal_audit_cand_m4_audit_opinion_type,source_origin_probe,linked_shared_source_origin_probe,
cand_m4_going_concern_flag,src_m4_codal_audit,ev_src_m4_codal_audit_cand_m4_audit_opinion_type,source_origin_probe,linked_shared_source_origin_probe,
cand_m4_audit_lag_days,src_m4_codal_audit,ev_src_m4_codal_audit_cand_m4_audit_opinion_type,source_origin_probe,linked_shared_source_origin_probe,
cand_m4_board_size,src_m4_codal_governance,ev_src_m4_codal_governance_cand_m4_board_size,source_origin_probe,linked_shared_source_origin_probe,
