plan_row_id,candidate_id,source_id,endpoint_id,request_url,http_method,retrieval_purpose,evidence_class,plan_status,blocker_reason,shared_snapshot_key,canonical_evidence_id
plan_001,cand_m2_equity_return_window,src_m2_tsetmc_market,ep_src_m2_tsetmc_market_cdn_tsetmc_com,https://cdn.tsetmc.com/,GET,source_origin_probe,source_origin_probe,planned,,src_m2_tsetmc_market,ev_src_m2_tsetmc_market_cand_m2_equity_return_window
plan_002,cand_m2_realized_volatility,src_m2_tsetmc_market,ep_src_m2_tsetmc_market_cdn_tsetmc_com,https://cdn.tsetmc.com/,GET,source_origin_probe,source_origin_probe,planned,,src_m2_tsetmc_market,ev_src_m2_tsetmc_market_cand_m2_equity_return_window
plan_003,cand_m2_amihud_illiquidity,src_m2_tsetmc_market,ep_src_m2_tsetmc_market_cdn_tsetmc_com,https://cdn.tsetmc.com/,GET,source_origin_probe,source_origin_probe,planned,,src_m2_tsetmc_market,ev_src_m2_tsetmc_market_cand_m2_equity_return_window
plan_004,cand_m3_cpi_inflation,src_m3_cbi_macro,,,,source_origin_probe,blocked_unverified_endpoint,blocked,no_authoritative_official_endpoint_in_frozen_stage125_or_stage124_assets,src_m3_cbi_macro,ev_src_m3_cbi_macro
plan_005,cand_m3_fx_change_official,src_m3_cbi_macro,,,,source_origin_probe,blocked_unverified_endpoint,blocked,no_authoritative_official_endpoint_in_frozen_stage125_or_stage124_assets,src_m3_cbi_macro,ev_src_m3_cbi_macro
plan_006,cand_m3_policy_financing_rate,src_m3_cbi_macro,,,,source_origin_probe,blocked_unverified_endpoint,blocked,no_authoritative_official_endpoint_in_frozen_stage125_or_stage124_assets,src_m3_cbi_macro,ev_src_m3_cbi_macro
plan_007,cand_m4_audit_opinion_type,src_m4_codal_audit,ep_src_m4_codal_audit_www_codal_ir,https://www.codal.ir/,GET,source_origin_probe,source_origin_probe,planned,,src_m4_codal_audit,ev_src_m4_codal_audit_cand_m4_audit_opinion_type
plan_008,cand_m4_going_concern_flag,src_m4_codal_audit,ep_src_m4_codal_audit_www_codal_ir,https://www.codal.ir/,GET,source_origin_probe,source_origin_probe,planned,,src_m4_codal_audit,ev_src_m4_codal_audit_cand_m4_audit_opinion_type
plan_009,cand_m4_audit_lag_days,src_m4_codal_audit,ep_src_m4_codal_audit_www_codal_ir,https://www.codal.ir/,GET,source_origin_probe,source_origin_probe,planned,,src_m4_codal_audit,ev_src_m4_codal_audit_cand_m4_audit_opinion_type
plan_010,cand_m4_board_size,src_m4_codal_governance,ep_src_m4_codal_governance_www_codal_ir,https://www.codal.ir/,GET,source_origin_probe,source_origin_probe,planned,,src_m4_codal_governance,ev_src_m4_codal_governance_cand_m4_board_size
