sample_design,dataset_surface,target_year,pairs,positive,negative
main_rule_a_primary,audited_pairs,1393,46,8,38
main_rule_a_primary,audited_pairs,1394,98,11,87
main_rule_a_primary,audited_pairs,1395,101,14,87
main_rule_a_primary,audited_pairs,1396,101,16,85
main_rule_a_primary,audited_pairs,1397,105,10,95
main_rule_a_primary,audited_pairs,1398,106,6,100
main_rule_a_primary,audited_pairs,1399,110,4,106
main_rule_a_primary,audited_pairs,1400,112,4,108
main_rule_a_primary,audited_pairs,1401,116,5,111
main_rule_a_primary,audited_pairs,1402,118,3,115
main_rule_a_primary,analysis_ready,1393,46,8,38
main_rule_a_primary,analysis_ready,1394,98,11,87
main_rule_a_primary,analysis_ready,1395,101,14,87
main_rule_a_primary,analysis_ready,1396,101,16,85
main_rule_a_primary,analysis_ready,1397,104,9,95
main_rule_a_primary,analysis_ready,1398,106,6,100
main_rule_a_primary,analysis_ready,1399,110,4,106
main_rule_a_primary,analysis_ready,1400,112,4,108
main_rule_a_primary,analysis_ready,1401,116,5,111
main_rule_a_primary,analysis_ready,1402,118,3,115
main_rule_b_listing_robustness,audited_pairs,1393,46,8,38
main_rule_b_listing_robustness,audited_pairs,1394,97,11,86
main_rule_b_listing_robustness,audited_pairs,1395,99,14,85
main_rule_b_listing_robustness,audited_pairs,1396,101,16,85
main_rule_b_listing_robustness,audited_pairs,1397,102,10,92
main_rule_b_listing_robustness,audited_pairs,1398,104,6,98
main_rule_b_listing_robustness,audited_pairs,1399,107,4,103
main_rule_b_listing_robustness,audited_pairs,1400,111,4,107
main_rule_b_listing_robustness,audited_pairs,1401,111,4,107
main_rule_b_listing_robustness,audited_pairs,1402,116,3,113
main_rule_b_listing_robustness,analysis_ready,1393,46,8,38
main_rule_b_listing_robustness,analysis_ready,1394,97,11,86
main_rule_b_listing_robustness,analysis_ready,1395,99,14,85
main_rule_b_listing_robustness,analysis_ready,1396,101,16,85
main_rule_b_listing_robustness,analysis_ready,1397,101,9,92
main_rule_b_listing_robustness,analysis_ready,1398,104,6,98
main_rule_b_listing_robustness,analysis_ready,1399,107,4,103
main_rule_b_listing_robustness,analysis_ready,1400,111,4,107
main_rule_b_listing_robustness,analysis_ready,1401,111,4,107
main_rule_b_listing_robustness,analysis_ready,1402,116,3,113
expanded_rule_a_company_scope_robustness,audited_pairs,1393,47,8,39
expanded_rule_a_company_scope_robustness,audited_pairs,1394,102,11,91
expanded_rule_a_company_scope_robustness,audited_pairs,1395,105,14,91
expanded_rule_a_company_scope_robustness,audited_pairs,1396,106,16,90
expanded_rule_a_company_scope_robustness,audited_pairs,1397,110,10,100
expanded_rule_a_company_scope_robustness,audited_pairs,1398,111,6,105
expanded_rule_a_company_scope_robustness,audited_pairs,1399,115,4,111
expanded_rule_a_company_scope_robustness,audited_pairs,1400,117,4,113
expanded_rule_a_company_scope_robustness,audited_pairs,1401,121,5,116
expanded_rule_a_company_scope_robustness,audited_pairs,1402,123,3,120
expanded_rule_a_company_scope_robustness,analysis_ready,1393,47,8,39
expanded_rule_a_company_scope_robustness,analysis_ready,1394,102,11,91
expanded_rule_a_company_scope_robustness,analysis_ready,1395,105,14,91
expanded_rule_a_company_scope_robustness,analysis_ready,1396,106,16,90
expanded_rule_a_company_scope_robustness,analysis_ready,1397,109,9,100
expanded_rule_a_company_scope_robustness,analysis_ready,1398,111,6,105
expanded_rule_a_company_scope_robustness,analysis_ready,1399,115,4,111
expanded_rule_a_company_scope_robustness,analysis_ready,1400,117,4,113
expanded_rule_a_company_scope_robustness,analysis_ready,1401,121,5,116
expanded_rule_a_company_scope_robustness,analysis_ready,1402,123,3,120
expanded_rule_b_combined_robustness,audited_pairs,1393,47,8,39
expanded_rule_b_combined_robustness,audited_pairs,1394,100,11,89
expanded_rule_b_combined_robustness,audited_pairs,1395,103,14,89
expanded_rule_b_combined_robustness,audited_pairs,1396,105,16,89
expanded_rule_b_combined_robustness,audited_pairs,1397,107,10,97
expanded_rule_b_combined_robustness,audited_pairs,1398,109,6,103
expanded_rule_b_combined_robustness,audited_pairs,1399,112,4,108
expanded_rule_b_combined_robustness,audited_pairs,1400,116,4,112
expanded_rule_b_combined_robustness,audited_pairs,1401,116,4,112
expanded_rule_b_combined_robustness,audited_pairs,1402,121,3,118
expanded_rule_b_combined_robustness,analysis_ready,1393,47,8,39
expanded_rule_b_combined_robustness,analysis_ready,1394,100,11,89
expanded_rule_b_combined_robustness,analysis_ready,1395,103,14,89
expanded_rule_b_combined_robustness,analysis_ready,1396,105,16,89
expanded_rule_b_combined_robustness,analysis_ready,1397,106,9,97
expanded_rule_b_combined_robustness,analysis_ready,1398,109,6,103
expanded_rule_b_combined_robustness,analysis_ready,1399,112,4,108
expanded_rule_b_combined_robustness,analysis_ready,1400,116,4,112
expanded_rule_b_combined_robustness,analysis_ready,1401,116,4,112
expanded_rule_b_combined_robustness,analysis_ready,1402,121,3,118
