sample_design,target,window,rows,positive,negative,event_gate_decision
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,development,695,68,627,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,fold1_train,254,33,221,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,fold1_validation,215,25,190,validation_window_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,fold2_train,469,58,411,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,fold2_validation,226,10,216,validation_window_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,final_test,361,12,349,final_test_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_main_t_plus_1,all,1056,80,976,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,development,695,85,610,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_train,254,42,212,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_validation,215,30,185,validation_window_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold2_train,469,72,397,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold2_validation,226,13,213,validation_window_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,final_test,361,15,346,final_test_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_persistent_loss_robustness_t_plus_1,all,1056,100,956,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,development,695,42,653,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,fold1_train,254,22,232,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,fold1_validation,215,17,198,validation_window_event_threshold_met
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,fold2_train,469,39,430,eligible_for_comparative_claims
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,fold2_validation,226,3,223,validation_window_below_min_positives
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,final_test,361,1,360,distributional_descriptive_robustness_only;no_comparative_predictive_performance_claim;no_inferential_model_ranking
expanded_rule_a_company_scope_robustness,FD_target_article141_only_t_plus_1,all,1056,43,1013,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,development,682,68,614,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,fold1_train,250,33,217,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,fold1_validation,211,25,186,validation_window_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,fold2_train,461,58,403,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,fold2_validation,221,10,211,validation_window_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,final_test,353,11,342,final_test_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_main_t_plus_1,all,1035,79,956,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,development,682,85,597,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_train,250,42,208,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_validation,211,30,181,validation_window_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold2_train,461,72,389,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold2_validation,221,13,208,validation_window_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,final_test,353,14,339,final_test_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_persistent_loss_robustness_t_plus_1,all,1035,99,936,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,development,682,42,640,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,fold1_train,250,22,228,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,fold1_validation,211,17,194,validation_window_event_threshold_met
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,fold2_train,461,39,422,eligible_for_comparative_claims
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,fold2_validation,221,3,218,validation_window_below_min_positives
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,final_test,353,0,353,distributional_descriptive_robustness_only;no_comparative_predictive_performance_claim;no_inferential_model_ranking
expanded_rule_b_combined_robustness,FD_target_article141_only_t_plus_1,all,1035,42,993,eligible_for_comparative_claims
main_rule_a_primary,FD_target_main_t_plus_1,development,666,68,598,eligible_for_comparative_claims
main_rule_a_primary,FD_target_main_t_plus_1,fold1_train,245,33,212,eligible_for_comparative_claims
main_rule_a_primary,FD_target_main_t_plus_1,fold1_validation,205,25,180,validation_window_event_threshold_met
main_rule_a_primary,FD_target_main_t_plus_1,fold2_train,450,58,392,eligible_for_comparative_claims
main_rule_a_primary,FD_target_main_t_plus_1,fold2_validation,216,10,206,validation_window_event_threshold_met
main_rule_a_primary,FD_target_main_t_plus_1,final_test,346,12,334,final_test_event_threshold_met
main_rule_a_primary,FD_target_main_t_plus_1,all,1012,80,932,eligible_for_comparative_claims
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,development,666,85,581,eligible_for_comparative_claims
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,fold1_train,245,42,203,eligible_for_comparative_claims
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,fold1_validation,205,30,175,validation_window_event_threshold_met
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,fold2_train,450,72,378,eligible_for_comparative_claims
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,fold2_validation,216,13,203,validation_window_event_threshold_met
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,final_test,346,15,331,final_test_event_threshold_met
main_rule_a_primary,FD_target_persistent_loss_robustness_t_plus_1,all,1012,100,912,eligible_for_comparative_claims
main_rule_a_primary,FD_target_article141_only_t_plus_1,development,666,42,624,eligible_for_comparative_claims
main_rule_a_primary,FD_target_article141_only_t_plus_1,fold1_train,245,22,223,eligible_for_comparative_claims
main_rule_a_primary,FD_target_article141_only_t_plus_1,fold1_validation,205,17,188,validation_window_event_threshold_met
main_rule_a_primary,FD_target_article141_only_t_plus_1,fold2_train,450,39,411,eligible_for_comparative_claims
main_rule_a_primary,FD_target_article141_only_t_plus_1,fold2_validation,216,3,213,validation_window_below_min_positives
main_rule_a_primary,FD_target_article141_only_t_plus_1,final_test,346,1,345,distributional_descriptive_robustness_only;no_comparative_predictive_performance_claim;no_inferential_model_ranking
main_rule_a_primary,FD_target_article141_only_t_plus_1,all,1012,43,969,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_main_t_plus_1,development,655,68,587,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_main_t_plus_1,fold1_train,242,33,209,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_main_t_plus_1,fold1_validation,202,25,177,validation_window_event_threshold_met
main_rule_b_listing_robustness,FD_target_main_t_plus_1,fold2_train,444,58,386,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_main_t_plus_1,fold2_validation,211,10,201,validation_window_event_threshold_met
main_rule_b_listing_robustness,FD_target_main_t_plus_1,final_test,338,11,327,final_test_event_threshold_met
main_rule_b_listing_robustness,FD_target_main_t_plus_1,all,993,79,914,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,development,655,85,570,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_train,242,42,200,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_validation,202,30,172,validation_window_event_threshold_met
