sample_design,sample_role,target,target_role,rows,companies,positive,negative,paper_primary_result
expanded_rule_a_company_scope_robustness,robustness_company_scope,FD_target_main_t_plus_1,primary,1056,124,80,976,false
expanded_rule_a_company_scope_robustness,robustness_company_scope,FD_target_persistent_loss_robustness_t_plus_1,secondary_robustness,1056,124,100,956,false
expanded_rule_a_company_scope_robustness,robustness_company_scope,FD_target_article141_only_t_plus_1,article141_only_robustness,1056,124,43,1013,false
expanded_rule_b_combined_robustness,robustness_combined,FD_target_main_t_plus_1,primary,1035,122,79,956,false
expanded_rule_b_combined_robustness,robustness_combined,FD_target_persistent_loss_robustness_t_plus_1,secondary_robustness,1035,122,99,936,false
expanded_rule_b_combined_robustness,robustness_combined,FD_target_article141_only_t_plus_1,article141_only_robustness,1035,122,42,993,false
main_rule_a_primary,primary,FD_target_main_t_plus_1,primary,1012,119,80,932,true
main_rule_a_primary,primary,FD_target_persistent_loss_robustness_t_plus_1,secondary_robustness,1012,119,100,912,false
main_rule_a_primary,primary,FD_target_article141_only_t_plus_1,article141_only_robustness,1012,119,43,969,false
main_rule_b_listing_robustness,robustness_listing,FD_target_main_t_plus_1,primary,993,117,79,914,false
main_rule_b_listing_robustness,robustness_listing,FD_target_persistent_loss_robustness_t_plus_1,secondary_robustness,993,117,99,894,false
main_rule_b_listing_robustness,robustness_listing,FD_target_article141_only_t_plus_1,article141_only_robustness,993,117,42,951,false
