model_family,configuration_id,hyperparameters_json,mean_validation_pr_auc,fold1_validation_pr_auc,fold2_validation_pr_auc,min_fold_pr_auc,selected
regularized_logistic_regression,logistic__C_0.01,"{""C"": 0.01, ""max_iter"": 5000, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.452910246704,0.48512405915,0.420696434259,0.420696434259,false
regularized_logistic_regression,logistic__C_0.1,"{""C"": 0.1, ""max_iter"": 5000, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.462281478468,0.484040818257,0.44052213868,0.44052213868,true
regularized_logistic_regression,logistic__C_1.0,"{""C"": 1.0, ""max_iter"": 5000, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.460234720133,0.481545956199,0.438923484067,0.438923484067,false
regularized_logistic_regression,logistic__C_10.0,"{""C"": 10.0, ""max_iter"": 5000, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.457985898146,0.478253275258,0.437718521033,0.437718521033,false
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_5,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.407411474147,0.478633723735,0.336189224558,0.336189224558,false
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 500}",0.415840277848,0.49381261582,0.337867939876,0.337867939876,true
random_forest,rf__depth_3__maxfeat_0.5__leaf_5,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.347665685383,0.405496674026,0.28983469674,0.28983469674,false
random_forest,rf__depth_3__maxfeat_0.5__leaf_10,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500}",0.34977928151,0.413097978868,0.286460584152,0.286460584152,false
random_forest,rf__depth_5__maxfeat_'sqrt'__leaf_5,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.384267195377,0.466353845061,0.302180545693,0.302180545693,false
random_forest,rf__depth_5__maxfeat_'sqrt'__leaf_10,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 500}",0.380290473142,0.45649067834,0.304090267945,0.304090267945,false
random_forest,rf__depth_5__maxfeat_0.5__leaf_5,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.338715716832,0.422025330333,0.25540610333,0.25540610333,false
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500}",0.338290145731,0.406719079689,0.269861211773,0.269861211773,false
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.374267989483,0.460692565384,0.287843413581,0.287843413581,false
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 500}",0.382955694637,0.462995329894,0.302916059379,0.302916059379,false
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.336995513623,0.419955504314,0.254035522932,0.254035522932,false
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500}",0.338172953079,0.409183776467,0.267162129691,0.267162129691,false
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.395176945304,0.460868529085,0.329485361522,0.329485361522,true
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.389360242988,0.416427847428,0.362292638548,0.362292638548,false
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.3865331317,0.438905949476,0.334160313925,0.334160313925,false
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.389313121689,0.419548262038,0.35907798134,0.35907798134,false
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.360468191494,0.419614017591,0.301322365398,0.301322365398,false
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.377309969279,0.408892234284,0.345727704274,0.345727704274,false
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.352434558106,0.401875761983,0.302993354229,0.302993354229,false
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.377695428003,0.406203072774,0.349187783233,0.349187783233,false
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.333445327663,0.409836294405,0.257054360921,0.257054360921,false
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.327722182556,0.385132388794,0.270311976319,0.270311976319,false
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.298953813407,0.361640308729,0.236267318085,0.236267318085,false
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.310676345837,0.34895212167,0.272400570004,0.272400570004,false
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.305575908859,0.373430090727,0.23772172699,0.23772172699,false
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.338162390911,0.406801435065,0.269523346757,0.269523346757,false
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.284253298674,0.356179851057,0.212326746292,0.212326746292,false
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,"{""colsample_bytree"": 0.8, ""early_stopping"": false, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""reg_lambda"": 10, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.307438150921,0.344562758148,0.270313543694,0.270313543694,false
