sample_design,ticker,predictor_row_key_t,target_row_key_t_plus_1,fiscal_year_t,target_year,dataset_split,in_fold1_train,in_fold1_validation,in_fold2_train,in_fold2_validation
main_rule_a_primary,بالبر,بالبر|1393,بالبر|1394,1393,1394,development,true,false,true,false
main_rule_a_primary,بالبر,بالبر|1394,بالبر|1395,1394,1395,development,true,false,true,false
main_rule_a_primary,بالبر,بالبر|1395,بالبر|1396,1395,1396,development,false,true,true,false
main_rule_a_primary,بالبر,بالبر|1396,بالبر|1397,1396,1397,development,false,true,true,false
main_rule_a_primary,بالبر,بالبر|1397,بالبر|1398,1397,1398,development,false,false,false,true
main_rule_a_primary,بالبر,بالبر|1398,بالبر|1399,1398,1399,development,false,false,false,true
main_rule_a_primary,بترانس,بترانس|1393,بترانس|1394,1393,1394,development,true,false,true,false
main_rule_a_primary,بترانس,بترانس|1394,بترانس|1395,1394,1395,development,true,false,true,false
main_rule_a_primary,بترانس,بترانس|1395,بترانس|1396,1395,1396,development,false,true,true,false
main_rule_a_primary,بترانس,بترانس|1396,بترانس|1397,1396,1397,development,false,true,true,false
main_rule_a_primary,بترانس,بترانس|1397,بترانس|1398,1397,1398,development,false,false,false,true
main_rule_a_primary,بترانس,بترانس|1398,بترانس|1399,1398,1399,development,false,false,false,true
main_rule_a_primary,بموتو,بموتو|1392,بموتو|1393,1392,1393,development,true,false,true,false
main_rule_a_primary,بموتو,بموتو|1393,بموتو|1394,1393,1394,development,true,false,true,false
main_rule_a_primary,بموتو,بموتو|1394,بموتو|1395,1394,1395,development,true,false,true,false
main_rule_a_primary,بموتو,بموتو|1395,بموتو|1396,1395,1396,development,false,true,true,false
main_rule_a_primary,بموتو,بموتو|1396,بموتو|1397,1396,1397,development,false,true,true,false
main_rule_a_primary,بموتو,بموتو|1397,بموتو|1398,1397,1398,development,false,false,false,true
main_rule_a_primary,بموتو,بموتو|1398,بموتو|1399,1398,1399,development,false,false,false,true
main_rule_a_primary,بکاب,بکاب|1393,بکاب|1394,1393,1394,development,true,false,true,false
main_rule_a_primary,بکاب,بکاب|1394,بکاب|1395,1394,1395,development,true,false,true,false
main_rule_a_primary,بکاب,بکاب|1395,بکاب|1396,1395,1396,development,false,true,true,false
main_rule_a_primary,بکاب,بکاب|1396,بکاب|1397,1396,1397,development,false,true,true,false
main_rule_a_primary,بکاب,بکاب|1397,بکاب|1398,1397,1398,development,false,false,false,true
main_rule_a_primary,بکاب,بکاب|1398,بکاب|1399,1398,1399,development,false,false,false,true
main_rule_a_primary,بکام,بکام|1393,بکام|1394,1393,1394,development,true,false,true,false
main_rule_a_primary,بکام,بکام|1394,بکام|1395,1394,1395,development,true,false,true,false
main_rule_a_primary,بکام,بکام|1395,بکام|1396,1395,1396,development,false,true,true,false
main_rule_a_primary,بکام,بکام|1396,بکام|1397,1396,1397,development,false,true,true,false
main_rule_a_primary,بکام,بکام|1397,بکام|1398,1397,1398,development,false,false,false,true
main_rule_a_primary,بکام,بکام|1398,بکام|1399,1398,1399,development,false,false,false,true
main_rule_a_primary,تپمپی,تپمپی|1393,تپمپی|1394,1393,1394,development,true,false,true,false
main_rule_a_primary,تپمپی,تپمپی|1394,تپمپی|1395,1394,1395,development,true,false,true,false
