part_index,category_id,changed_dimension,model_family,primary_pooled_pr_auc,robustness_pooled_pr_auc,absolute_delta_vs_primary,relative_delta_vs_primary,observed_ordering_for_part,primary_ordering_preserved,sample_changed,target_changed,feature_set_changed,imbalance_strategy_changed,selected_configurations_changed,development_only,final_test_accessed_or_evaluated,source_comparison_artifact,source_metric_artifact
1,m1_target_proximity_six_feature_set,feature_set,regularized_logistic_regression,0.445756964048,0.318117505162,-0.127639458886,-0.286343162711,xgboost>random_forest>regularized_logistic_regression,false,false,false,true,false,false,true,false,project/stage126/stage126_m1_robustness_part1_primary_comparison.json,project/stage126/stage126_m1_robustness_part1_metrics.csv
1,m1_target_proximity_six_feature_set,feature_set,random_forest,0.402441830020,0.332133983124,-0.070307846896,-0.174703128878,xgboost>random_forest>regularized_logistic_regression,false,false,false,true,false,false,true,false,project/stage126/stage126_m1_robustness_part1_primary_comparison.json,project/stage126/stage126_m1_robustness_part1_metrics.csv
1,m1_target_proximity_six_feature_set,feature_set,xgboost,0.356545008162,0.339262787141,-0.017282221021,-0.048471358806,xgboost>random_forest>regularized_logistic_regression,false,false,false,true,false,false,true,false,project/stage126/stage126_m1_robustness_part1_primary_comparison.json,project/stage126/stage126_m1_robustness_part1_metrics.csv
2,main_rule_b_listing_robustness,sample,regularized_logistic_regression,0.445756964048,0.447170385532,0.001413421484,0.003170834329,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part2_primary_comparison.json,project/stage126/stage126_m1_robustness_part2_metrics.csv
2,main_rule_b_listing_robustness,sample,random_forest,0.402441830020,0.401263142511,-0.001178687509,-0.002928839452,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part2_primary_comparison.json,project/stage126/stage126_m1_robustness_part2_metrics.csv
2,main_rule_b_listing_robustness,sample,xgboost,0.356545008162,0.341959533880,-0.014585474282,-0.040907806723,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part2_primary_comparison.json,project/stage126/stage126_m1_robustness_part2_metrics.csv
3,expanded_rule_a_company_scope_robustness,sample,regularized_logistic_regression,0.445756964048,0.442885909854,-0.002871054194,-0.006440851014,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part3_primary_comparison.json,project/stage126/stage126_m1_robustness_part3_metrics.csv
3,expanded_rule_a_company_scope_robustness,sample,random_forest,0.402441830020,0.390702328450,-0.011739501570,-0.029170679324,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part3_primary_comparison.json,project/stage126/stage126_m1_robustness_part3_metrics.csv
3,expanded_rule_a_company_scope_robustness,sample,xgboost,0.356545008162,0.356560707550,0.000015699388,0.000044031995,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part3_primary_comparison.json,project/stage126/stage126_m1_robustness_part3_metrics.csv
4,expanded_rule_b_combined_robustness,sample,regularized_logistic_regression,0.445756964048,0.444983882478,-0.000773081570,-0.001734311816,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part4_primary_comparison.json,project/stage126/stage126_m1_robustness_part4_metrics.csv
4,expanded_rule_b_combined_robustness,sample,random_forest,0.402441830020,0.396418788419,-0.006023041601,-0.014966241458,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part4_primary_comparison.json,project/stage126/stage126_m1_robustness_part4_metrics.csv
4,expanded_rule_b_combined_robustness,sample,xgboost,0.356545008162,0.355210803326,-0.001334204836,-0.003742037626,regularized_logistic_regression>random_forest>xgboost,true,true,false,false,false,false,true,false,project/stage126/stage126_m1_robustness_part4_primary_comparison.json,project/stage126/stage126_m1_robustness_part4_metrics.csv
