predictor_row_key_t,target_row_key_t_plus_1,ticker,fiscal_year_t,target_year,temporal_partition,fold_membership,present_in_main_rule_a_primary,present_in_main_rule_b_listing_robustness,present_in_expanded_rule_a_company_scope_robustness,present_in_expanded_rule_b_combined_robustness,sample_membership_signature
اردستان|1401,اردستان|1402,اردستان,1401,1402,locked_final_test,locked_final_test,true,false,true,false,primary+part3
اپال|1400,اپال|1401,اپال,1400,1401,locked_final_test,locked_final_test,true,false,true,false,primary+part3
اپال|1401,اپال|1402,اپال,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بالبر|1393,بالبر|1394,بالبر,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بالبر|1394,بالبر|1395,بالبر,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بالبر|1395,بالبر|1396,بالبر,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بالبر|1396,بالبر|1397,بالبر,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بالبر|1397,بالبر|1398,بالبر,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بالبر|1398,بالبر|1399,بالبر,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بالبر|1399,بالبر|1400,بالبر,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بالبر|1400,بالبر|1401,بالبر,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بالبر|1401,بالبر|1402,بالبر,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بترانس|1393,بترانس|1394,بترانس,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بترانس|1394,بترانس|1395,بترانس,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بترانس|1395,بترانس|1396,بترانس,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بترانس|1396,بترانس|1397,بترانس,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بترانس|1397,بترانس|1398,بترانس,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بترانس|1398,بترانس|1399,بترانس,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بترانس|1399,بترانس|1400,بترانس,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بترانس|1400,بترانس|1401,بترانس,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بترانس|1401,بترانس|1402,بترانس,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
برکت|1395,برکت|1396,برکت,1395,1396,development,fold1_validation|fold2_train,false,false,true,false,part3
برکت|1396,برکت|1397,برکت,1396,1397,development,fold1_validation|fold2_train,false,false,true,true,part3+part4
برکت|1397,برکت|1398,برکت,1397,1398,development,fold2_validation,false,false,true,true,part3+part4
برکت|1398,برکت|1399,برکت,1398,1399,development,fold2_validation,false,false,true,true,part3+part4
برکت|1399,برکت|1400,برکت,1399,1400,locked_final_test,locked_final_test,false,false,true,true,part3+part4
برکت|1400,برکت|1401,برکت,1400,1401,locked_final_test,locked_final_test,false,false,true,true,part3+part4
برکت|1401,برکت|1402,برکت,1401,1402,locked_final_test,locked_final_test,false,false,true,true,part3+part4
بموتو|1392,بموتو|1393,بموتو,1392,1393,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بموتو|1393,بموتو|1394,بموتو,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بموتو|1394,بموتو|1395,بموتو,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بموتو|1395,بموتو|1396,بموتو,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بموتو|1396,بموتو|1397,بموتو,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بموتو|1397,بموتو|1398,بموتو,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بموتو|1398,بموتو|1399,بموتو,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بموتو|1399,بموتو|1400,بموتو,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بموتو|1400,بموتو|1401,بموتو,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بموتو|1401,بموتو|1402,بموتو,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بوعلی|1399,بوعلی|1400,بوعلی,1399,1400,locked_final_test,locked_final_test,true,false,true,false,primary+part3
بوعلی|1400,بوعلی|1401,بوعلی,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بوعلی|1401,بوعلی|1402,بوعلی,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بکاب|1393,بکاب|1394,بکاب,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بکاب|1394,بکاب|1395,بکاب,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بکاب|1395,بکاب|1396,بکاب,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بکاب|1396,بکاب|1397,بکاب,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بکاب|1397,بکاب|1398,بکاب,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بکاب|1398,بکاب|1399,بکاب,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بکاب|1399,بکاب|1400,بکاب,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بکاب|1400,بکاب|1401,بکاب,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بکاب|1401,بکاب|1402,بکاب,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بکام|1393,بکام|1394,بکام,1393,1394,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بکام|1394,بکام|1395,بکام,1394,1395,development,fold1_train|fold2_train,true,true,true,true,primary+part2+part3+part4
بکام|1395,بکام|1396,بکام,1395,1396,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بکام|1396,بکام|1397,بکام,1396,1397,development,fold1_validation|fold2_train,true,true,true,true,primary+part2+part3+part4
بکام|1397,بکام|1398,بکام,1397,1398,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بکام|1398,بکام|1399,بکام,1398,1399,development,fold2_validation,true,true,true,true,primary+part2+part3+part4
بکام|1399,بکام|1400,بکام,1399,1400,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بکام|1400,بکام|1401,بکام,1400,1401,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
بکام|1401,بکام|1402,بکام,1401,1402,locked_final_test,locked_final_test,true,true,true,true,primary+part2+part3+part4
تاپیکو|1393,تاپیکو|1394,تاپیکو,1393,1394,development,fold1_train|fold2_train,false,false,true,false,part3
تاپیکو|1394,تاپیکو|1395,تاپیکو,1394,1395,development,fold1_train|fold2_train,false,false,true,true,part3+part4
تاپیکو|1395,تاپیکو|1396,تاپیکو,1395,1396,development,fold1_validation|fold2_train,false,false,true,true,part3+part4
تاپیکو|1396,تاپیکو|1397,تاپیکو,1396,1397,development,fold1_validation|fold2_train,false,false,true,true,part3+part4
