model_family,configuration_id,temporal_fold,seed,validation_pr_auc
regularized_logistic_regression,logistic__C_0.01,fold1_validation,20260719,0.48512405915
regularized_logistic_regression,logistic__C_0.01,fold1_validation,20260720,0.48512405915
regularized_logistic_regression,logistic__C_0.01,fold1_validation,20260721,0.48512405915
regularized_logistic_regression,logistic__C_0.01,fold2_validation,20260719,0.420696434259
regularized_logistic_regression,logistic__C_0.01,fold2_validation,20260720,0.420696434259
regularized_logistic_regression,logistic__C_0.01,fold2_validation,20260721,0.420696434259
regularized_logistic_regression,logistic__C_0.1,fold1_validation,20260719,0.484040818257
regularized_logistic_regression,logistic__C_0.1,fold1_validation,20260720,0.484040818257
regularized_logistic_regression,logistic__C_0.1,fold1_validation,20260721,0.484040818257
regularized_logistic_regression,logistic__C_0.1,fold2_validation,20260719,0.44052213868
regularized_logistic_regression,logistic__C_0.1,fold2_validation,20260720,0.44052213868
regularized_logistic_regression,logistic__C_0.1,fold2_validation,20260721,0.44052213868
regularized_logistic_regression,logistic__C_1.0,fold1_validation,20260719,0.481545956199
regularized_logistic_regression,logistic__C_1.0,fold1_validation,20260720,0.481545956199
regularized_logistic_regression,logistic__C_1.0,fold1_validation,20260721,0.481545956199
regularized_logistic_regression,logistic__C_1.0,fold2_validation,20260719,0.438923484067
regularized_logistic_regression,logistic__C_1.0,fold2_validation,20260720,0.438923484067
regularized_logistic_regression,logistic__C_1.0,fold2_validation,20260721,0.438923484067
regularized_logistic_regression,logistic__C_10.0,fold1_validation,20260719,0.478253275258
regularized_logistic_regression,logistic__C_10.0,fold1_validation,20260720,0.478253275258
regularized_logistic_regression,logistic__C_10.0,fold1_validation,20260721,0.478253275258
regularized_logistic_regression,logistic__C_10.0,fold2_validation,20260719,0.437718521033
regularized_logistic_regression,logistic__C_10.0,fold2_validation,20260720,0.437718521033
regularized_logistic_regression,logistic__C_10.0,fold2_validation,20260721,0.437718521033
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_5,fold1_validation,20260719,0.471012603827
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_5,fold1_validation,20260720,0.508846045294
