request_id,ticker,fiscal_year_t,target_year,predictor_row_key_t,pair_cutoff_date,requested_start_date,requested_end_date,source_id,required_price_field,required_value_field,window_rule
REQ0001,بالبر,1393,1394,بالبر|1393,2015-01-20,2013-12-20,2015-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0002,بالبر,1394,1395,بالبر|1394,2016-01-20,2014-12-20,2016-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0003,بالبر,1395,1396,بالبر|1395,2017-01-19,2015-12-19,2017-01-18,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0004,بالبر,1396,1397,بالبر|1396,2018-01-20,2016-12-20,2018-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0005,بالبر,1397,1398,بالبر|1397,2019-01-20,2017-12-20,2019-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0006,بالبر,1398,1399,بالبر|1398,2020-01-20,2018-12-20,2020-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0007,بترانس,1393,1394,بترانس|1393,2015-07-20,2014-06-19,2015-07-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0008,بترانس,1394,1395,بترانس|1394,2016-07-19,2015-06-18,2016-07-18,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0009,بترانس,1395,1396,بترانس|1395,2017-07-21,2016-06-20,2017-07-20,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0010,بترانس,1396,1397,بترانس|1396,2018-07-20,2017-06-19,2018-07-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0011,بترانس,1397,1398,بترانس|1397,2019-07-20,2018-06-19,2019-07-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0012,بترانس,1398,1399,بترانس|1398,2020-07-19,2019-06-18,2020-07-18,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0013,بموتو,1392,1393,بموتو|1392,2014-01-20,2012-12-20,2014-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0014,بموتو,1393,1394,بموتو|1393,2015-01-20,2013-12-20,2015-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0015,بموتو,1394,1395,بموتو|1394,2016-01-20,2014-12-20,2016-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0016,بموتو,1395,1396,بموتو|1395,2017-01-19,2015-12-19,2017-01-18,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0017,بموتو,1396,1397,بموتو|1396,2018-01-20,2016-12-20,2018-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0018,بموتو,1397,1398,بموتو|1397,2019-01-20,2017-12-20,2019-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0019,بموتو,1398,1399,بموتو|1398,2020-01-20,2018-12-20,2020-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0020,بکاب,1393,1394,بکاب|1393,2015-01-20,2013-12-20,2015-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0021,بکاب,1394,1395,بکاب|1394,2016-01-20,2014-12-20,2016-01-19,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
REQ0022,بکاب,1395,1396,بکاب|1395,2017-01-19,2015-12-19,2017-01-18,src_m2_tsetmc_market,adjusted_close,traded_value_rial,shared_12_calendar_month_window_ending_on_last_eligible_trading_day_strictly_before_pair_cutoff_date
