range_id,ticker,requested_start_date,requested_end_date,covered_pair_count,source_id
RNG0001,بالبر,2013-12-20,2020-01-19,6,src_m2_tsetmc_market
RNG0002,بترانس,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0003,بموتو,2012-12-20,2020-01-19,7,src_m2_tsetmc_market
RNG0004,بکاب,2013-12-20,2020-01-19,6,src_m2_tsetmc_market
RNG0005,بکام,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0006,تپمپی,2013-09-21,2019-10-21,6,src_m2_tsetmc_market
RNG0007,تکمبا,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0008,ثشرق,2013-12-20,2020-01-19,6,src_m2_tsetmc_market
RNG0009,ثنوسا,2012-12-20,2020-01-19,7,src_m2_tsetmc_market
RNG0010,جم,2015-06-18,2020-07-18,5,src_m2_tsetmc_market
RNG0011,جم پیلن,2019-06-18,2020-07-18,1,src_m2_tsetmc_market
RNG0012,حپترو,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0013,حکشتی,2012-09-21,2019-10-21,7,src_m2_tsetmc_market
RNG0014,خاذین,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0015,خبهمن,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0016,ختوقا,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0017,خرینگ,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0018,خمحور,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0019,خمهر,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0020,خنصیر,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0021,خوساز,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0022,خچرخش,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0023,خکمک,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0024,ددام,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0025,دروز,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0026,دسبحا,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0027,دسینا,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0028,دشیمی,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0029,دیران,2013-06-19,2020-04-17,7,src_m2_tsetmc_market
RNG0030,رانفور,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0031,رمپنا,2017-07-22,2019-08-21,2,src_m2_tsetmc_market
RNG0032,زمگسا,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0033,زپارس,2018-03-19,2020-04-17,2,src_m2_tsetmc_market
RNG0034,ساراب,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0035,ساربیل,2014-03-19,2020-04-17,6,src_m2_tsetmc_market
RNG0036,ساروم,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0037,سبجنو,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0038,سبهان,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0039,ستران,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0040,سخاش,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0041,سخزر,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0042,سخوز,2015-06-18,2020-07-18,5,src_m2_tsetmc_market
RNG0043,سدشت,2012-12-20,2020-01-19,7,src_m2_tsetmc_market
RNG0044,سدور,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0045,سرود,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
RNG0046,سشرق,2012-12-20,2020-01-19,7,src_m2_tsetmc_market
RNG0047,سصفها,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0048,سغرب,2014-06-19,2020-07-18,6,src_m2_tsetmc_market
RNG0049,سقاین,2013-06-19,2020-07-18,7,src_m2_tsetmc_market
