request_id,predictor_row_key_t,ticker,fiscal_year_t,target_year,endpoint_type,endpoint_date,pair_cutoff_date,current_InsCode,current_ISIN,source_range_id,qTotCap,qTotTran5J,zTotTran,raw_close,adjusted_close_status
REQ0001,بموتو|1392,بموتو,1392,1393,t0,2013-01-19,2014-01-20,22086876724551482,IRO1MOTJ0001,RNG0003,0.0,0.0,0.0,3336.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0002,ثنوسا|1392,ثنوسا,1392,1393,t0,2013-01-19,2014-01-20,32845891587040106,IRO1NSTH0001,RNG0009,0.0,0.0,0.0,3855.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0003,حکشتی|1392,حکشتی,1392,1393,tN,2013-10-21,2013-10-22,60610861509165508,IRO1KSHJ0001,RNG0013,0.0,0.0,0.0,1746.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0004,حکشتی|1392,حکشتی,1392,1393,t0,2012-10-21,2013-10-22,60610861509165508,IRO1KSHJ0001,RNG0013,0.0,0.0,0.0,991.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0005,ختوقا|1392,ختوقا,1392,1393,t0,2013-07-16,2014-07-20,70289374539527245,IRO1GHAT0001,RNG0016,0.0,0.0,0.0,1126.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0006,خوساز|1392,خوساز,1392,1393,t0,2013-07-16,2014-07-20,31879190587976736,IRO1MESI0001,RNG0021,0.0,0.0,0.0,822.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0007,دروز|1392,دروز,1392,1393,tN,2014-07-16,2014-07-20,40262275031537922,IRO1ROZD0001,RNG0025,0.0,0.0,0.0,6001.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0008,دسبحا|1392,دسبحا,1392,1393,t0,2013-07-16,2014-07-20,43622578471330344,IRO1DSOB0001,RNG0026,0.0,0.0,0.0,5434.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0009,دیران|1392,دیران,1392,1393,t0,2013-07-16,2014-07-20,69090868458637360,IRO1IRDR0001,RNG0029,0.0,0.0,0.0,7599.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0010,سبهان|1392,سبهان,1392,1393,t0,2013-07-16,2014-07-20,32525655729432562,IRO1SBHN0001,RNG0038,0.0,0.0,0.0,45580.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0011,سخزر|1392,سخزر,1392,1393,tN,2014-07-16,2014-07-20,67327029014085707,IRO1SKAZ0001,RNG0041,0.0,0.0,0.0,5539.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0012,سدشت|1392,سدشت,1392,1393,tN,2014-01-18,2014-01-20,27000326841257664,IRO1SDST0001,RNG0043,0.0,0.0,0.0,3384.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0013,سدشت|1392,سدشت,1392,1393,t0,2013-01-19,2014-01-20,27000326841257664,IRO1SDST0001,RNG0043,0.0,0.0,0.0,3058.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0014,سمازن|1392,سمازن,1392,1393,tN,2014-07-16,2014-07-20,33808206014018431,IRO1SMAZ0001,RNG0050,0.0,0.0,0.0,20313.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0015,سکرد|1392,سکرد,1392,1393,tN,2014-01-18,2014-01-20,65321970913593427,IRO1SKOR0001,RNG0054,0.0,0.0,0.0,9096.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0016,سیلام|1392,سیلام,1392,1393,tN,2014-05-19,2014-05-20,14617104402836487,IRO1SEIL0001,RNG0055,0.0,0.0,0.0,8507.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0017,غبهنوش|1392,غبهنوش,1392,1393,tN,2014-07-16,2014-07-20,17059960254855208,IRO1BENN0001,RNG0068,0.0,0.0,0.0,10497.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0018,غدام|1392,غدام,1392,1393,tN,2014-04-16,2014-04-19,2254054929817435,IRO1KDPS0001,RNG0069,0.0,0.0,0.0,13553.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0019,غسالم|1392,غسالم,1392,1393,tN,2014-07-16,2014-07-20,28672095850798501,IRO1SLMN0001,RNG0070,0.0,0.0,0.0,2983.0,ADJUSTED_CLOSE_UNRESOLVED
REQ0020,غشهد|1392,غشهد,1392,1393,tN,2014-07-16,2014-07-20,20487994977117557,IRO1SHAD0001,RNG0072,0.0,0.0,0.0,2337.0,ADJUSTED_CLOSE_UNRESOLVED
