ticker,fiscal_year_t,target_year,current_InsCode,current_ISIN,window_observation_count,missing_adjusted_price_days,zero_trade_days,valid_return_count,authorized_range_start,authorized_range_end,range_is_partial_source
دروز,1392,1393,40262275031537922,IRO1ROZD0001,245,164,164,54,2013-06-19,2020-07-18,False
سدشت,1392,1393,27000326841257664,IRO1SDST0001,242,189,189,19,2012-12-20,2020-01-19,False
غدام,1392,1393,2254054929817435,IRO1KDPS0001,245,120,120,88,2013-03-19,2020-04-17,False
غنوش,1392,1393,48619517949257749,IRO1NOSH0001,245,103,103,92,2013-06-19,2020-07-18,False
غگل,1392,1393,22299894048845903,IRO1GCOZ0001,242,138,138,60,2012-12-20,2020-01-19,False
کفپارس,1392,1393,19471788163911687,IRO1NSPS0001,245,140,140,99,2013-03-19,2020-04-17,False
بکاب,1393,1394,70219663893822560,IRO1JOSH0001,242,131,131,109,2013-12-20,2020-01-19,False
ثشرق,1393,1394,6043384171800349,IRO1PMSZ0001,169,40,40,125,2013-12-20,2020-01-19,True
دروز,1393,1394,40262275031537922,IRO1ROZD0001,241,136,136,97,2013-06-19,2020-07-18,False
ساربیل,1393,1394,34890845654517313,IRO1SADB0001,242,144,144,60,2014-03-19,2020-04-17,False
سبجنو,1393,1394,66295665969375744,IRO1SBOJ0001,241,154,154,47,2014-06-19,2020-07-18,False
سخاش,1393,1394,4470657233334072,IRO1SKHS0001,241,85,85,110,2014-06-19,2020-07-18,False
سدشت,1393,1394,27000326841257664,IRO1SDST0001,242,119,119,87,2012-12-20,2020-01-19,False
سدور,1393,1394,27218386411183410,IRO1SDOR0001,241,107,107,105,2013-06-19,2020-07-18,False
سصفها,1393,1394,10568944722570445,IRO1SEFH0001,241,153,153,62,2014-06-19,2020-07-18,False
سقاین,1393,1394,60654872678917533,IRO1SGEN0001,241,92,92,118,2013-06-19,2020-07-18,False
سمازن,1393,1394,33808206014018431,IRO1SMAZ0001,241,153,153,50,2013-06-19,2020-04-17,False
سنیر,1393,1394,14231831499205396,IRO1SSNR0001,241,207,207,13,2014-06-19,2020-07-18,False
سیلام,1393,1394,14617104402836487,IRO1SEIL0001,242,108,108,91,2013-04-19,2020-05-18,False
شبریز,1393,1394,48753732042176709,IRO1PNTB0001,241,166,166,71,2014-06-19,2020-07-18,False
شبندر,1393,1394,35366681030756042,IRO1PNBA0001,241,167,167,70,2014-06-19,2020-07-18,False
شپارس,1393,1394,61102694810476197,IRO1BMPS0001,242,114,114,118,2013-12-20,2020-01-19,False
شپنا,1393,1394,7745894403636165,IRO1PNES0001,241,167,167,71,2014-06-19,2020-07-18,False
غدام,1393,1394,2254054929817435,IRO1KDPS0001,242,109,109,107,2013-03-19,2020-04-17,False
غسالم,1393,1394,28672095850798501,IRO1SLMN0001,241,111,111,97,2013-06-19,2020-07-18,False
غنوش,1393,1394,48619517949257749,IRO1NOSH0001,241,190,190,13,2013-06-19,2020-07-18,False
غگل,1393,1394,22299894048845903,IRO1GCOZ0001,242,182,182,21,2012-12-20,2020-01-19,False
فجر,1393,1394,41302553376174581,IRO1FAJR0001,241,162,162,44,2014-06-19,2020-07-18,False
فسپا,1393,1394,8977441217024425,IRO1SEPA0001,241,180,180,34,2014-06-19,2020-07-18,False
