unique_request_id,InsCode,ISIN,ticker,endpoint_date,occurrence_count,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0001,10120557300120078,IRO1SHND0001,پسهند,2015-07-19,2,0.0,0.0,0.0,5200.0
UNQ0002,10568944722570445,IRO1SEFH0001,سصفها,2014-07-20,1,0.0,0.0,0.0,13726.0
UNQ0003,10568944722570445,IRO1SEFH0001,سصفها,2015-07-19,2,0.0,0.0,0.0,15222.0
UNQ0004,10568944722570445,IRO1SEFH0001,سصفها,2017-07-19,1,0.0,0.0,0.0,16339.0
UNQ0005,10568944722570445,IRO1SEFH0001,سصفها,2018-07-18,1,0.0,0.0,0.0,6390.0
UNQ0006,10568944722570445,IRO1SEFH0001,سصفها,2019-07-20,1,0.0,0.0,0.0,12680.0
UNQ0007,11432067920374603,IRO1DSIN0001,دسینا,2015-07-19,2,0.0,0.0,0.0,13909.0
UNQ0008,11432067920374603,IRO1DSIN0001,دسینا,2017-07-19,1,0.0,0.0,0.0,21137.0
UNQ0009,11432067920374603,IRO1DSIN0001,دسینا,2019-07-17,1,0.0,0.0,0.0,15606.0
UNQ0010,11432067920374603,IRO1DSIN0001,دسینا,2019-07-20,1,0.0,0.0,0.0,17736.0
UNQ0011,11964419322927535,IRO1SROD0001,سرود,2015-07-19,2,0.0,0.0,0.0,3003.0
UNQ0012,14231831499205396,IRO1SSNR0001,سنیر,2014-07-20,1,0.0,0.0,0.0,20406.0
UNQ0013,14231831499205396,IRO1SSNR0001,سنیر,2015-07-19,2,0.0,0.0,0.0,17672.0
UNQ0014,14231831499205396,IRO1SSNR0001,سنیر,2016-07-18,1,0.0,0.0,0.0,16013.0
UNQ0015,14231831499205396,IRO1SSNR0001,سنیر,2016-07-19,1,0.0,0.0,0.0,16013.0
UNQ0016,14231831499205396,IRO1SSNR0001,سنیر,2017-07-18,1,0.0,0.0,0.0,15218.0
UNQ0017,14231831499205396,IRO1SSNR0001,سنیر,2017-07-19,1,0.0,0.0,0.0,15218.0
UNQ0018,14231831499205396,IRO1SSNR0001,سنیر,2018-07-17,1,0.0,0.0,0.0,13360.0
UNQ0019,14231831499205396,IRO1SSNR0001,سنیر,2018-07-18,1,0.0,0.0,0.0,13360.0
UNQ0020,14617104402836487,IRO1SEIL0001,سیلام,2014-05-19,2,0.0,0.0,0.0,8507.0
UNQ0021,14617104402836487,IRO1SEIL0001,سیلام,2015-05-18,1,0.0,0.0,0.0,6988.0
UNQ0022,14617104402836487,IRO1SEIL0001,سیلام,2015-05-19,1,0.0,0.0,0.0,6988.0
UNQ0023,14617104402836487,IRO1SEIL0001,سیلام,2016-05-17,1,0.0,0.0,0.0,4919.0
UNQ0024,14617104402836487,IRO1SEIL0001,سیلام,2016-05-18,1,0.0,0.0,0.0,4919.0
UNQ0025,14617104402836487,IRO1SEIL0001,سیلام,2017-05-17,1,0.0,0.0,0.0,4197.0
UNQ0026,14617104402836487,IRO1SEIL0001,سیلام,2017-05-20,1,0.0,0.0,0.0,4197.0
UNQ0027,14617104402836487,IRO1SEIL0001,سیلام,2018-05-19,2,0.0,0.0,0.0,2300.0
UNQ0028,14617104402836487,IRO1SEIL0001,سیلام,2019-05-19,1,0.0,0.0,0.0,6556.0
UNQ0029,15949743338644220,IRO1SURO0001,ساروم,2015-07-19,2,0.0,0.0,0.0,4706.0
