range_request_id,predictor_row_key_t,ticker,fiscal_year_t,target_year,current_InsCode,current_ISIN,range_start_date,range_end_date,window_observation_count,zero_trade_day_count,priced_observation_count,current_valid_return_count,max_possible_valid_returns_if_all_zero_trade_rows_are_non_trading,evidence_reason
LRQ0001,غنوش|1392,غنوش,1392,1393,48619517949257749,IRO1NOSH0001,2013-07-16,2014-07-16,245,103,142,92,141,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0002,ثشرق|1393,ثشرق,1393,1394,6043384171800349,IRO1PMSZ0001,2014-05-11,2015-01-19,169,40,129,125,128,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0003,سخاش|1393,سخاش,1393,1394,4470657233334072,IRO1SKHS0001,2014-07-20,2015-07-19,241,85,156,110,155,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0004,سدور|1393,سدور,1393,1394,27218386411183410,IRO1SDOR0001,2014-07-20,2015-07-19,241,107,134,105,133,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0005,سقاین|1393,سقاین,1393,1394,60654872678917533,IRO1SGEN0001,2014-07-20,2015-07-19,241,92,149,118,148,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0006,سیلام|1393,سیلام,1393,1394,14617104402836487,IRO1SEIL0001,2014-05-19,2015-05-19,242,108,134,91,133,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0007,شپارس|1393,شپارس,1393,1394,61102694810476197,IRO1BMPS0001,2014-01-20,2015-01-19,242,114,128,118,127,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0008,غدام|1393,غدام,1393,1394,2254054929817435,IRO1KDPS0001,2014-04-19,2015-04-18,242,109,133,107,132,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0009,غسالم|1393,غسالم,1393,1394,28672095850798501,IRO1SLMN0001,2014-07-20,2015-07-19,241,111,130,97,129,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0010,فنورد|1393,فنورد,1393,1394,56324206651661881,IRO1NGFO0001,2014-07-20,2015-07-19,241,99,142,100,141,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0011,فپنتا|1393,فپنتا,1393,1394,68488673556087148,IRO1SPTA0001,2014-07-20,2015-07-19,241,79,162,122,161,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0012,ساروم|1394,ساروم,1394,1395,15949743338644220,IRO1SURO0001,2015-07-19,2016-07-18,247,103,144,103,143,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0013,سخاش|1394,سخاش,1394,1395,4470657233334072,IRO1SKHS0001,2015-07-19,2016-07-18,247,120,127,82,126,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0014,سخزر|1394,سخزر,1394,1395,67327029014085707,IRO1SKAZ0001,2015-07-19,2016-07-18,247,113,134,106,133,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0015,غسالم|1394,غسالم,1394,1395,28672095850798501,IRO1SLMN0001,2015-07-19,2016-07-18,247,91,156,115,155,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0016,غشهد|1394,غشهد,1394,1395,20487994977117557,IRO1SHAD0001,2015-07-19,2016-07-18,247,90,157,113,156,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0017,سبجنو|1395,سبجنو,1395,1396,66295665969375744,IRO1SBOJ0001,2016-07-19,2017-07-19,243,111,132,105,131,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0018,سخاش|1395,سخاش,1395,1396,4470657233334072,IRO1SKHS0001,2016-07-19,2017-07-19,243,91,152,105,151,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0019,سخزر|1395,سخزر,1395,1396,67327029014085707,IRO1SKAZ0001,2016-07-19,2017-07-19,243,105,138,98,137,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0020,غسالم|1395,غسالم,1395,1396,28672095850798501,IRO1SLMN0001,2016-07-19,2017-07-19,243,103,140,89,139,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0021,غشهد|1395,غشهد,1395,1396,20487994977117557,IRO1SHAD0001,2016-07-19,2017-07-19,243,107,136,113,135,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0022,فسپا|1395,فسپا,1395,1396,8977441217024425,IRO1SEPA0001,2016-07-19,2017-07-19,243,111,132,94,131,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0023,فنورد|1395,فنورد,1395,1396,56324206651661881,IRO1NGFO0001,2016-07-19,2017-07-19,243,104,139,103,138,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0024,سبجنو|1396,سبجنو,1396,1397,66295665969375744,IRO1SBOJ0001,2017-07-18,2018-07-18,242,90,152,119,151,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0025,فجام|1396,فجام,1396,1397,30765727085936322,IRO1JAMD0001,2017-07-18,2018-07-18,242,103,139,91,138,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0026,فنورد|1396,فنورد,1396,1397,56324206651661881,IRO1NGFO0001,2017-07-18,2018-07-18,242,103,139,106,138,LOW_RETURN_SEQUENCE_SEMANTICS
LRQ0027,سدشت|1397,سدشت,1397,1398,27000326841257664,IRO1SDST0001,2018-01-20,2019-01-19,243,103,140,109,139,LOW_RETURN_SEQUENCE_SEMANTICS
