unique_request_id,request_type,InsCode,ISIN,ticker,endpoint_date,range_start_date,range_end_date,occurrence_count,evidence_reason,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0001,RANGE,14617104402836487,IRO1SEIL0001,سیلام,,2014-05-19,2015-05-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0002,RANGE,15949743338644220,IRO1SURO0001,ساروم,,2015-07-19,2016-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0003,RANGE,20487994977117557,IRO1SHAD0001,غشهد,,2015-07-19,2016-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0004,RANGE,20487994977117557,IRO1SHAD0001,غشهد,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0005,RANGE,2254054929817435,IRO1KDPS0001,غدام,,2014-04-19,2015-04-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0006,RANGE,27000326841257664,IRO1SDST0001,سدشت,,2018-01-20,2019-01-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0007,RANGE,27218386411183410,IRO1SDOR0001,سدور,,2014-07-20,2015-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0008,RANGE,28672095850798501,IRO1SLMN0001,غسالم,,2014-07-20,2015-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0009,RANGE,28672095850798501,IRO1SLMN0001,غسالم,,2015-07-19,2016-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0010,RANGE,28672095850798501,IRO1SLMN0001,غسالم,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0011,RANGE,30765727085936322,IRO1JAMD0001,فجام,,2017-07-18,2018-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0012,RANGE,4470657233334072,IRO1SKHS0001,سخاش,,2014-07-20,2015-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0013,RANGE,4470657233334072,IRO1SKHS0001,سخاش,,2015-07-19,2016-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0014,RANGE,4470657233334072,IRO1SKHS0001,سخاش,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0015,RANGE,48619517949257749,IRO1NOSH0001,غنوش,,2013-07-16,2014-07-16,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0016,RANGE,56324206651661881,IRO1NGFO0001,فنورد,,2014-07-20,2015-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0017,RANGE,56324206651661881,IRO1NGFO0001,فنورد,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0018,RANGE,56324206651661881,IRO1NGFO0001,فنورد,,2017-07-18,2018-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0019,RANGE,6043384171800349,IRO1PMSZ0001,ثشرق,,2014-05-11,2015-01-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0020,RANGE,60654872678917533,IRO1SGEN0001,سقاین,,2014-07-20,2015-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0021,RANGE,61102694810476197,IRO1BMPS0001,شپارس,,2014-01-20,2015-01-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0022,RANGE,66295665969375744,IRO1SBOJ0001,سبجنو,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0023,RANGE,66295665969375744,IRO1SBOJ0001,سبجنو,,2017-07-18,2018-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0024,RANGE,67327029014085707,IRO1SKAZ0001,سخزر,,2015-07-19,2016-07-18,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0025,RANGE,67327029014085707,IRO1SKAZ0001,سخزر,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0026,RANGE,68488673556087148,IRO1SPTA0001,فپنتا,,2014-07-20,2015-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0027,RANGE,8977441217024425,IRO1SEPA0001,فسپا,,2016-07-19,2017-07-19,1,LOW_RETURN_SEQUENCE_SEMANTICS,,,,
UNQ0028,POINT_DATE,10120557300120078,IRO1SHND0001,پسهند,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,5200.0
UNQ0029,POINT_DATE,10568944722570445,IRO1SEFH0001,سصفها,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,13726.0
UNQ0030,POINT_DATE,10568944722570445,IRO1SEFH0001,سصفها,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,15222.0
UNQ0031,POINT_DATE,10568944722570445,IRO1SEFH0001,سصفها,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,16339.0
UNQ0032,POINT_DATE,10568944722570445,IRO1SEFH0001,سصفها,2018-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6390.0
UNQ0033,POINT_DATE,10568944722570445,IRO1SEFH0001,سصفها,2019-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,12680.0
UNQ0034,POINT_DATE,11432067920374603,IRO1DSIN0001,دسینا,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,13909.0
UNQ0035,POINT_DATE,11432067920374603,IRO1DSIN0001,دسینا,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,21137.0
UNQ0036,POINT_DATE,11432067920374603,IRO1DSIN0001,دسینا,2019-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,15606.0
UNQ0037,POINT_DATE,11432067920374603,IRO1DSIN0001,دسینا,2019-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,17736.0
UNQ0038,POINT_DATE,11964419322927535,IRO1SROD0001,سرود,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3003.0
UNQ0039,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,20406.0
UNQ0040,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,17672.0
UNQ0041,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2016-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,16013.0
UNQ0042,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,16013.0
UNQ0043,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,15218.0
UNQ0044,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,15218.0
UNQ0045,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2018-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,13360.0
