sample_design,ticker,fiscal_year_t,target_year,predictor_row_key_t,dataset_split,temporal_folds,pair_cutoff_date,required_window_retrieval_start,required_window_end_max_strictly_before_cutoff,equity_return_window,realized_volatility,amihud_illiquidity,missing_price_day_count,zero_traded_value_day_count,usable_daily_return_count,usable_amihud_day_count,m2_value_status
main_rule_a_primary,بموتو,1392,1393,بموتو|1392,development,fold1_train;fold2_train,2014-01-20,2012-12-20,2014-01-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,ثنوسا,1392,1393,ثنوسا|1392,development,fold1_train;fold2_train,2014-01-20,2012-12-20,2014-01-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,حپترو,1392,1393,حپترو|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,حکشتی,1392,1393,حکشتی|1392,development,fold1_train;fold2_train,2013-10-22,2012-09-21,2013-10-21,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خاذین,1392,1393,خاذین|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خبهمن,1392,1393,خبهمن|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,ختوقا,1392,1393,ختوقا|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خرینگ,1392,1393,خرینگ|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خمحور,1392,1393,خمحور|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خمهر,1392,1393,خمهر|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خنصیر,1392,1393,خنصیر|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خوساز,1392,1393,خوساز|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خچرخش,1392,1393,خچرخش|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,خکمک,1392,1393,خکمک|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,دروز,1392,1393,دروز|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,دسبحا,1392,1393,دسبحا|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,دیران,1392,1393,دیران|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,رانفور,1392,1393,رانفور|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,زمگسا,1392,1393,زمگسا|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,ساراب,1392,1393,ساراب|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سبهان,1392,1393,سبهان|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سخزر,1392,1393,سخزر|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سدشت,1392,1393,سدشت|1392,development,fold1_train;fold2_train,2014-01-20,2012-12-20,2014-01-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سدور,1392,1393,سدور|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سرود,1392,1393,سرود|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سشرق,1392,1393,سشرق|1392,development,fold1_train;fold2_train,2014-01-20,2012-12-20,2014-01-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سقاین,1392,1393,سقاین|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سمازن,1392,1393,سمازن|1392,development,fold1_train;fold2_train,2014-07-20,2013-06-19,2014-07-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سهگمت,1392,1393,سهگمت|1392,development,fold1_train;fold2_train,2014-05-20,2013-04-19,2014-05-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سپاها,1392,1393,سپاها|1392,development,fold1_train;fold2_train,2014-01-20,2012-12-20,2014-01-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سکرد,1392,1393,سکرد|1392,development,fold1_train;fold2_train,2014-01-20,2012-12-20,2014-01-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,سیلام,1392,1393,سیلام|1392,development,fold1_train;fold2_train,2014-05-20,2013-04-19,2014-05-19,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
