ticker,target_year,pair_cutoff_date,window_start_calendar_date,t0_trading_date,qTotCap,volume_qTotTran5J,trade_count_zTotTran,raw_close,adjusted_status,first_raw_observation_date_this_ticker,first_adjusted_price_date_this_ticker,days_from_window_start_to_first_raw_observation,days_from_window_start_to_first_adjusted_price,root_cause
بموتو,1393,2014-01-20,2013-01-18,2013-01-19,0.0,0.0,0.0,3336.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-22,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ثنوسا,1393,2014-01-20,2013-01-18,2013-01-19,0.0,0.0,0.0,3855.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-22,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
حکشتی,1393,2013-10-22,2012-10-21,2012-10-21,0.0,0.0,0.0,991.0,ADJUSTED_CLOSE_UNRESOLVED,2012-09-22,2012-09-22,-29,-29,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ختوقا,1393,2014-07-20,2013-07-16,2013-07-16,0.0,0.0,0.0,1126.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-07-22,-27,6,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خوساز,1393,2014-07-20,2013-07-16,2013-07-16,0.0,0.0,0.0,822.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دسبحا,1393,2014-07-20,2013-07-16,2013-07-16,0.0,0.0,0.0,5434.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دیران,1393,2014-07-20,2013-07-16,2013-07-16,0.0,0.0,0.0,7599.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سبهان,1393,2014-07-20,2013-07-16,2013-07-16,0.0,0.0,0.0,45580.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سدشت,1393,2014-01-20,2013-01-18,2013-01-19,0.0,0.0,0.0,3058.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-23,-27,-26,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غگل,1393,2014-01-20,2013-01-18,2013-01-19,0.0,0.0,0.0,16268.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-23,-27,-26,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
کفپارس,1393,2014-04-19,2013-04-16,2013-04-16,0.0,0.0,0.0,1285.0,ADJUSTED_CLOSE_UNRESOLVED,2013-03-25,2013-05-20,-22,34,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
کگاز,1393,2014-07-20,2013-07-16,2013-07-16,0.0,0.0,0.0,5078.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-27,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بالبر,1394,2015-01-20,2014-01-19,2014-01-20,0.0,0.0,0.0,2858.0,ADJUSTED_CLOSE_UNRESOLVED,2013-12-21,2014-01-27,-29,8,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بترانس,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,4791.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بکاب,1394,2015-01-20,2014-01-19,2014-01-20,0.0,0.0,0.0,10712.0,ADJUSTED_CLOSE_UNRESOLVED,2013-12-21,2013-12-21,-29,-29,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
تپمپی,1394,2014-10-22,2013-10-21,2013-10-21,0.0,0.0,0.0,3274.0,ADJUSTED_CLOSE_UNRESOLVED,2013-09-21,2013-09-21,-30,-30,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ثشرق,1394,2015-01-20,2014-01-19,2014-05-11,0.0,0.0,0.0,1000.0,ADJUSTED_CLOSE_UNRESOLVED,2014-05-11,2014-06-25,112,157,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
حکشتی,1394,2014-10-22,2013-10-21,2013-10-21,0.0,0.0,0.0,1746.0,ADJUSTED_CLOSE_UNRESOLVED,2012-09-22,2012-09-22,-394,-394,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دروز,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,5951.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دشیمی,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,6441.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-22,-28,-27,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ساربیل,1394,2015-04-19,2014-04-18,2014-04-19,0.0,0.0,0.0,14578.0,ADJUSTED_CLOSE_UNRESOLVED,2014-03-19,2014-03-19,-30,-30,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سبجنو,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,5411.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سدشت,1394,2015-01-20,2014-01-19,2014-01-20,0.0,0.0,0.0,2984.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-23,-393,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سدور,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,16474.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سصفها,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,13726.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سمازن,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,20313.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سنیر,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,20406.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-25,-28,-24,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سکرد,1394,2015-01-20,2014-01-19,2014-01-20,0.0,0.0,0.0,9096.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-22,-393,-393,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سیلام,1394,2015-05-20,2014-05-19,2014-05-19,0.0,0.0,0.0,8507.0,ADJUSTED_CLOSE_UNRESOLVED,2013-04-20,2013-04-20,-394,-394,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
شفارس,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,4682.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
شپنا,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,11251.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2015-03-17,-28,241,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
شکربن,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,2908.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غبهنوش,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,10497.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غدام,1394,2015-04-19,2014-04-18,2014-04-19,0.0,0.0,0.0,13153.0,ADJUSTED_CLOSE_UNRESOLVED,2013-03-25,2013-03-26,-389,-388,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غسالم,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,2833.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غشهد,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,2337.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-23,-395,-391,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غنوش,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,3764.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-07-06,-395,-378,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
غگل,1394,2015-01-20,2014-01-19,2014-01-20,0.0,0.0,0.0,37442.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-23,-393,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فایرا,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,4809.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-08-03,-28,15,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فجام,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,12368.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فمراد,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,8680.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-11-01,-28,105,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فنورد,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,7438.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
