ticker,fiscal_year_t,target_year,window_observation_count,zero_trade_day_count,priced_observation_count,current_valid_return_count,max_possible_valid_returns_if_all_zero_trade_rows_are_non_trading,current_endpoint_requirements_pass,classification
دروز,1392,1393,245,164,81,54,80,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سدشت,1392,1393,242,189,53,19,52,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غدام,1392,1393,245,120,125,88,124,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غنوش,1392,1393,245,103,142,92,141,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غگل,1392,1393,242,138,104,60,103,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
کفپارس,1392,1393,245,140,105,99,104,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
بکاب,1393,1394,242,131,111,109,110,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
ثشرق,1393,1394,169,40,129,125,128,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
دروز,1393,1394,241,136,105,97,104,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
ساربیل,1393,1394,242,144,98,60,97,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سبجنو,1393,1394,241,154,87,47,86,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سخاش,1393,1394,241,85,156,110,155,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سدشت,1393,1394,242,119,123,87,122,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سدور,1393,1394,241,107,134,105,133,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سصفها,1393,1394,241,153,88,62,87,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سقاین,1393,1394,241,92,149,118,148,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سمازن,1393,1394,241,153,88,50,87,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سنیر,1393,1394,241,207,34,13,33,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سیلام,1393,1394,242,108,134,91,133,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
شبریز,1393,1394,241,166,75,71,74,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
