unique_request_id,ticker,InsCode,endpoint_date,endpoint_occurrence_count,official_calendar_member,calendar_evidence_endpoint,daily_row_present,daily_closing_evidence_endpoint,zTotTran,qTotTran5J,qTotCap,raw_close,zero_trade,trade_history_records,trade_history_empty,trade_evidence_endpoint,literal_state_code,state_meaning,state_evidence_endpoint,adjusted_close_availability,scientific_inclusion_decision
UNQ0028,پسهند,10120557300120078,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/10120557300120078,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/10120557300120078/20150719,0.0,0.0,0.0,5200.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/10120557300120078/20150719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/10120557300120078/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0029,سصفها,10568944722570445,2014-07-20,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/10568944722570445,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/10568944722570445/20140720,0.0,0.0,0.0,13726.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/10568944722570445/20140720/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/10568944722570445/20140720,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0030,سصفها,10568944722570445,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/10568944722570445,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/10568944722570445/20150719,0.0,0.0,0.0,15222.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/10568944722570445/20150719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/10568944722570445/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0031,سصفها,10568944722570445,2017-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/10568944722570445,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/10568944722570445/20170719,0.0,0.0,0.0,16339.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/10568944722570445/20170719/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/10568944722570445/20170719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0032,سصفها,10568944722570445,2018-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/10568944722570445,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/10568944722570445/20180718,0.0,0.0,0.0,6390.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/10568944722570445/20180718/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/10568944722570445/20180718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0033,سصفها,10568944722570445,2019-07-20,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/10568944722570445,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/10568944722570445/20190720,0.0,0.0,0.0,12680.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/10568944722570445/20190720/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/10568944722570445/20190720,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0034,دسینا,11432067920374603,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/11432067920374603,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/11432067920374603/20150719,0.0,0.0,0.0,13909.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/11432067920374603/20150719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/11432067920374603/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0035,دسینا,11432067920374603,2017-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/11432067920374603,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/11432067920374603/20170719,0.0,0.0,0.0,21137.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/11432067920374603/20170719/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/11432067920374603/20170719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0036,دسینا,11432067920374603,2019-07-17,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/11432067920374603,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/11432067920374603/20190717,0.0,0.0,0.0,15606.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/11432067920374603/20190717/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/11432067920374603/20190717,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0037,دسینا,11432067920374603,2019-07-20,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/11432067920374603,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/11432067920374603/20190720,0.0,0.0,0.0,17736.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/11432067920374603/20190720/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/11432067920374603/20190720,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
