unique_request_id,ticker,InsCode,range_start_date,range_end_date,calendar_row_count,daily_row_count,calendar_vs_daily_date_sets_equal,missing_in_daily_count,extra_in_daily_count,zero_trade_row_count,positive_trade_row_count,state_sample_artifact_count,literal_state_codes_sampled,trade_diagnostic_rows,daily_vs_ungrouped_mismatch_rows,scientific_inclusion_decision
UNQ0001,سیلام,14617104402836487,2014-05-19,2015-05-19,242,242,true,0,0,2,2,21,A ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0002,ساروم,15949743338644220,2015-07-19,2016-07-18,247,247,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0003,غشهد,20487994977117557,2015-07-19,2016-07-18,247,247,true,0,0,2,2,21,A ;AR;IS,4,1,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0004,غشهد,20487994977117557,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0005,غدام,2254054929817435,2014-04-19,2015-04-18,242,242,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0006,سدشت,27000326841257664,2018-01-20,2019-01-19,243,243,true,0,0,2,2,21,A ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0007,سدور,27218386411183410,2014-07-20,2015-07-19,241,241,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0008,غسالم,28672095850798501,2014-07-20,2015-07-19,241,241,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0009,غسالم,28672095850798501,2015-07-19,2016-07-18,247,247,true,0,0,2,2,21,A ;AR;AS;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0010,غسالم,28672095850798501,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0011,فجام,30765727085936322,2017-07-18,2018-07-18,242,242,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0012,سخاش,4470657233334072,2014-07-20,2015-07-19,241,241,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0013,سخاش,4470657233334072,2015-07-19,2016-07-18,247,247,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0014,سخاش,4470657233334072,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0015,غنوش,48619517949257749,2013-07-16,2014-07-16,245,245,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0016,فنورد,56324206651661881,2014-07-20,2015-07-19,241,241,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0017,فنورد,56324206651661881,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0018,فنورد,56324206651661881,2017-07-18,2018-07-18,242,242,true,0,0,2,2,21,A ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0019,ثشرق,6043384171800349,2014-05-11,2015-01-19,169,169,true,0,0,2,2,21,A ;I ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0020,سقاین,60654872678917533,2014-07-20,2015-07-19,241,241,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0021,شپارس,61102694810476197,2014-01-20,2015-01-19,242,242,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0022,سبجنو,66295665969375744,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0023,سبجنو,66295665969375744,2017-07-18,2018-07-18,242,242,true,0,0,2,2,21,A ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0024,سخزر,67327029014085707,2015-07-19,2016-07-18,247,247,true,0,0,2,2,21,A ;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0025,سخزر,67327029014085707,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ;I ,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0026,فپنتا,68488673556087148,2014-07-20,2015-07-19,241,241,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0027,فسپا,8977441217024425,2016-07-19,2017-07-19,243,243,true,0,0,2,2,21,A ;AR;IS,4,0,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
