model_family,configuration_id,scope,block,n_rows,n_positive,k_top10,pr_auc,roc_auc,brier_score,recall_at_10pct,lift_at_10pct
regularized_logistic_regression,logistic__C_0.1,pooled_oof,M1,366,28,37,0.477497460644,0.88482671175,0.146469586865,0.5,4.945945945946
regularized_logistic_regression,logistic__C_0.1,pooled_oof,M2,366,28,37,0.486027725756,0.884087066779,0.133500240879,0.464285714286,4.592664092664
regularized_logistic_regression,logistic__C_0.1,pooled_oof,M2_minus_M1,366,28,37,0.008530265112,-0.000739644971,-0.012969345986,-0.035714285714,-0.353281853282
regularized_logistic_regression,logistic__C_0.1,fold1_validation,M1,159,18,16,0.544604892034,0.879432624113,0.162841430634,0.555555555556,5.520833333333
regularized_logistic_regression,logistic__C_0.1,fold1_validation,M2,159,18,16,0.531076905949,0.873128447597,0.14893435771,0.5,4.96875
regularized_logistic_regression,logistic__C_0.1,fold1_validation,M2_minus_M1,159,18,16,-0.013527986085,-0.006304176516,-0.013907072924,-0.055555555556,-0.552083333333
regularized_logistic_regression,logistic__C_0.1,fold2_validation,M1,207,10,21,0.41869139904,0.880203045685,0.133894112667,0.4,3.942857142857
regularized_logistic_regression,logistic__C_0.1,fold2_validation,M2,207,10,21,0.459696909311,0.886802030457,0.12164504969,0.4,3.942857142857
regularized_logistic_regression,logistic__C_0.1,fold2_validation,M2_minus_M1,207,10,21,0.041005510271,0.006598984772,-0.012249062977,0.0,0.0
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,pooled_oof,M1,366,28,37,0.355559464623,0.859784446323,0.120971193682,0.464285714286,4.592664092664
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,pooled_oof,M2,366,28,37,0.348246304466,0.854501267963,0.13309563301,0.428571428571,4.239382239382
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,pooled_oof,M2_minus_M1,366,28,37,-0.007313160157,-0.00528317836,0.012124439328,-0.035714285715,-0.353281853282
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,fold1_validation,M1,159,18,16,0.397332600875,0.842001576044,0.135962690024,0.444444444444,4.416666666667
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,fold1_validation,M2,159,18,16,0.411882998823,0.840819542947,0.139475943053,0.388888888889,3.864583333333
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,fold1_validation,M2_minus_M1,159,18,16,0.014550397948,-0.001182033097,0.003513253029,-0.055555555555,-0.552083333334
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,fold2_validation,M1,207,10,21,0.341038094795,0.872081218274,0.109455986347,0.5,4.928571428571
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,fold2_validation,M2,207,10,21,0.349154547034,0.881725888325,0.12819481515,0.5,4.928571428571
random_forest,rf__depth_3__maxfeat_'sqrt'__leaf_10,fold2_validation,M2_minus_M1,207,10,21,0.008116452239,0.009644670051,0.018738828803,0.0,0.0
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,pooled_oof,M1,366,28,37,0.355762083254,0.853021978022,0.094515816614,0.464285714286,4.592664092664
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,pooled_oof,M2,366,28,37,0.374564150798,0.829353338969,0.084532023382,0.535714285714,5.299227799228
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,pooled_oof,M2_minus_M1,366,28,37,0.018802067544,-0.023668639053,-0.009983793232,0.071428571428,0.706563706564
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold1_validation,M1,159,18,16,0.484515932238,0.860520094563,0.101551709373,0.5,4.96875
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold1_validation,M2,159,18,16,0.515406343182,0.822301024429,0.094486136169,0.555555555556,5.520833333333
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold1_validation,M2_minus_M1,159,18,16,0.030890410944,-0.038219070134,-0.007065573204,0.055555555556,0.552083333333
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold2_validation,M1,207,10,21,0.301756538374,0.852791878173,0.08911143522,0.4,3.942857142857
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold2_validation,M2,207,10,21,0.276031209781,0.860406091371,0.07688611066,0.5,4.928571428571
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold2_validation,M2_minus_M1,207,10,21,-0.025725328593,0.007614213198,-0.01222532456,0.1,0.985714285714
