dimension,variable,type,eligible_n,ineligible_n,eligible_summary,ineligible_summary,smd,abs_smd,imbalance_flag,availability,note
prediction_cohort,target_year=1393,categorical_level,40,6,proportion=0.074211502783,proportion=0.047244094488,0.113094882018,0.113094882018,FLAG,available,
prediction_cohort,target_year=1394,categorical_level,67,31,proportion=0.124304267161,proportion=0.244094488189,-0.312775085451,0.312775085451,FLAG,available,
prediction_cohort,target_year=1395,categorical_level,66,35,proportion=0.122448979592,proportion=0.275590551181,-0.390815051958,0.390815051958,FLAG,available,
prediction_cohort,target_year=1396,categorical_level,79,22,proportion=0.146567717996,proportion=0.173228346457,-0.07278975577,0.07278975577,,available,
prediction_cohort,target_year=1397,categorical_level,80,24,proportion=0.148423005566,proportion=0.188976377953,-0.108449713526,0.108449713526,FLAG,available,
prediction_cohort,target_year=1398,categorical_level,100,6,proportion=0.185528756957,proportion=0.047244094488,0.441599069896,0.441599069896,FLAG,available,
prediction_cohort,target_year=1399,categorical_level,107,3,proportion=0.198515769944,proportion=0.023622047244,0.579494388626,0.579494388626,FLAG,available,
industry,industry=استخراج کانه‌های فلزی / سنگ آهن,categorical_level,6,1,proportion=0.011131725417,proportion=0.007874015748,0.033583006688,0.033583006688,,available,
industry,industry=استخراج کانه‌های فلزی / معادن,categorical_level,7,0,proportion=0.012987012987,proportion=0.0,0.162221421131,0.162221421131,FLAG,available,
industry,industry=انبوه‌سازی، املاک و مستغلات,categorical_level,12,1,proportion=0.022263450835,proportion=0.007874015748,0.118320797245,0.118320797245,FLAG,available,
industry,industry=حمل و نقل,categorical_level,7,0,proportion=0.012987012987,proportion=0.0,0.162221421131,0.162221421131,FLAG,available,
industry,industry=حمل و نقل آبی,categorical_level,6,1,proportion=0.011131725417,proportion=0.007874015748,0.033583006688,0.033583006688,,available,
industry,industry=خدمات فنی و مهندسی / پیمانکاری نیروگاهی,categorical_level,2,0,proportion=0.003710575139,proportion=0.0,0.0863063704,0.0863063704,,available,
industry,industry=خودرو و ساخت قطعات,categorical_level,65,5,proportion=0.120593692022,proportion=0.03937007874,0.302838285749,0.302838285749,FLAG,available,
industry,industry=رایانه و فعالیت‌های وابسته,categorical_level,7,0,proportion=0.012987012987,proportion=0.0,0.162221421131,0.162221421131,FLAG,available,
industry,industry=رایانه و فعالیت‌های وابسته به آن / خدمات پرداخت,categorical_level,3,0,proportion=0.005565862709,proportion=0.0,0.105801842379,0.105801842379,FLAG,available,
